stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_sliced_fresh_apples	Shared	Prepared	Fruit	plate	a plate of sliced fresh apples	Crisp apple crescents overlap neatly on a small wooden plate.	They taste juicy, tart, and lightly sweet.	fruit	Fresh	Fresh	Standard	260	0.48	RegionalOldWorld
preindustrial_food_sliced_fresh_pears	Shared	Prepared	Fruit	plate	a plate of sliced fresh pears	Pale pear wedges glisten where their tender flesh was cut.	They are floral, juicy, and softly sweet.	fruit	Fresh	Fresh	Standard	270	0.52	RegionalOldWorld
preindustrial_food_fresh_berry_bowl	Shared	Prepared	Fruit	bowl	a bowl of fresh mixed berries	Red, blue, and purple berries fill a shallow gathering bowl.	Their juices range from sharp to honey-sweet.	fruit	Fresh	Fresh	Good	250	0.68	Universal
preindustrial_food_fresh_fig_plate	Shared	Prepared	Fruit	plate	a plate of opened fresh figs	Purple figs split open to reveal moist, seed-filled centres.	They taste floral, jammy, and gently earthy.	fruit	Fresh	Fresh	Good	260	0.82	RegionalOldWorld
preindustrial_food_fresh_date_cluster	Shared	Prepared	Fruit	cluster	a cluster of fresh dates	Plump amber-brown dates cling together along a short stem.	Their flesh tastes rich and caramel-sweet.	fruit	Sweet	Fresh	Good	240	0.88	Islamicate
preindustrial_food_fresh_grape_bunch	Shared	Prepared	Fruit	bunch	a trimmed bunch of table grapes	A compact cluster of clean grapes rests ready for eating.	Each grape bursts with tart, winey sweetness.	fruit	Fresh	Fresh	Good	280	0.76	RegionalOldWorld
preindustrial_food_fresh_melon_slices	Shared	Prepared	Fruit	plate	a plate of fresh melon slices	Thick melon crescents show pale, dripping flesh beneath green rind.	They taste cooling, watery, and delicately sweet.	fruit	Fresh	Fresh	Good	360	0.72	RegionalOldWorld
preindustrial_food_fresh_citrus_segments	Shared	Prepared	Fruit	bowl	a bowl of peeled citrus segments	Glossy citrus sections form a bright mound without their peel.	Sharp juice gives way to fragrant sweetness.	fruit	Fresh	Fresh	Good	280	0.90	MaritimeTrade
preindustrial_food_fresh_pomegranate_arils	Shared	Prepared	Fruit	bowl	a bowl of pomegranate seeds	Ruby arils crowd a bowl like tiny translucent jewels.	They burst tartly with tannic sweetness.	fruit	Fresh	Fresh	Good	230	0.92	Islamicate
preindustrial_food_fresh_stonefruit_plate	Shared	Prepared	Fruit	plate	a plate of sliced stone fruit	Yellow and crimson fruit slices fan around their discarded stones.	The flesh is juicy, fragrant, and sweet-tart.	fruit	Fresh	Fresh	Good	290	0.74	RegionalOldWorld
