unique_reference,sdesc,fdesc
earlymodern_door_fr_panel_door_01,a braided oak door leaf,"The oak door leaf is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_braced_door_02,a leaf-scroll pine braced door,"The pine braced door is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_lockable_door_03,a water-wave cedar lockable door,"The cedar lockable door is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_secure_door_04,a flower-head teak secure door,"The teak secure door is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_shutter_05,a bird wood shuttered opening,"The wood shuttered opening is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_screen_06,a geometric wood screen door,"The wood screen door is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_lattice_gate_07,a shell cedar lattice gate,"The cedar lattice gate is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_courtyard_gate_08,a rosette teak courtyard gate,"The teak courtyard gate is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_warehouse_gate_09,a braided wrought iron warehouse gate,"The wrought iron warehouse gate is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_garden_gate_10,a leaf-scroll bronze garden gate,"The bronze garden gate is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_grille_11,a water-wave bronze metal grille,"The bronze metal grille is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_fr_strike_plate_12,a vine bronze strike plate,"The bronze strike plate has a vine worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_hinge_pair_13,a geometric brass hinge pair,"The brass hinge pair has a geometric worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_keyring_14,a cloud copper keyring,"The copper keyring has a cloud worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_escutcheon_15,a shell pewter keyhole escutcheon,"The pewter keyhole escutcheon has a shell worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_warded_lock_16,a reed wrought iron warded lock,"The wrought iron warded lock has a reed worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_good_warded_lock_17,a rosette bronze fine warded lock,"The bronze fine warded lock has a rosette worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_master_warded_lock_18,a checker brass master warded lock,"The brass master warded lock has a checker worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_fr_warded_key_19,a braided copper warded key,"The copper warded key has a braided worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
earlymodern_door_nl_panel_door_20,a bird pine door leaf,"The pine door leaf is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_nl_braced_door_21,a geometric cedar braced door,"The cedar braced door is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
earlymodern_door_nl_lockable_door_22,a shell teak lockable door,"The teak lockable door is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
