StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_tools_repair_machinery_0001_plain_scrap	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	scrap	a plain mild steel scrap for domestic maintenance	This plain scrap is formed chiefly from mild steel and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1299	20	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/scrap/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0002_plain_hammer	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	hammer	a plain cast iron hammer for domestic maintenance	This plain hammer is formed chiefly from cast iron and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1336	50	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/hammer/domestic/cast iron; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0003_plain_wrench	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	wrench	a plain oak wrench for domestic maintenance	This plain wrench is formed chiefly from oak and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1373	100	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/wrench/domestic/oak; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0004_plain_drill	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	drill	a plain tool steel drill for domestic maintenance	This plain drill is formed chiefly from tool steel and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1410	200	tool steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/drill/domestic/tool steel; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0005_plain_lathe	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	lathe	a plain mild steel lathe for domestic maintenance	This plain lathe is formed chiefly from mild steel and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1447	500	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_tools_repair_machinery_0001_plain_scrap	industrial_tools	Authored Tools, repair and machinery matrix: plain/lathe/domestic/mild steel; priced by industrial_tools analogue.	true	salvage
industrialised_tools_repair_machinery_0006_plain_vise	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	vise	a plain cast iron vise for domestic maintenance	This plain vise is formed chiefly from cast iron and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1484	1	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/vise/domestic/cast iron; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0007_plain_plane	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	plane	a plain oak plane for domestic maintenance	This plain plane is formed chiefly from oak and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1521	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/plane/domestic/oak; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0008_plain_saw	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	saw	a plain tool steel saw for domestic maintenance	This plain saw is formed chiefly from tool steel and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1558	5	tool steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/saw/domestic/tool steel; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0009_plain_press	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	press	a plain mild steel press for domestic maintenance	This plain press is formed chiefly from mild steel and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1595	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Tools, repair and machinery matrix: plain/press/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_tools_repair_machinery_0010_plain_gauge	shared-industrialised	Tools, repair and machinery	industrial;modern;nuclear;information	gauge	a plain cast iron gauge for domestic maintenance	This plain gauge is formed chiefly from cast iron and proportioned for domestic maintenance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1632	20	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_tools_repair_machinery_0001_plain_scrap	industrial_tools	Authored Tools, repair and machinery matrix: plain/gauge/domestic/cast iron; priced by industrial_tools analogue.	true	salvage
