StableKey	EraAdmissions	Category	Trait	MinimumTraitValue	Difficulty	ProductStableReference	InputMaterial	InputGrams
craft_industrialised_clothing_footwear_uniforms_0001_plain_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0001_plain_rag	wool	207
craft_industrialised_clothing_footwear_uniforms_0002_plain_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0002_plain_apron	leather	248
craft_industrialised_clothing_footwear_uniforms_0003_plain_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0003_plain_shirt	cotton	288
craft_industrialised_clothing_footwear_uniforms_0004_plain_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0004_plain_trousers	linen	329
craft_industrialised_clothing_footwear_uniforms_0005_plain_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0005_plain_boots	wool	370
craft_industrialised_clothing_footwear_uniforms_0006_plain_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0006_plain_dress	leather	410
craft_industrialised_clothing_footwear_uniforms_0007_plain_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0007_plain_jacket	cotton	451
craft_industrialised_clothing_footwear_uniforms_0008_plain_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0008_plain_hat	linen	492
craft_industrialised_clothing_footwear_uniforms_0009_plain_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0009_plain_gloves	wool	532
craft_industrialised_clothing_footwear_uniforms_0010_plain_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0010_plain_scarf	leather	573
craft_industrialised_clothing_footwear_uniforms_0011_plain_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0011_plain_skirt	cotton	614
craft_industrialised_clothing_footwear_uniforms_0012_plain_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0012_plain_socks	linen	654
craft_industrialised_clothing_footwear_uniforms_0013_plain_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0013_plain_vest	wool	695
craft_industrialised_clothing_footwear_uniforms_0014_plain_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0014_plain_coat	leather	736
craft_industrialised_clothing_footwear_uniforms_0015_plain_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0015_plain_smock	cotton	777
craft_industrialised_clothing_footwear_uniforms_0016_reinforced_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0016_reinforced_rag	linen	817
craft_industrialised_clothing_footwear_uniforms_0017_reinforced_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0017_reinforced_apron	wool	858
craft_industrialised_clothing_footwear_uniforms_0018_reinforced_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0018_reinforced_shirt	leather	899
craft_industrialised_clothing_footwear_uniforms_0019_reinforced_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0019_reinforced_trousers	cotton	939
craft_industrialised_clothing_footwear_uniforms_0020_reinforced_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0020_reinforced_boots	linen	980
craft_industrialised_clothing_footwear_uniforms_0021_reinforced_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0021_reinforced_dress	wool	1021
craft_industrialised_clothing_footwear_uniforms_0022_reinforced_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0022_reinforced_jacket	leather	1062
craft_industrialised_clothing_footwear_uniforms_0023_reinforced_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0023_reinforced_hat	cotton	1102
craft_industrialised_clothing_footwear_uniforms_0024_reinforced_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0024_reinforced_gloves	linen	1143
craft_industrialised_clothing_footwear_uniforms_0025_reinforced_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0025_reinforced_scarf	wool	1184
craft_industrialised_clothing_footwear_uniforms_0026_reinforced_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0026_reinforced_skirt	leather	1224
craft_industrialised_clothing_footwear_uniforms_0027_reinforced_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0027_reinforced_socks	cotton	1265
craft_industrialised_clothing_footwear_uniforms_0028_reinforced_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0028_reinforced_vest	linen	1306
craft_industrialised_clothing_footwear_uniforms_0029_reinforced_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0029_reinforced_coat	wool	1346
craft_industrialised_clothing_footwear_uniforms_0030_reinforced_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0030_reinforced_smock	leather	1387
