ServingReference	Order	Kind	StableReference	Quantity	Unit
industrial_food_serving_factory_breakfast	1	item	industrialised_food_staples_001	300	g
industrial_food_serving_factory_breakfast	1	item	industrialised_food_dairy_egg_001	120	g
industrial_food_serving_factory_breakfast	2	liquid	industrialised_food_stimulant_001	300	ml
industrial_food_serving_mill_lunch	1	item	industrialised_food_composite_001	450	g
industrial_food_serving_mill_lunch	1	item	industrialised_food_baking_001	120	g
industrial_food_serving_mill_lunch	1	liquid	industrialised_food_non_alcoholic_001	400	ml
industrial_food_serving_railway_refreshment	1	item	industrialised_food_composite_002	320	g
industrial_food_serving_railway_refreshment	2	item	industrialised_food_dessert_001	90	g
industrial_food_serving_railway_refreshment	2	liquid	industrialised_food_stimulant_002	250	ml
industrial_food_serving_hospital_soft	1	item	industrialised_food_composite_003	300	g
industrial_food_serving_hospital_soft	1	item	industrialised_food_infant_dietetic_001	180	g
industrial_food_serving_hospital_soft	1	liquid	industrialised_food_non_alcoholic_002	250	ml
industrial_food_serving_school_midday	1	item	industrialised_food_composite_004	350	g
industrial_food_serving_school_midday	2	item	industrialised_food_fruit_nut_001	120	g
industrial_food_serving_school_midday	1	liquid	industrialised_food_non_alcoholic_003	250	ml
industrial_food_serving_prison_standard	1	item	industrialised_food_staples_002	300	g
industrial_food_serving_prison_standard	1	item	industrialised_food_plant_001	250	g
industrial_food_serving_prison_standard	1	liquid	industrialised_food_non_alcoholic_004	350	ml
industrial_food_serving_naval_watch	1	item	industrialised_food_ration_001	250	g
industrial_food_serving_naval_watch	1	item	industrialised_food_preserve_condiment_001	80	g
industrial_food_serving_naval_watch	1	liquid	industrialised_food_stimulant_003	300	ml
industrial_food_serving_mine_shift	1	item	industrialised_food_composite_005	500	g
industrial_food_serving_mine_shift	1	item	industrialised_food_baking_002	150	g
industrial_food_serving_mine_shift	1	liquid	industrialised_food_non_alcoholic_005	500	ml
industrial_food_serving_relief_basic	1	item	industrialised_food_ration_002	300	g
industrial_food_serving_relief_basic	1	item	industrialised_food_plant_002	180	g
industrial_food_serving_relief_basic	1	liquid	industrialised_food_non_alcoholic_006	500	ml
industrial_food_serving_religious_fast	1	item	industrialised_food_plant_003	350	g
industrial_food_serving_religious_fast	1	item	industrialised_food_baking_003	120	g
industrial_food_serving_religious_fast	2	item	industrialised_food_fruit_nut_002	100	g
industrial_food_serving_religious_fast	1	liquid	industrialised_food_non_alcoholic_007	300	ml
industrial_food_serving_urban_cafe	1	item	industrialised_food_baking_004	100	g
industrial_food_serving_urban_cafe	1	liquid	industrialised_food_stimulant_004	250	ml
industrial_food_serving_railway_worker	1	item	industrial_food_ration_001	300	g
industrial_food_serving_railway_worker	1	item	industrialised_food_preserve_condiment_002	50	g
industrial_food_serving_railway_worker	1	liquid	industrialised_food_non_alcoholic_008	500	ml
modern_food_serving_airline_tray	1	item	modern_food_composite_001	280	g
modern_food_serving_airline_tray	1	item	modern_food_plant_001	100	g
modern_food_serving_airline_tray	2	item	modern_food_dessert_001	70	g
modern_food_serving_airline_tray	1	liquid	modern_food_non_alcoholic_001	180	ml
modern_food_serving_office_lunch	1	item	modern_food_composite_002	380	g
modern_food_serving_office_lunch	2	item	industrialised_food_fruit_nut_003	120	g
modern_food_serving_office_lunch	2	liquid	modern_food_stimulant_001	250	ml
modern_food_serving_drive_in	1	item	modern_food_composite_003	320	g
modern_food_serving_drive_in	1	item	modern_food_snack_001	140	g
modern_food_serving_drive_in	1	liquid	modern_food_non_alcoholic_002	350	ml
modern_food_serving_canteen_vegetarian	1	item	modern_food_plant_002	350	g
modern_food_serving_canteen_vegetarian	1	item	industrialised_food_staples_003	220	g
modern_food_serving_canteen_vegetarian	1	liquid	industrialised_food_non_alcoholic_009	300	ml
modern_food_serving_migrant_household	1	item	modern_food_noodle_dumpling_001	400	g
modern_food_serving_migrant_household	1	item	industrialised_food_preserve_condiment_003	40	g
modern_food_serving_migrant_household	1	liquid	industrialised_food_non_alcoholic_010	300	ml
nuclear_food_serving_emergency_shelter	1	item	nuclear_food_ration_001	320	g
nuclear_food_serving_emergency_shelter	1	item	industrialised_food_fruit_nut_004	100	g
nuclear_food_serving_emergency_shelter	1	liquid	nuclear_food_non_alcoholic_001	500	ml
nuclear_food_serving_factory_night	1	item	nuclear_food_composite_001	420	g
nuclear_food_serving_factory_night	2	item	nuclear_food_snack_001	80	g
nuclear_food_serving_factory_night	1	liquid	nuclear_food_stimulant_001	300	ml
nuclear_food_serving_frozen_dinner	1	item	nuclear_food_composite_002	420	g
nuclear_food_serving_frozen_dinner	1	item	industrialised_food_plant_004	100	g
nuclear_food_serving_frozen_dinner	2	item	nuclear_food_dessert_001	90	g
information_food_serving_office_delivery	1	item	information_food_composite_001	380	g
information_food_serving_office_delivery	2	item	information_food_snack_001	80	g
information_food_serving_office_delivery	1	liquid	information_food_non_alcoholic_001	330	ml
information_food_serving_care_texture	1	item	information_food_infant_dietetic_001	320	g
information_food_serving_care_texture	2	item	information_food_fruit_nut_001	100	g
information_food_serving_care_texture	1	liquid	information_food_non_alcoholic_002	250	ml
information_food_serving_field_response	1	item	information_food_ration_001	300	g
information_food_serving_field_response	1	item	industrialised_food_snack_001	80	g
information_food_serving_field_response	1	liquid	information_food_non_alcoholic_003	500	ml
information_food_serving_plant_cafe	1	item	information_food_composite_002	350	g
information_food_serving_plant_cafe	2	item	information_food_dessert_001	90	g
information_food_serving_plant_cafe	2	liquid	information_food_stimulant_001	250	ml
industrialised_food_serving_livestock_feed	1	item	industrialised_food_animal_feed_001	2500	g
industrialised_food_serving_livestock_feed	1	liquid	industrialised_food_non_alcoholic_011	3000	ml
modern_food_serving_pet_feed	1	item	modern_food_animal_feed_001	300	g
modern_food_serving_pet_feed	1	liquid	industrialised_food_non_alcoholic_012	500	ml
