stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_whole_ember_roasted_fish	Shared	Prepared	Fish	whole-ember-roasted-fish	a whole ember-roasted fish	A cleaned fish lies curled from the heat, its blistered skin striped black where glowing embers touched it.	Smoke and crisp skin sharpen the moist flesh's clean savour.	fish	Hearty	Cooked	Standard	500	12	Universal
preindustrial_food_split_fire_grilled_fish	Shared	Prepared	Fish	split-fire-grilled-fish	a split fire-grilled fish	The fish has been opened flat and pinned near a fire until its edges crisped and its bones loosened.	Charred fins frame flaky meat tasting of salt and woodsmoke.	fish	Hearty	Cooked	Standard	550	13	Universal
preindustrial_food_leaf_baked_river_fish	Shared	Prepared	Fish	leaf-baked-river-fish	a leaf-baked river fish	Veined green wrappings peel away from a whole river fish steamed in its own fragrant juices.	Mild sweet flesh carries fresh herbs and a soft vegetal perfume.	fish	Hearty	Cooked	Good	520	15	Universal
preindustrial_food_clay_baked_whole_fish	Shared	Prepared	Fish	clay-baked-whole-fish	a clay-baked whole fish	A cracked shell of fired clay encloses a tender fish whose skin lifted away when the casing broke.	Delicate flesh remains exceptionally moist, with mineral salt and restrained smoke.	fish	Rich	Cooked	Good	650	20	Universal
preindustrial_food_salt_crusted_feast_fish	Shared	Prepared	Fish	salt-crusted-feast-fish	a salt-crusted feast fish	A large fish emerges intact from a white baked crust, revealing pearly flesh beneath an unbroken skin.	Clean brininess seasons rich flakes without drying their natural sweetness.	fish	Feast	Cooked	VeryGood	1200	42	MaritimeTrade
preindustrial_food_herb_stuffed_baked_fish	Shared	Prepared	Fish	herb-stuffed-baked-fish	an herb-stuffed baked fish	Chopped green herbs fill the belly of this bronzed fish, scenting the platter with every opened cut.	Aromatic leaves brighten buttery flesh and a crisp, savoury skin.	fish	Rich	Cooked	Good	700	24	Universal
preindustrial_food_onion_bedded_baked_fish	Shared	Prepared	Fish	onion-bedded-baked-fish	an onion-bedded baked fish	A golden whole fish rests over softened onion rings that have caught and darkened in its cooking juices.	Sweet onion mingles with succulent fish and caramelised pan edges.	fish	Rich	Cooked	Good	750	25	Universal
preindustrial_food_sour_glazed_roast_fish	Shared	Prepared	Fish	sour-glazed-roast-fish	a sour-glazed roast fish	A glossy acidic glaze has tightened over this roasted fish, pooling in its diagonal knife cuts.	Bright sourness cuts cleanly through oily flesh and browned skin.	fish	Rich	Cooked	Good	650	25	MaritimeTrade
preindustrial_food_honey_glazed_festival_fish	Shared	Prepared	Fish	honey-glazed-festival-fish	a honey-glazed festival fish	A handsome fish shines beneath amber glaze, with carefully fanned fins and crisp bronze edges.	Floral sweetness rounds salty richness before a lightly smoky finish.	fish	Feast	Cooked	VeryGood	900	38	SugarTrade
preindustrial_food_spice_crusted_banquet_fish	Shared	Prepared	Fish	spice-crusted-banquet-fish	a spice-crusted banquet fish	A broad fish wears a fragrant red-brown crust, scored so that seasoning reaches every thick portion.	Warm spice blooms over luxurious flesh, toasted skin, and concentrated juices.	fish	Feast	Cooked	VeryGood	1100	45	MaritimeTrade
preindustrial_food_plain_boiled_fish	Shared	Prepared	Fish	plain-boiled-fish	a plain boiled fish	A modest whole fish has been gently boiled until pale flesh separates cleanly from its backbone.	The soft flakes taste mild, lightly saline, and faintly sweet.	fish	Standard	Cooked	Standard	450	9	Universal
preindustrial_food_herb_poached_fish	Shared	Prepared	Fish	herb-poached-fish	an herb-poached fish	Fresh herbs cling to a tender fish lifted carefully from a clear, aromatic cooking liquor.	Gentle green fragrance complements delicate meat and restrained broth salt.	fish	Hearty	Cooked	Good	500	14	Universal
