stable_reference	source_file	source_line	source_scope	kind	family	disposition	rationale	review_status
earlymodern_food_french_roux_veloute_fowl	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	2	EarlyModern	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_bechamel_baked_fish	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	3	EarlyModern	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_brown_ragout_meat	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	4	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_white_fricassee_chicken	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	5	EarlyModern	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_mushroom_ragout	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	6	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_glazed_root_entremet	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	7	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_service_royal_poultry	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	8	EarlyModern	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_hors_doeuvre_anchovy_toasts	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	9	EarlyModern	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_entremet_spinach_custard	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	10	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_puff_pastry_game_pie	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	11	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_puff_pastry_cream_slice	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	12	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_choux_cream_puffs	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	13	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_cheese_gougere_puffs	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	14	EarlyModern	Prepared	Dairy	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_almond_macaron_pair	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	15	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_meringue_kisses	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	16	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_pistachio_like_ice_cream	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	17	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_chocolate_ice_cream	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	18	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_fruit_sorbet	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	19	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_petit_four_selection	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	20	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_croquant_almond_biscuit	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	21	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_chocolate_almond_dragees	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	22	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_coffee_house_brioche	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	23	EarlyModern	Prepared	Bread	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_chocolate_dipping_biscuit	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	24	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
