StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_electrical_power_lighting_0001_plain_scrap	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	scrap	a plain mild steel scrap for domestic power service	This plain scrap is formed chiefly from mild steel and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1097	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/scrap/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0002_plain_lamp	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	lamp	a plain glass lamp for domestic power service	This plain lamp is formed chiefly from glass and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1134	10	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/lamp/domestic/glass; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0003_plain_socket	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	socket	a plain ceramic socket for domestic power service	This plain socket is formed chiefly from ceramic and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1171	20	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/socket/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0004_plain_switch	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	switch	a plain natural rubber switch for domestic power service	This plain switch is formed chiefly from natural rubber and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1208	50	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/switch/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0005_plain_fuse	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	fuse	a plain copper fuse for domestic power service	This plain fuse is formed chiefly from copper and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1245	100	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_electrical_power_lighting_0001_plain_scrap	industrial_household	Authored Electrical power and lighting matrix: plain/fuse/domestic/copper; priced by industrial_household analogue.	true	salvage
industrialised_electrical_power_lighting_0006_plain_lantern	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	lantern	a plain mild steel lantern for domestic power service	This plain lantern is formed chiefly from mild steel and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1282	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/lantern/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0007_plain_lead	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	lead	a plain glass lead for domestic power service	This plain lead is formed chiefly from glass and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1319	500	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/lead/domestic/glass; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0008_plain_junction	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	junction	a plain ceramic junction for domestic power service	This plain junction is formed chiefly from ceramic and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1356	1	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/junction/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0009_plain_meter	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	meter	a plain natural rubber meter for domestic power service	This plain meter is formed chiefly from natural rubber and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1393	2	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Electrical power and lighting matrix: plain/meter/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_electrical_power_lighting_0010_plain_transformer	shared-industrialised	Electrical power and lighting	industrial;modern;nuclear;information	transformer	a plain copper transformer for domestic power service	This plain transformer is formed chiefly from copper and proportioned for domestic power service. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1430	5	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable	power:mains	portable		0		industrialised_electrical_power_lighting_0001_plain_scrap	industrial_household	Authored Electrical power and lighting matrix: plain/transformer/domestic/copper; priced by industrial_household analogue.	true	salvage
