StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_computing_networking_0001_plain_scrap	shared-industrialised	Computing and networking	modern;nuclear;information	scrap	a plain copper scrap for domestic data work	This plain scrap is formed chiefly from copper and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	895	1	copper	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/scrap/domestic/copper; priced by industrial_household analogue.	true	
industrialised_computing_networking_0002_plain_terminal	shared-industrialised	Computing and networking	modern;nuclear;information	terminal	a plain glass terminal for domestic data work	This plain terminal is formed chiefly from glass and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	932	2	glass	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/terminal/domestic/glass; priced by industrial_household analogue.	true	
industrialised_computing_networking_0003_plain_adapter	shared-industrialised	Computing and networking	modern;nuclear;information	adapter	a plain natural rubber adapter for domestic data work	This plain adapter is formed chiefly from natural rubber and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	969	5	natural rubber	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/adapter/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_computing_networking_0004_plain_switch	shared-industrialised	Computing and networking	modern;nuclear;information	switch	a plain mild steel switch for domestic data work	This plain switch is formed chiefly from mild steel and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1006	10	mild steel	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/switch/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_computing_networking_0005_plain_cabinet	shared-industrialised	Computing and networking	modern;nuclear;information	cabinet	a plain copper cabinet for domestic data work	This plain cabinet is formed chiefly from copper and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1043	20	copper	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_computing_networking_0001_plain_scrap	industrial_household	Authored Computing and networking matrix: plain/cabinet/domestic/copper; priced by industrial_household analogue.	true	salvage
industrialised_computing_networking_0006_plain_console	shared-industrialised	Computing and networking	modern;nuclear;information	console	a plain glass console for domestic data work	This plain console is formed chiefly from glass and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1080	50	glass	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/console/domestic/glass; priced by industrial_household analogue.	true	
industrialised_computing_networking_0007_plain_reader	shared-industrialised	Computing and networking	modern;nuclear;information	reader	a plain natural rubber reader for domestic data work	This plain reader is formed chiefly from natural rubber and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1117	100	natural rubber	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/reader/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_computing_networking_0008_plain_keyboard	shared-industrialised	Computing and networking	modern;nuclear;information	keyboard	a plain mild steel keyboard for domestic data work	This plain keyboard is formed chiefly from mild steel and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1154	200	mild steel	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/keyboard/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_computing_networking_0009_plain_monitor	shared-industrialised	Computing and networking	modern;nuclear;information	monitor	a plain copper monitor for domestic data work	This plain monitor is formed chiefly from copper and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1191	500	copper	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Computing and networking matrix: plain/monitor/domestic/copper; priced by industrial_household analogue.	true	
industrialised_computing_networking_0010_plain_cable	shared-industrialised	Computing and networking	modern;nuclear;information	cable	a plain glass cable for domestic data work	This plain cable is formed chiefly from glass and proportioned for domestic data work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1228	1	glass	Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable	networkmedia:wired	portable		0		industrialised_computing_networking_0001_plain_scrap	industrial_household	Authored Computing and networking matrix: plain/cable/domestic/glass; priced by industrial_household analogue.	true	salvage
