unique_reference,sdesc,fdesc
medieval_writing_plain_parchment_sheet,a plain parchment sheet,"This plain parchment sheet is a plainly finished pale parchment leaf with a scraped, smoothed face and slightly darker edges. The worked skin shows faint grain and occasional knife or pumice marks when turned in the light. It is left blank for letters, accounts, charters, or later binding into a manuscript."
medieval_writing_fine_parchment_sheet,a fine parchment sheet,"This fine parchment sheet is a carefully finished pale parchment leaf with a scraped, smoothed face and slightly darker edges. The worked skin shows faint grain and occasional knife or pumice marks when turned in the light. It is left blank for letters, accounts, charters, or later binding into a manuscript."
medieval_writing_ruled_parchment_sheet,a ruled parchment sheet,"This ruled parchment sheet is a pale parchment leaf ruled with faint guide lines for an even hand. The ruling is light enough not to dominate the page, but clear enough to keep columns and margins disciplined. Its scraped surface has a slight tooth for ink and a tougher feel than paper."
medieval_writing_scraped_parchment_bifolium,a scraped parchment bifolium,"This scraped parchment bifolium is folded from a single sheet of pale scraped parchment, with a clean central crease and paired writing leaves. The surface is smooth but still shows faint grain, edge trimming, and the slight translucence of worked skin. It is prepared for compact manuscript work, account notes, or binding into a larger quire."
medieval_writing_fine_parchment_bifolium,a fine parchment bifolium,"This fine parchment bifolium is folded from a single sheet of pale scraped parchment, with a clean central crease and paired writing leaves. The surface is smooth but still shows faint grain, edge trimming, and the slight translucence of worked skin. It is prepared for compact manuscript work, account notes, or binding into a larger quire."
medieval_writing_blank_parchment_charter,a blank parchment charter,"This blank parchment charter is a broad prepared parchment leaf with squared edges and a clear open face for formal writing. The skin has been scraped thin and burnished, leaving a faintly mottled grain beneath the pale surface. There is enough lower margin for witness marks, folds, or a later seal attachment."
medieval_writing_blank_parchment_writ,a blank parchment writ,"This blank parchment writ is a trimmed parchment document blank with a firm, pale writing face. The edges are cut neat and the surface has been rubbed smooth so a quill can keep a narrow line. Its compact format suits orders, deeds, notices, and other short formal records."
medieval_writing_parchment_deed_sheet,a blank parchment deed,"This blank parchment deed is a trimmed parchment document blank with a firm, pale writing face. The edges are cut neat and the surface has been rubbed smooth so a quill can keep a narrow line. Its compact format suits orders, deeds, notices, and other short formal records."
medieval_writing_parchment_label_tag,a parchment label tag,"This parchment label tag is cut from pale parchment into a narrow durable tag with room for a short hand-written mark. A small pierced end or narrowed corner gives it a place for cord, thread, or attachment to a roll or packet. The surface is smoothed enough for ink while remaining tougher than ordinary paper."
medieval_writing_plain_rag_paper_sheet,a plain rag-paper sheet,"This plain rag-paper sheet is a plain rag-paper leaf with a pale, lightly fibrous writing surface. Its edges are cut square and the sheet flexes softly rather than springing like parchment. It is ready for everyday letters, records, school exercises, or loose manuscript notes."
medieval_writing_fine_rag_paper_sheet,a fine rag-paper sheet,"This fine rag-paper sheet is a smooth rag-paper leaf with a clean pale surface and carefully trimmed edges. The sheet has enough body to resist tearing while remaining lighter and more flexible than parchment. It is suited to petitions, correspondence, copies, and other written work where a presentable page matters."
medieval_writing_ruled_rag_paper_sheet,a ruled rag-paper sheet,"This ruled rag-paper sheet is a rag-paper leaf with faint ruling lines laid across the writing face. The paper is light and slightly fibrous, with neat margins left around the working area. It is prepared for accounts, school exercises, or a copyist's orderly text."
medieval_writing_folded_rag_paper_letter,a folded rag-paper letter,"This folded rag-paper letter is folded from rag paper into a compact document form with creases already set into the sheet. The paper is pale, lightly fibrous, and firm enough to take quill or reed-pen ink without immediately feathering. Its folds leave a natural outer face for an address, mark, or seal."
medieval_writing_rag_paper_account_slip,a rag-paper account slip,"This rag-paper account slip is a narrow strip of rag paper cut for short account entries or temporary notes. The surface is plain and pale, with a little fibre showing at the trimmed edges. It is small enough to tuck into a ledger, pouch, or bundle of records."
medieval_writing_rag_paper_petition_leaf,a petition paper leaf,"This petition paper leaf is a smooth rag-paper leaf with a clean pale surface and carefully trimmed edges. The sheet has enough body to resist tearing while remaining lighter and more flexible than parchment. It is suited to petitions, correspondence, copies, and other written work where a presentable page matters."
medieval_writing_plain_papyrus_sheet,a plain papyrus sheet,"This plain papyrus sheet is made from pressed papyrus strips laid crosswise and burnished into a firm writing face. The pale surface shows fine plant fibres and a slight grid where the pith has been joined. It is ready for inked notes, accounts, letters, or attachment into a longer roll."
medieval_writing_mediterranean_papyrus_letter,a folded papyrus letter,"This folded papyrus letter is folded from pale papyrus, its outer face showing the crossing grain of pressed pith. The sheet is stiffer than rag paper and has a faint reedlike texture along the folds. It is meant for short correspondence, accounts, or compact Mediterranean-style record keeping."
medieval_writing_papyrus_account_sheet,a papyrus account sheet,"This papyrus account sheet is made from pressed papyrus strips laid crosswise and burnished into a firm writing face. The pale surface shows fine plant fibres and a slight grid where the pith has been joined. It is ready for inked notes, accounts, letters, or attachment into a longer roll."
medieval_writing_east_asian_paper_sheet,an East Asian paper sheet,"This East Asian paper sheet is made from light paper with a soft, even surface suited to brush or fine ink work. The sheet is thin but resilient, with straight-cut edges and a slight fibrous texture visible along the margins. It is intended for calligraphy, official notes, copied text, or careful document work."
medieval_writing_fine_east_asian_paper_sheet,a fine East Asian paper sheet,"This fine East Asian paper sheet is made from light paper with a soft, even surface suited to brush or fine ink work. The sheet is thin but resilient, with straight-cut edges and a slight fibrous texture visible along the margins. It is intended for calligraphy, official notes, copied text, or careful document work."
medieval_writing_east_asian_calligraphy_sheet,a calligraphy paper sheet,"This calligraphy paper sheet is made from light paper with a soft, even surface suited to brush or fine ink work. The sheet is thin but resilient, with straight-cut edges and a slight fibrous texture visible along the margins. It is intended for calligraphy, official notes, copied text, or careful document work."
medieval_writing_east_asian_official_slip,an official paper slip,"This official paper slip is made from light paper with a soft, even surface suited to brush or fine ink work. The sheet is thin but resilient, with straight-cut edges and a slight fibrous texture visible along the margins. It is intended for calligraphy, official notes, copied text, or careful document work."
medieval_writing_birch_bark_letter,a birch-bark letter,"This birch-bark letter is cut from pale birch bark and smoothed on the writing face. The bark keeps its natural curl and faint horizontal grain, with the edges rubbed down so they do not flake at once. It is suited to brief letters, tallies, practice marks, or rough notes made with ink, charcoal, or an incising point."
medieval_writing_birch_bark_account_strip,a birch-bark account strip,"This birch-bark account strip is cut from pale birch bark and smoothed on the writing face. The bark keeps its natural curl and faint horizontal grain, with the edges rubbed down so they do not flake at once. It is suited to brief letters, tallies, practice marks, or rough notes made with ink, charcoal, or an incising point."
medieval_writing_birch_bark_practice_strip,a birch-bark practice strip,"This birch-bark practice strip is cut from pale birch bark and smoothed on the writing face. The bark keeps its natural curl and faint horizontal grain, with the edges rubbed down so they do not flake at once. It is suited to brief letters, tallies, practice marks, or rough notes made with ink, charcoal, or an incising point."
medieval_writing_palm_leaf_strip,a palm-leaf manuscript strip,"This palm-leaf manuscript strip is a narrow palm-leaf strip dried, trimmed, and smoothed for manuscript use. The long surface is pale and fibrous, with enough stiffness to hold a line without folding like paper. It is ready for incised or inked text and can be stacked or corded into a manuscript bundle."
medieval_writing_pierced_palm_leaf_strip,a pierced palm-leaf strip,"This pierced palm-leaf strip is a narrow palm-leaf strip dried, trimmed, and smoothed for manuscript use. The long surface is pale and fibrous, with enough stiffness to hold a line without folding like paper. It is ready for incised or inked text and can be stacked or corded into a manuscript bundle."
medieval_writing_inked_palm_leaf_strip,an ink-ready palm-leaf strip,"This ink-ready palm-leaf strip is a narrow palm-leaf strip dried, trimmed, and smoothed for manuscript use. The long surface is pale and fibrous, with enough stiffness to hold a line without folding like paper. It is ready for incised or inked text and can be stacked or corded into a manuscript bundle."
medieval_writing_bamboo_slip,a bamboo writing slip,"This bamboo writing slip is a slim bamboo strip planed smooth for writing or marking. The surface keeps a pale woody sheen and a slight lengthwise grain beneath the prepared face. It can take brush writing, inked labels, or shallow incised marks for record keeping."
medieval_writing_bamboo_document_tag,a bamboo document tag,"This bamboo document tag is a slim bamboo strip planed smooth for writing or marking. The surface keeps a pale woody sheen and a slight lengthwise grain beneath the prepared face. It can take brush writing, inked labels, or shallow incised marks for record keeping."
medieval_writing_potsherd_ostracon,a smoothed potsherd ostracon,"This smoothed potsherd ostracon is a broken ceramic writing piece selected for a flat, usable face. Its edges have been rubbed smoother while the writing surface remains hard, pale, and slightly uneven. It is useful for short notes, labels, accounts, or practice marks that do not need a full sheet."
medieval_writing_plastered_ostracon,a pale plastered ostracon,"This pale plastered ostracon is a broken ceramic writing piece selected for a flat, usable face. Its edges have been rubbed smoother while the writing surface remains hard, pale, and slightly uneven. It is useful for short notes, labels, accounts, or practice marks that do not need a full sheet."
medieval_writing_nested_parchment_quire,a nested parchment quire,"This nested parchment quire is a nested gathering of blank leaves arranged for later sewing or binding. The folded edges sit together in a compact spine while the outer corners are trimmed into a tidy block. It is ready to become part of a codex, notebook, account book, or manuscript section."
medieval_writing_rag_paper_quire,a quire of rag-paper sheets,"This quire of rag-paper sheets is a nested gathering of blank leaves arranged for later sewing or binding. The folded edges sit together in a compact spine while the outer corners are trimmed into a tidy block. It is ready to become part of a codex, notebook, account book, or manuscript section."
medieval_writing_bamboo_slip_bundle,a bundle of bamboo slips,"This bundle of bamboo slips gathers several slim bamboo slips into an orderly stack. Each slip is straight, smooth, and narrow, with enough weight to hang or lie in a stable bundle. The group is useful for accounts, labels, records, or practice text that can be tied together afterward."
medieval_writing_loose_scroll_label_tabs,a bundle of scroll label tabs,"This bundle of scroll label tabs contains a stack of small blank labels cut from writing stock. The pieces are narrow and light, with enough surface for a title, seal note, tally mark, or short identifying hand. They are meant to be tied to scrolls, packets, bundles, or stored records."
medieval_writing_blank_paper_seal_tags,a bundle of blank seal tags,"This bundle of blank seal tags contains a stack of small blank labels cut from writing stock. The pieces are narrow and light, with enough surface for a title, seal note, tally mark, or short identifying hand. They are meant to be tied to scrolls, packets, bundles, or stored records."
medieval_writing_parchment_roll,a parchment writing roll,"This parchment writing roll is made from prepared parchment sheets joined or trimmed into a long roll. The surface is tougher and springier than paper, with pale scraped grain visible beneath the writing face. It is meant for charters, legal records, inventories, or other long formal documents."
medieval_writing_charter_roll,a blank charter roll,"This blank charter roll is a long prepared writing roll wound into a firm cylinder. The outer turn protects the writing surface and leaves room for a tie, label, or wrapper. It can be unrolled gradually for reading, copying, or record keeping."
medieval_writing_account_roll,an account parchment roll,"This account parchment roll is a long prepared writing roll wound into a firm cylinder. The outer turn protects the writing surface and leaves room for a tie, label, or wrapper. It can be unrolled gradually for reading, copying, or record keeping."
medieval_writing_court_roll,a court record roll,"This court record roll is a long prepared writing roll wound into a firm cylinder. The outer turn protects the writing surface and leaves room for a tie, label, or wrapper. It can be unrolled gradually for reading, copying, or record keeping."
medieval_writing_estate_roll,an estate account roll,"This estate account roll is a long prepared writing roll wound into a firm cylinder. The outer turn protects the writing surface and leaves room for a tie, label, or wrapper. It can be unrolled gradually for reading, copying, or record keeping."
medieval_writing_tax_roll,a tax account roll,"This tax account roll is a long prepared writing roll wound into a firm cylinder. The outer turn protects the writing surface and leaves room for a tie, label, or wrapper. It can be unrolled gradually for reading, copying, or record keeping."
medieval_writing_papyrus_scroll,a simple papyrus scroll,"This simple papyrus scroll is built from joined papyrus sheets rolled into a compact cylinder. The pale writing surface has a faint plant-fibre grid and enough stiffness to unroll without collapsing. It is suited to accounts, letters, scholarly notes, or Mediterranean-style record rolls."
medieval_writing_long_papyrus_scroll,a long papyrus scroll,"This long papyrus scroll is built from joined papyrus sheets rolled into a compact cylinder. The pale writing surface has a faint plant-fibre grid and enough stiffness to unroll without collapsing. It is suited to accounts, letters, scholarly notes, or Mediterranean-style record rolls."
medieval_writing_papyrus_archive_roll,a papyrus archive roll,"This papyrus archive roll is built from joined papyrus sheets rolled into a compact cylinder. The pale writing surface has a faint plant-fibre grid and enough stiffness to unroll without collapsing. It is suited to accounts, letters, scholarly notes, or Mediterranean-style record rolls."
medieval_writing_rag_paper_scroll,a rag-paper scroll,"This rag-paper scroll is a long prepared writing roll wound into a firm cylinder. The outer turn protects the writing surface and leaves room for a tie, label, or wrapper. It can be unrolled gradually for reading, copying, or record keeping."
medieval_writing_east_asian_handscroll,an East Asian handscroll,"This East Asian handscroll is a long paper roll arranged for brush-written or copied text. The paper is joined in a smooth run and wound around a neat core so it can be opened section by section. Its outer turn leaves space for a label, wrapper, or protective tie."
medieval_writing_east_asian_poetry_scroll,a blank poetry handscroll,"This blank poetry handscroll is a long paper roll arranged for brush-written or copied text. The paper is joined in a smooth run and wound around a neat core so it can be opened section by section. Its outer turn leaves space for a label, wrapper, or protective tie."
medieval_writing_east_asian_edict_scroll,a formal paper edict scroll,"This formal paper edict scroll is a long paper roll arranged for brush-written or copied text. The paper is joined in a smooth run and wound around a neat core so it can be opened section by section. Its outer turn leaves space for a label, wrapper, or protective tie."
medieval_writing_small_parchment_codex,a small parchment codex,"This small parchment codex is a bound parchment manuscript with folded leaves sewn between plain covers or boards. The pages have a firm pale surface and enough stiffness to hold their shape as the book opens. It is suited to legal, scholarly, devotional, or administrative writing that needs a durable codex form."
medieval_writing_plain_parchment_codex,a plain parchment codex,"This plain parchment codex is a bound parchment manuscript with folded leaves sewn between plain covers or boards. The pages have a firm pale surface and enough stiffness to hold their shape as the book opens. It is suited to legal, scholarly, devotional, or administrative writing that needs a durable codex form."
