stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
renaissance_food_italian_buttered_macaroni	Renaissance	Prepared	Noodle	macaroni	Italian buttered macaroni	Boiled macaroni is layered with aged cheese, butter, and sweet spice in a refined Renaissance service.	Resilient pasta carries tangy cheese, dairy richness, and aromatic warmth.	wheat	Rich	Cooked	VeryGood	500	30	EraSpecific
renaissance_food_italian_sugar_spiced_macaroni	Renaissance	Prepared	Noodle	macaroni	sugar-spiced Italian macaroni	Long pasta is dressed with cheese, sugar, and cinnamon-like spice according to elite Renaissance taste.	Savoury curd and sweet spice cling richly to firm wheat tubes.	wheat	Feast	Cooked	VeryGood	550	36	EraSpecific
renaissance_food_italian_layered_lasagne	Renaissance	Prepared	Noodle	lasagne	layered Renaissance lasagne	Thin pasta sheets alternate with cheese, broth, and spice before baking into a structured court dish.	Tender wheat, sharp curd, and browned richness unfold in savoury layers.	wheat	Feast	Cooked	VeryGood	650	38	EraSpecific
renaissance_food_italian_herb_cheese_ravioli	Renaissance	Prepared	Dumpling	ravioli	herb-and-cheese ravioli	Fine pasta parcels enclose fresh cheese and herbs, then receive butter and grated aged curd.	Delicate dough opens onto tangy creaminess, green fragrance, and nutty cheese.	cheese	Rich	Cooked	VeryGood	450	30	EraSpecific
renaissance_food_italian_meat_ravioli_broth	Renaissance	Prepared	Dumpling	ravioli	meat ravioli in clear broth	Tiny filled pasta cushions float in carefully clarified meat broth for an elegant first service.	Soft pasta and peppered mince meet clean, concentrated savour.	meat	Rich	Cooked	VeryGood	500	32	EraSpecific
renaissance_food_italian_pumpkin_tortelli	Renaissance	Prepared	Dumpling	tortelli	sweet-spiced pumpkin tortelli	Pumpkin, cheese, and sweet aromatics fill broad pasta parcels in a northern Italian Renaissance manner.	Sweet squash contrasts with sharp curd, spice, and tender wheat.	vegetable	Rich	Cooked	VeryGood	450	31	EraSpecific
renaissance_food_italian_greens_tortelli	Renaissance	Prepared	Dumpling	tortelli	green herb tortelli	Chopped greens, curd, and egg fill neatly sealed pasta rings served with melted butter.	Leafy bitterness and tangy cheese enrich the soft, golden dough.	cheese	Rich	Cooked	Good	430	27	EraSpecific
renaissance_food_italian_vermicelli_almond_fast	Renaissance	Prepared	Noodle	vermicelli	almond-milk fasting vermicelli	Fine noodles cook in almond milk with dried fruit for a sophisticated Renaissance fast-day course.	Nutty cream coats delicate strands with fruit sweetness and warm perfume.	wheat	Rich	Cooked	VeryGood	450	29	EraSpecific
renaissance_food_italian_baked_vermicelli_torte	Renaissance	Prepared	Noodle	torte	a baked vermicelli torte	Cooked fine pasta is bound with eggs, cheese, and spice inside a decorated pastry shell.	Browned noodles, rich custard, and crisp crust create layered savour.	wheat	Feast	Cooked	Great	650	42	EraSpecific
renaissance_food_italian_rice_flour_gnocchi	Renaissance	Prepared	Dumpling	gnocchi	Renaissance rice-flour gnocchi	Soft rice-flour dumplings are poached and dressed with butter, cheese, and sweet court spice.	Pillowy grain absorbs tangy curd, richness, and subtle sweetness.	rice	Rich	Cooked	VeryGood	450	29	EraSpecific
