StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_medical_mobility_0001_plain_waste	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	waste	a plain cotton waste for domestic care	This plain waste is formed chiefly from cotton and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1501	100	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/waste/domestic/cotton; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0002_plain_bandage	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	bandage	a plain linen bandage for domestic care	This plain bandage is formed chiefly from linen and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1538	200	linen	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/bandage/domestic/linen; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0003_plain_splint	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	splint	a plain mild steel splint for domestic care	This plain splint is formed chiefly from mild steel and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1575	500	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/splint/domestic/mild steel; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0004_plain_crutch	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	crutch	a plain glass crutch for domestic care	This plain crutch is formed chiefly from glass and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1612	1	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/crutch/domestic/glass; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0005_plain_stretcher	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	stretcher	a plain oak stretcher for domestic care	This plain stretcher is formed chiefly from oak and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1649	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_medical_mobility_0001_plain_waste	industrial_medical	Authored Medical and mobility matrix: plain/stretcher/domestic/oak; priced by industrial_medical analogue.	true	salvage
industrialised_medical_mobility_0006_plain_syringe	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	syringe	a plain cotton syringe for domestic care	This plain syringe is formed chiefly from cotton and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1686	5	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/syringe/domestic/cotton; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0007_plain_forceps	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	forceps	some plain linen forceps for domestic care	These plain forceps are formed chiefly from linen and proportioned for domestic care. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	1723	10	linen	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/forceps/domestic/linen; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0008_plain_thermometer	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	thermometer	a plain mild steel thermometer for domestic care	This plain thermometer is formed chiefly from mild steel and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1760	20	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/thermometer/domestic/mild steel; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0009_plain_case	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	case	a plain glass case for domestic care	This plain case is formed chiefly from glass and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1797	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: plain/case/domestic/glass; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0010_plain_brace	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	brace	a plain oak brace for domestic care	This plain brace is formed chiefly from oak and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1834	100	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_medical_mobility_0001_plain_waste	industrial_medical	Authored Medical and mobility matrix: plain/brace/domestic/oak; priced by industrial_medical analogue.	true	salvage
industrialised_medical_mobility_0011_reinforced_waste	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	waste	a reinforced cotton waste for domestic care	This reinforced waste is formed chiefly from cotton and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1871	200	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: reinforced/waste/domestic/cotton; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0012_reinforced_bandage	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	bandage	a reinforced linen bandage for domestic care	This reinforced bandage is formed chiefly from linen and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1908	500	linen	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: reinforced/bandage/domestic/linen; priced by industrial_medical analogue.	true	
industrialised_medical_mobility_0013_reinforced_splint	shared-industrialised	Medical and mobility	industrial;modern;nuclear;information	splint	a reinforced mild steel splint for domestic care	This reinforced splint is formed chiefly from mild steel and proportioned for domestic care. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1945	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_medical	Authored Medical and mobility matrix: reinforced/splint/domestic/mild steel; priced by industrial_medical analogue.	true	
