PlanningKey	ItemReference	Family	EraAdmissions	ProductionRoute	Reused	InventoryFile	InventoryLine	BindingSourceFile	BindingSourceLine	BindingSourceKind	Material	CandidateComponents	RequiredTags	RequestedWearProfile	RequiredLayerWeight	MissingStockNames	ComponentCapabilities	ComponentCompositionIssues	OutfitReferences	AdditionalSkinBriefs	OpenRequirements	Validation	DependencySourceSha256
woven_poncho	earlymodern_andeancolonial_clothing_wool_poncho	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	337	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wool	["Holdable","Destroyable_Clothing","Wear_Poncho","Armour_HeavyClothing","Insulation_Strong","Variable_BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["andean_wool"]	["woven bands","geometric border"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
gathered_cotton_skirt	earlymodern_colonial_clothing_full_cotton_skirt	lower	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	352	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Long_Skirt","Armour_LightClothing","Insulation_Minor","Variable_BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	[]	["border print","small floral","embroidered hem"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
moccasins	earlymodern_colonialnorthamerica_clothing_soft_moccasins	footwear	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	347	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	leather	["Holdable","Destroyable_Clothing","Wear_Shoes","Armour_LightClothing","Insulation_Minor","Variable_LeatherColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["moccasin_travel"]	["beaded vamp","contrasting stitching"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
wooden_clogs	earlymodern_dutch_clothing_wooden_clogs	footwear	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	304	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wood	["Holdable","Destroyable_Clothing","Wear_Shoes","Armour_LightClothing","Insulation_Minor","Variable_WoodColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["rural_woman","rural_worker"]	["carved border","painted floral"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
espadrilles	earlymodern_footwear_indianocean_ropesole_deckshoes	footwear	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	379	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	canvas	["Holdable","Destroyable_Clothing","Wear_Shoes","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Functions / Worn Items / Footwear","Market / Clothing / Maritime Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	[]	["striped canvas","embroidered toe"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
fur_boots	earlymodern_footwear_northamerican_furlined_moccasinboots	footwear	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	348	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	deer leather	["Holdable","Destroyable_Clothing","Wear_Boots","Armour_LightClothing","Insulation_Strong","Variable_LeatherColour"]	["Era / Early Modern Era","Functions / Worn Items / Footwear","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["cold_arctic"]	["embroidered cuff","contrasting hide bands"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
underskirt_cotton	earlymodern_italian_clothing_striped_cotton_petticoat	foundation	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	351	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Long_Skirt","Armour_LightClothing","Insulation_Minor","Variable_2BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["bustle_visit","crinolette_day","domestic_worker","hospital_nursing_early","industrial_evening","mourning_day","rural_woman","town_daydress"]	["narrow tucks","embroidered hem"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
baji	earlymodern_joseon_clothing_full_baji_trousers	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	386	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Trousers","Armour_LightClothing","Insulation_Minor","Variable_BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["korean_trousers_ensemble"]	["narrow woven stripe"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
djellaba	earlymodern_maghrebi_clothing_hooded_wool_djellaba	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	344	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wool	["Holdable","Destroyable_Clothing","Wear_Long_Open_Robe","Armour_HeavyClothing","Insulation_Moderate","Variable_BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["djellaba_cool"]	["narrow stripes","embroidered seams"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
fitted_caftan	earlymodern_maghrebi_clothing_short_fitted_caftan	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	346	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Long_Open_Robe","Armour_LightClothing","Insulation_Minor","Variable_FineColour"]	["Era / Early Modern Era","Market / Clothing / Luxury Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["caftan_visit"]	["braided edge","embroidered front"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
