unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
renaissance_jewellery_common_ring_01,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,ring,a cloud carnelian ring,carnelian,Tiny,Standard,20,8,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_signet_ring_02,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,ring,a shell lapis lazuli ring,lapis lazuli,Tiny,VeryGood,27,17,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_pendant_03,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,pendant,a reed turquoise pendant,turquoise,Tiny,Good,34,26,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_bead_necklace_04,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,necklace,a rosette jade necklace,jade,Tiny,Standard,41,35,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_chain_necklace_05,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,necklace,a checker quartz necklace,quartz,Tiny,VeryGood,48,44,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_bracelet_06,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,bracelet,a braided faience bracelet,faience,Tiny,Good,55,53,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_armlet_07,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,armlet,a radiating pewter armlet,pewter,Tiny,Standard,62,62,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_anklet_08,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,anklet,a leaf-scroll copper anklet,copper,Tiny,Poor,69,71,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_earrings_09,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,earrings,a sunburst bronze earrings,bronze,Tiny,Standard,76,80,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_brooch_10,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,brooch,a water-wave silver brooch,silver,Tiny,Good,83,89,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
