StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_raw_materials_chemicals_waste_0001_plain_scrap	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	scrap	a plain paper scrap for domestic materials processing	This plain scrap is formed chiefly from paper and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2309	50	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/scrap/domestic/paper; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0002_plain_ingot	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	ingot	a plain cotton ingot for domestic materials processing	This plain ingot is formed chiefly from cotton and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2346	100	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/ingot/domestic/cotton; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0003_plain_sheet	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	sheet	a plain mild steel sheet for domestic materials processing	This plain sheet is formed chiefly from mild steel and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2383	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/sheet/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0004_plain_wire	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	wire	a plain copper wire for domestic materials processing	This plain wire is formed chiefly from copper and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2420	500	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/wire/domestic/copper; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0005_plain_rod	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	rod	a plain aluminium rod for domestic materials processing	This plain rod is formed chiefly from aluminium and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2457	1	aluminium	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_raw_materials_chemicals_waste_0001_plain_scrap	industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/rod/domestic/aluminium; priced by industrial_tools analogue.	true	salvage
industrialised_raw_materials_chemicals_waste_0006_plain_powder	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	powder	a plain paper powder for domestic materials processing	This plain powder is formed chiefly from paper and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2494	2	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/powder/domestic/paper; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0007_plain_pellet	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	pellet	a plain cotton pellet for domestic materials processing	This plain pellet is formed chiefly from cotton and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2531	5	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/pellet/domestic/cotton; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0008_plain_offcut	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	offcut	a plain mild steel offcut for domestic materials processing	This plain offcut is formed chiefly from mild steel and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2568	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/offcut/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0009_plain_shavings	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	shavings	some plain copper shavings for domestic materials processing	These plain shavings are formed chiefly from copper and proportioned for domestic materials processing. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	2605	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/shavings/domestic/copper; priced by industrial_tools analogue.	true	
industrialised_raw_materials_chemicals_waste_0010_plain_slag	shared-industrialised	Raw materials, chemicals and waste	industrial;modern;nuclear;information	slag	a plain aluminium slag for domestic materials processing	This plain slag is formed chiefly from aluminium and proportioned for domestic materials processing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2642	50	aluminium	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_raw_materials_chemicals_waste_0001_plain_scrap	industrial_tools	Authored Raw materials, chemicals and waste matrix: plain/slag/domestic/aluminium; priced by industrial_tools analogue.	true	salvage
