StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_weapons_police_military_0001_plain_scrap	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	scrap	a plain mild steel scrap for domestic security	This plain scrap is formed chiefly from mild steel and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1602	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/scrap/domestic/mild steel; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0002_plain_holster	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	holster	a plain leather holster for domestic security	This plain holster is formed chiefly from leather and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1639	500	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/holster/domestic/leather; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0003_plain_baton	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	baton	a plain cotton baton for domestic security	This plain baton is formed chiefly from cotton and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1676	1	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/baton/domestic/cotton; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0004_plain_scabbard	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	scabbard	a plain oak scabbard for domestic security	This plain scabbard is formed chiefly from oak and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1713	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/scabbard/domestic/oak; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0005_plain_cartridge	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	cartridge	a plain mild steel cartridge for domestic security	This plain cartridge is formed chiefly from mild steel and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1750	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_weapons_police_military_0001_plain_scrap	industrial_weapons	Authored Weapons, police and military matrix: plain/cartridge/domestic/mild steel; priced by industrial_weapons analogue.	true	salvage
industrialised_weapons_police_military_0006_plain_magazine	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	magazine	a plain leather magazine for domestic security	This plain magazine is formed chiefly from leather and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1787	10	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/magazine/domestic/leather; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0007_plain_shield	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	shield	a plain cotton shield for domestic security	This plain shield is formed chiefly from cotton and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1824	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/shield/domestic/cotton; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0008_plain_helmet	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	helmet	a plain oak helmet for domestic security	This plain helmet is formed chiefly from oak and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1861	50	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/helmet/domestic/oak; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0009_plain_pouch	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	pouch	a plain mild steel pouch for domestic security	This plain pouch is formed chiefly from mild steel and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1898	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_weapons	Authored Weapons, police and military matrix: plain/pouch/domestic/mild steel; priced by industrial_weapons analogue.	true	
industrialised_weapons_police_military_0010_plain_signal	shared-industrialised	Weapons, police and military	industrial;modern;nuclear;information	signal	a plain leather signal for domestic security	This plain signal is formed chiefly from leather and proportioned for domestic security. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1935	200	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_weapons_police_military_0001_plain_scrap	industrial_weapons	Authored Weapons, police and military matrix: plain/signal/domestic/leather; priced by industrial_weapons analogue.	true	salvage
