Profile	Order	Role	Category	Description	SourceReference	Quantity	Unit	Allergens
ingredient_industrialised_food_staples_001	1	defining ingredient	Other	standardised wheat meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_002	1	defining ingredient	Other	standardised long-grain rice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_003	1	defining ingredient	Other	standardised maize meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_004	1	defining ingredient	Other	standardised oat groats (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_005	1	defining ingredient	Other	standardised rye meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_006	1	defining ingredient	Other	standardised barley grits (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_007	1	defining ingredient	Other	standardised potato staple (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_008	1	defining ingredient	Other	standardised cassava meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_009	1	defining ingredient	Other	standardised millet grain (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_staples_010	1	defining ingredient	Other	standardised sorghum grain (industrialised form)	same-graph	100	g	
ingredient_industrial_food_staples_001	1	defining ingredient	Other	standardised wheat meal (industrial form)	same-graph	100	g	
ingredient_industrial_food_staples_002	1	defining ingredient	Other	standardised long-grain rice (industrial form)	same-graph	100	g	
ingredient_modern_food_staples_001	1	defining ingredient	Other	standardised wheat meal (modern form)	same-graph	100	g	
ingredient_modern_food_staples_002	1	defining ingredient	Other	standardised long-grain rice (modern form)	same-graph	100	g	
ingredient_modern_food_staples_003	1	defining ingredient	Other	standardised maize meal (modern form)	same-graph	100	g	
ingredient_nuclear_food_staples_001	1	defining ingredient	Other	standardised wheat meal (nuclear form)	same-graph	100	g	
ingredient_information_food_staples_001	1	defining ingredient	Other	standardised wheat meal (information form)	same-graph	100	g	
ingredient_industrialised_food_baking_001	1	defining ingredient	Other	standardised sandwich loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_002	1	defining ingredient	Other	standardised soda bread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_003	1	defining ingredient	Other	standardised milk bread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_004	1	defining ingredient	Other	standardised rye loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_005	1	defining ingredient	Other	standardised crispbread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_006	1	defining ingredient	Other	standardised tea biscuit (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_007	1	defining ingredient	Other	standardised shortcake (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_008	1	defining ingredient	Other	standardised sponge cake (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_009	1	defining ingredient	Other	standardised fruit cake (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_010	1	defining ingredient	Other	standardised laminated pastry (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_011	1	defining ingredient	Other	institutional sandwich loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_012	1	defining ingredient	Other	institutional soda bread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_013	1	defining ingredient	Other	institutional milk bread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_014	1	defining ingredient	Other	institutional rye loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_015	1	defining ingredient	Other	institutional crispbread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_baking_016	1	defining ingredient	Other	institutional tea biscuit (industrialised form)	same-graph	100	g	
ingredient_industrial_food_baking_001	1	defining ingredient	Other	standardised sandwich loaf (industrial form)	same-graph	100	g	
ingredient_industrial_food_baking_002	1	defining ingredient	Other	standardised soda bread (industrial form)	same-graph	100	g	
ingredient_industrial_food_baking_003	1	defining ingredient	Other	standardised milk bread (industrial form)	same-graph	100	g	
ingredient_modern_food_baking_001	1	defining ingredient	Other	standardised sandwich loaf (modern form)	same-graph	100	g	
ingredient_modern_food_baking_002	1	defining ingredient	Other	standardised soda bread (modern form)	same-graph	100	g	
ingredient_modern_food_baking_003	1	defining ingredient	Other	standardised milk bread (modern form)	same-graph	100	g	
ingredient_modern_food_baking_004	1	defining ingredient	Other	standardised rye loaf (modern form)	same-graph	100	g	
ingredient_modern_food_baking_005	1	defining ingredient	Other	standardised crispbread (modern form)	same-graph	100	g	
ingredient_nuclear_food_baking_001	1	defining ingredient	Other	standardised sandwich loaf (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_baking_002	1	defining ingredient	Other	standardised soda bread (nuclear form)	same-graph	100	g	
ingredient_information_food_baking_001	1	defining ingredient	Other	standardised sandwich loaf (information form)	same-graph	100	g	
ingredient_information_food_baking_002	1	defining ingredient	Other	standardised soda bread (information form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_001	1	defining ingredient	Other	standardised wheat noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_002	1	defining ingredient	Other	standardised rice noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_003	1	defining ingredient	Other	standardised egg noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_004	1	defining ingredient	Other	standardised starch noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_005	1	defining ingredient	Other	standardised filled dumplings (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_006	1	defining ingredient	Other	standardised potato dumplings (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_007	1	defining ingredient	Other	standardised steamed buns (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_008	1	defining ingredient	Other	standardised pasta ribbons (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_009	1	defining ingredient	Other	standardised pasta tubes (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_010	1	defining ingredient	Other	standardised instant noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_011	1	defining ingredient	Other	institutional wheat noodles (industrialised form)	same-graph	100	g	
