StableReference	PhysicalKind	Family	Admissions	Concept	Ownership	Material	LiquidDependency	Components	Tags	IngredientProfile	NutritionProfile	DietaryProfile	FreshnessProfile	HealthBindings	ProductionRoute	FailureFamily	EvidenceRoute	Rationale	ReviewState
industrialised_food_staples_001	Item	staples	industrial;modern;nuclear;information	standardised wheat meal (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_001	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_001	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_002	Item	staples	industrial;modern;nuclear;information	standardised long-grain rice (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_002	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_002	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_003	Item	staples	industrial;modern;nuclear;information	standardised maize meal (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_003	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_003	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_004	Item	staples	industrial;modern;nuclear;information	standardised oat groats (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_004	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_004	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_005	Item	staples	industrial;modern;nuclear;information	standardised rye meal (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_005	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_005	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_006	Item	staples	industrial;modern;nuclear;information	standardised barley grits (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_006	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_006	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_007	Item	staples	industrial;modern;nuclear;information	standardised potato staple (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_007	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_007	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_008	Item	staples	industrial;modern;nuclear;information	standardised cassava meal (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_008	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_008	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_009	Item	staples	industrial;modern;nuclear;information	standardised millet grain (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_009	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_009	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_staples_010	Item	staples	industrial;modern;nuclear;information	standardised sorghum grain (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_staples_010	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_010	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrial_food_staples_001	Item	staples	industrial	standardised wheat meal (industrial form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era	ingredient_industrial_food_staples_001	nutrition_staples	dietary_staples	freshness_shelf		route_industrial_food_staples_001	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrial_food_staples_002	Item	staples	industrial	standardised long-grain rice (industrial form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era	ingredient_industrial_food_staples_002	nutrition_staples	dietary_staples	freshness_shelf		route_industrial_food_staples_002	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_staples_001	Item	staples	modern	standardised wheat meal (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_staples_001	nutrition_staples	dietary_staples	freshness_shelf		route_modern_food_staples_001	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_staples_002	Item	staples	modern	standardised long-grain rice (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_staples_002	nutrition_staples	dietary_staples	freshness_shelf		route_modern_food_staples_002	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_staples_003	Item	staples	modern	standardised maize meal (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_staples_003	nutrition_staples	dietary_staples	freshness_shelf		route_modern_food_staples_003	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
nuclear_food_staples_001	Item	staples	nuclear	standardised wheat meal (nuclear form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Nuclear Era	ingredient_nuclear_food_staples_001	nutrition_staples	dietary_staples	freshness_shelf		route_nuclear_food_staples_001	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
information_food_staples_001	Item	staples	information	standardised wheat meal (information form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Information Age Era	ingredient_information_food_staples_001	nutrition_staples	dietary_staples	freshness_shelf		route_information_food_staples_001	failure_food_unusable	evidence_staples	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
