EvidenceId	EraBand	Locale	StartYear	EndYear	Currency	NominalPrice	QuotedUnit	DailyWage	LabourDays	CostIndex	SourceClass	ComparableFamily	Confidence	SourceUrl	SourcePage	Notes
industrial_food	late-industrial	US mail-order	1897	1897	USD	0.12	pound	1.40	0.085714	1	primary-catalogue	basic meal ingredients	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, groceries; tea price range starts at $0.12 per pound	Quote matched to the 1897 lower-skilled weekly earnings series D 121-133 in Historical Statistics of the United States; this corpus explicitly normalises $8.40 per week to $1.40 over six labour days. CostIndex is the nearest 1-2-5 ladder value.
industrial_tools	late-industrial	US mail-order	1897	1897	USD	0.25	each	1.40	0.178571	2	primary-catalogue	day-labour tool	medium	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, tools/pocket knives	Representative pocket-knife quote matched to the same Census series D 121-133 wage basis. CostIndex is the nearest 1-2-5 ladder value.
industrial_clothing	late-industrial	US mail-order	1897	1897	USD	0.95	each	1.40	0.678571	5	primary-catalogue	ordinary garment	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, men's shirts; Princely Shirt	Advertised single-shirt price matched to the same Census series D 121-133 wage basis; proprietary wording is not used in seeded item names.
industrial_household	late-industrial	US mail-order	1897	1897	USD	1.00	each	1.40	0.714286	10	primary-catalogue	household furnishing	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, furniture/baby carriages; child's high chair	Representative household durable matched to the same Census series D 121-133 wage basis.
industrial_medical	late-industrial	US mail-order	1897	1897	USD	0.05	2-4 oz package	1.40	0.035714	0.5	primary-catalogue	common medicine or herb	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, drugs; herbs price range starts at $0.05	Ordinary packaged-herb quote matched to the same Census series D 121-133 wage basis; this is not evidence for efficacy.
industrial_weapons	late-industrial	US mail-order	1897	1897	USD	1.55	each	1.40	1.107143	10	primary-catalogue	basic handgun	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, firearms; $1.55 revolver	Representative inexpensive handgun quote matched to the same Census series D 121-133 wage basis; exact mechanical rows still require action and calibre support.
industrial_vehicle	late-industrial	US mail-order	1897	1897	USD	43.00	each	1.40	30.714286	200	primary-catalogue	bicycle	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, bicycles; mid-tier bicycle	Representative bicycle quote matched to the same Census series D 121-133 wage basis; it is not a motor-vehicle or freight-vehicle quote.
industrial_leisure	late-industrial	US mail-order	1897	1897	USD	2.00	complete outfit	1.40	1.428571	10	primary-catalogue	leisure durable	high	https://archive.org/details/1897searsroebuck0000unse	Catalogue No. 104, musical goods; complete violin outfit with bow and case	Non-essential durable cross-check matched to the same Census series D 121-133 wage basis.
industrial_britain_food_series	early-industrial	England	1750	1830	GBP-predecimal		original source measure				scholarly-series	food and fuel basket	high	https://faculty.econ.ucdavis.edu/faculty/gclark/data.html	Prices of 22 domestic farm products, 1500-1914	A series gateway, deliberately without a nominal quote. Extract the named year/product/unit from the linked workbook before a finished row uses it.
industrial_britain_wages	early-industrial	England	1750	1869	GBP-predecimal		day wage				scholarly-series	unskilled labour wage	high	https://faculty.econ.ucdavis.edu/faculty/gclark/data.html	Farm Day Wages, 1208-1869; annual from 1670	The British wage bridge for pre-1870 evidence. Preserve the source's date, region and work-period definition.
