StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_automation_access_control_0001_plain_scrap	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	scrap	a plain mild steel scrap for domestic site control	This plain scrap is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1198	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/scrap/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0002_plain_keycard	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	keycard	a plain copper keycard for domestic site control	This plain keycard is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1235	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/keycard/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0003_plain_reader	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	reader	a plain glass reader for domestic site control	This plain reader is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1272	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/reader/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0004_plain_relay	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	relay	a plain mild steel relay for domestic site control	This plain relay is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1309	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/relay/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0005_plain_alarm	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	alarm	a plain copper alarm for domestic site control	This plain alarm is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1346	200	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: plain/alarm/domestic/copper; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0006_plain_sensor	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	sensor	a plain glass sensor for domestic site control	This plain sensor is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1383	500	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/sensor/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0007_plain_latch	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	latch	a plain mild steel latch for domestic site control	This plain latch is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1420	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/latch/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0008_plain_indicator	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	indicator	a plain copper indicator for domestic site control	This plain indicator is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1457	2	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/indicator/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0009_plain_panel	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	panel	a plain glass panel for domestic site control	This plain panel is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1494	5	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: plain/panel/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0010_plain_bell	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	bell	a plain mild steel bell for domestic site control	This plain bell is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1531	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: plain/bell/domestic/mild steel; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0011_reinforced_scrap	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	scrap	a reinforced copper scrap for domestic site control	This reinforced scrap is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1568	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/scrap/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0012_reinforced_keycard	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	keycard	a reinforced glass keycard for domestic site control	This reinforced keycard is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1605	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/keycard/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0013_reinforced_reader	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	reader	a reinforced mild steel reader for domestic site control	This reinforced reader is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1642	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/reader/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0014_reinforced_relay	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	relay	a reinforced copper relay for domestic site control	This reinforced relay is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1679	200	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/relay/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0015_reinforced_alarm	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	alarm	a reinforced glass alarm for domestic site control	This reinforced alarm is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1716	500	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: reinforced/alarm/domestic/glass; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0016_reinforced_sensor	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	sensor	a reinforced mild steel sensor for domestic site control	This reinforced sensor is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1753	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/sensor/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0017_reinforced_latch	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	latch	a reinforced copper latch for domestic site control	This reinforced latch is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1790	2	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/latch/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0018_reinforced_indicator	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	indicator	a reinforced glass indicator for domestic site control	This reinforced indicator is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1827	5	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/indicator/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0019_reinforced_panel	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	panel	a reinforced mild steel panel for domestic site control	This reinforced panel is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1864	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: reinforced/panel/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0020_reinforced_bell	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	bell	a reinforced copper bell for domestic site control	This reinforced bell is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1901	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: reinforced/bell/domestic/copper; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0021_compact_scrap	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	scrap	a compact glass scrap for domestic site control	This compact scrap is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1938	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/scrap/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0022_compact_keycard	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	keycard	a compact mild steel keycard for domestic site control	This compact keycard is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1975	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/keycard/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0023_compact_reader	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	reader	a compact copper reader for domestic site control	This compact reader is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2012	200	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/reader/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0024_compact_relay	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	relay	a compact glass relay for domestic site control	This compact relay is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2049	500	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/relay/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0025_compact_alarm	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	alarm	a compact mild steel alarm for domestic site control	This compact alarm is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2086	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: compact/alarm/domestic/mild steel; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0026_compact_sensor	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	sensor	a compact copper sensor for domestic site control	This compact sensor is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2123	2	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/sensor/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0027_compact_latch	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	latch	a compact glass latch for domestic site control	This compact latch is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2160	5	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/latch/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0028_compact_indicator	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	indicator	a compact mild steel indicator for domestic site control	This compact indicator is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2197	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/indicator/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0029_compact_panel	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	panel	a compact copper panel for domestic site control	This compact panel is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2234	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: compact/panel/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0030_compact_bell	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	bell	a compact glass bell for domestic site control	This compact bell is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2271	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: compact/bell/domestic/glass; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0031_heavy_duty_scrap	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	scrap	a heavy-duty mild steel scrap for domestic site control	This heavy-duty scrap is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2308	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/scrap/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0032_heavy_duty_keycard	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	keycard	a heavy-duty copper keycard for domestic site control	This heavy-duty keycard is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2345	200	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/keycard/domestic/copper; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0033_heavy_duty_reader	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	reader	a heavy-duty glass reader for domestic site control	This heavy-duty reader is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2382	500	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/reader/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0034_heavy_duty_relay	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	relay	a heavy-duty mild steel relay for domestic site control	This heavy-duty relay is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2419	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/relay/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0035_heavy_duty_alarm	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	alarm	a heavy-duty copper alarm for domestic site control	This heavy-duty alarm is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2456	2	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: heavy-duty/alarm/domestic/copper; priced by industrial_household analogue.	true	salvage
industrialised_automation_access_control_0036_heavy_duty_sensor	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	sensor	a heavy-duty glass sensor for domestic site control	This heavy-duty sensor is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2493	5	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/sensor/domestic/glass; priced by industrial_household analogue.	true	
industrialised_automation_access_control_0037_heavy_duty_latch	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	latch	a heavy-duty mild steel latch for domestic site control	This heavy-duty latch is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2530	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/latch/domestic/mild steel; priced by industrial_household analogue.	false	
industrialised_automation_access_control_0038_heavy_duty_indicator	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	indicator	a heavy-duty copper indicator for domestic site control	This heavy-duty indicator is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2567	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/indicator/domestic/copper; priced by industrial_household analogue.	false	
industrialised_automation_access_control_0039_heavy_duty_panel	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	panel	a heavy-duty glass panel for domestic site control	This heavy-duty panel is formed chiefly from glass and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2604	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: heavy-duty/panel/domestic/glass; priced by industrial_household analogue.	false	
industrialised_automation_access_control_0040_heavy_duty_bell	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	bell	a heavy-duty mild steel bell for domestic site control	This heavy-duty bell is formed chiefly from mild steel and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2641	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_automation_access_control_0001_plain_scrap	industrial_household	Authored Automation and access control matrix: heavy-duty/bell/domestic/mild steel; priced by industrial_household analogue.	false	salvage
industrialised_automation_access_control_0041_folding_scrap	shared-industrialised	Automation and access control	industrial;modern;nuclear;information	scrap	a folding copper scrap for domestic site control	This folding scrap is formed chiefly from copper and proportioned for domestic site control. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2678	200	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Automation and access control matrix: folding/scrap/domestic/copper; priced by industrial_household analogue.	false	
