StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_clothing_footwear_uniforms_0001_plain_rag	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	rag	a plain wool rag for domestic wear	This plain rag is formed chiefly from wool and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	188	5	wool	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Apron		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/rag/domestic/wool; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0002_plain_apron	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	apron	a plain leather apron for domestic wear	This plain apron is formed chiefly from leather and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	225	10	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Apron		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/apron/domestic/leather; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0003_plain_shirt	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	shirt	a plain cotton shirt for domestic wear	This plain shirt is formed chiefly from cotton and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	262	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Shirt		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/shirt/domestic/cotton; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0004_plain_trousers	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	trousers	some plain linen trousers for domestic wear	These plain trousers are formed chiefly from linen and proportioned for domestic wear. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	299	50	linen	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Trousers		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/trousers/domestic/linen; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0005_plain_boots	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	boots	some plain wool boots for domestic wear	These plain boots are formed chiefly from wool and proportioned for domestic wear. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	336	100	wool	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Boots		portable		0		industrialised_clothing_footwear_uniforms_0001_plain_rag	industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/boots/domestic/wool; priced by industrial_clothing analogue.	true	salvage
industrialised_clothing_footwear_uniforms_0006_plain_dress	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	dress	a plain leather dress for domestic wear	This plain dress is formed chiefly from leather and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	373	200	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Dress		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/dress/domestic/leather; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0007_plain_jacket	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	jacket	a plain cotton jacket for domestic wear	This plain jacket is formed chiefly from cotton and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	410	500	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Jacket		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/jacket/domestic/cotton; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0008_plain_hat	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	hat	a plain linen hat for domestic wear	This plain hat is formed chiefly from linen and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	447	1	linen	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Hat		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/hat/domestic/linen; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0009_plain_gloves	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	gloves	some plain wool gloves for domestic wear	These plain gloves are formed chiefly from wool and proportioned for domestic wear. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	484	2	wool	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Gloves		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/gloves/domestic/wool; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0010_plain_scarf	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	scarf	a plain leather scarf for domestic wear	This plain scarf is formed chiefly from leather and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	521	5	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Scarf		portable		0		industrialised_clothing_footwear_uniforms_0001_plain_rag	industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/scarf/domestic/leather; priced by industrial_clothing analogue.	true	salvage
industrialised_clothing_footwear_uniforms_0011_plain_skirt	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	skirt	a plain cotton skirt for domestic wear	This plain skirt is formed chiefly from cotton and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	558	10	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Skirt		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/skirt/domestic/cotton; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0012_plain_socks	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	socks	some plain linen socks for domestic wear	These plain socks are formed chiefly from linen and proportioned for domestic wear. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	595	20	linen	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Socks		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/socks/domestic/linen; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0013_plain_vest	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	vest	a plain wool vest for domestic wear	This plain vest is formed chiefly from wool and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	632	50	wool	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Vest		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/vest/domestic/wool; priced by industrial_clothing analogue.	true	
industrialised_clothing_footwear_uniforms_0014_plain_coat	shared-industrialised	Clothing, footwear and uniforms	industrial;modern;nuclear;information	coat	a plain leather coat for domestic wear	This plain coat is formed chiefly from leather and proportioned for domestic wear. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	669	100	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Jacket		portable		0			industrial_clothing	Authored Clothing, footwear and uniforms matrix: plain/coat/domestic/leather; priced by industrial_clothing analogue.	true	
