stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
earlymodern_food_liquid_ottoman_clove_coffee	EarlyModern	Coffee	Ottoman clove coffeehouse liquor	black clove coffeehouse coffee	Fine grounds make this Ottoman coffeehouse serving nearly black, with clove specks caught beneath a narrow ring of tan foam.	Forceful roast bitterness gives way to clove warmth and a dry, lingering finish.	Its steam carries dark coffee, crushed clove bud, and hot copper.	Bold Black	0	0.90	0.25	1	EraSpecific
earlymodern_food_liquid_safavid_rose_coffee	EarlyModern	Coffee	Safavid rosewater coffee	dark rosewater coffee	A few drops of rosewater perfume this dark Safavid coffee without clearing the fine sediment gathered at the cup's base.	Bitter coffee and floral rose alternate across the palate, ending clean and aromatic.	It smells of roasted beans, distilled rose petals, and faint cardamom.	Magenta	0	0.90	0.25	1	EraSpecific
earlymodern_food_liquid_mughal_almond_coffee	EarlyModern	Coffee	Mughal almond-cardamom coffee	brown almond cardamom coffee	Strained almond milk softens this Mughal coffee to warm brown, while green cardamom flecks remain within its light foam.	Roast bitterness is rounded by nutty creaminess and the cool warmth of cardamom.	The cup gives off coffee, crushed almonds, cardamom pod, and rose.	Bold Orange	0	0.75	1.50	0.50	EraSpecific
earlymodern_food_liquid_company_bohea_tea	EarlyModern	Tea	company-house bohea tea liquor	clear copper bohea tea	Dark bohea leaves produce a clear copper infusion served in European company houses tied to the expanding Asian tea trade.	Dry tannin and faint smoke dominate, with a woody sweetness emerging after swallowing.	It smells of dark tea leaf, seasoned packing wood, and warm porcelain.	Orange	0	0.95	0	1.50	EraSpecific
earlymodern_food_liquid_qing_jasmine_tea	EarlyModern	Tea	Qing jasmine-scented tea liquor	pale jasmine-scented tea	Repeated scenting with jasmine blossoms leaves this Qing tea pale gold and brilliantly clear, with no petals in the finished cup.	Delicate leaf astringency supports fresh jasmine and a softly sweet floral close.	Its refined fragrance joins young tea, night-blooming jasmine, and clean steam.	Bold Yellow	0	0.95	0	1.50	EraSpecific
earlymodern_food_liquid_tokugawa_roasted_twig_tea	EarlyModern	Tea	Tokugawa roasted-twig tea liquor	amber roasted twig tea	Roasted tea stems and coarse leaf make this Tokugawa household infusion amber, clear, and lighter than powdered ceremonial tea.	Toasty wood and mild green leaf create a low-tannin drink with a nutty finish.	It smells of warmed twigs, dry tea leaf, and a faint charcoal fire.	Yellow	0	0.95	0	1.50	EraSpecific
earlymodern_food_liquid_joseon_omija_punch	EarlyModern	FruitDrink	Joseon omija-cinnamon punch	crimson omija cinnamon punch	Steeped five-flavour berries colour this Joseon court punch crimson, with pine nuts floating above a clear cinnamon-scented liquor.	Sweetness, acidity, bitterness, salt, and spice unfold around the vivid red fruit.	The bouquet suggests tart berries, pine kernel, cinnamon bark, and honey.	Bold Red	0	0.85	1	1.50	EraSpecific
earlymodern_food_liquid_spanish_cinnamon_chocolate	EarlyModern	Chocolate	Spanish Atlantic cinnamon chocolate	dark cinnamon drinking chocolate	Ground cacao, cane sugar, and cinnamon form a dark Spanish Atlantic chocolate, with a dense froth raised by repeated beating.	Roasted cacao bitterness meets pronounced sugar and cinnamon before a thick, warming finish.	It smells richly of toasted cacao, cassia, hot sugar, and earthenware.	Bold Black	0	0.65	4	0.50	EraSpecific
earlymodern_food_liquid_french_vanilla_milk_chocolate	EarlyModern	Chocolate	French court vanilla milk chocolate	silky vanilla milk chocolate	Milk gives this French court chocolate a silky brown body, capped by pale foam and scented with imported vanilla.	Creamy sweetness softens the cacao while vanilla supplies a rounded floral depth.	Its aroma combines warmed milk, roasted cacao, vanilla pod, and sugar.	Bold Orange	0	0.65	5	0.50	EraSpecific
earlymodern_food_liquid_caribbean_cacao_shell_infusion	EarlyModern	Chocolate	Caribbean cacao-shell plantation infusion	reddish cacao-shell infusion	Cacao shells from a Caribbean plantation economy built on coerced labour tint this thrifty infusion a transparent reddish brown.	Light cacao, woody husk, and a little molasses create a dry, modest chocolate flavour.	It smells of toasted cacao shells, cane molasses, smoke, and boiling water.	Red	0	0.95	0.50	1.50	EraSpecific
earlymodern_food_liquid_batavia_arrack_punch	EarlyModern	Spirit	Batavia arrack punch	cloudy amber arrack punch	Arrack, citrus, sugar, and spice mingle in this Batavian colonial-port punch, producing a cloudy amber bowl with floating peel.	Strong cane-and-rice spirit is checked by sour citrus and dark sugar sweetness.	Its heady scent carries arrack, lime peel, nutmeg, and warm syrup.	Orange	0.15	0.65	1	0.25	EraSpecific
earlymodern_food_liquid_vernon_naval_grog	EarlyModern	Spirit	Vernon naval rum-water	pale brown naval rum-water	A measured rum ration is diluted into this pale brown naval drink following the shipboard practice ordered by Admiral Vernon in 1740.	Molasses-rich spirit is thinned by water, leaving a brisk taste and moderate alcoholic warmth.	It smells of dark rum, fresh water, damp wood, and a tarred deck.	Yellow	0.08	0.75	0.25	0.50	EraSpecific
