unique_reference,sdesc,fdesc
renaissance_door_common_panel_door_01,a knotted oak door leaf,"The oak door leaf is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_02,a star pine braced door,"The pine braced door is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_03,a vine cedar lockable door,"The cedar lockable door is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_04,a cloud teak secure door,"The teak secure door is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_05,a reed wood shuttered opening,"The wood shuttered opening is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_06,a checker bamboo screen door,"The bamboo screen door is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_07,a radiating cedar lattice gate,"The cedar lattice gate is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_08,a sunburst teak courtyard gate,"The teak courtyard gate is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_09,a knotted wrought iron warehouse gate,"The wrought iron warehouse gate is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_10,a star bronze garden gate,"The bronze garden gate is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_11,a vine wrought iron metal grille,"The wrought iron metal grille is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_barrier_12,a cloud bronze barred barrier,"The bronze barred barrier is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_hatch_13,a reed cedar service hatch,"The cedar service hatch is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_wicket_14,a checker wrought iron wicket gate,"The wrought iron wicket gate is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_panel_door_15,a radiating wood door leaf,"The wood door leaf is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_16,a sunburst oak braced door,"The oak braced door is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_17,a knotted pine lockable door,"The pine lockable door is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_18,a star cedar secure door,"The cedar secure door is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_19,a vine teak shuttered opening,"The teak shuttered opening is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_20,a cloud cedar screen door,"The cedar screen door is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_21,a reed oak lattice gate,"The oak lattice gate is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_22,a checker cedar courtyard gate,"The cedar courtyard gate is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_23,a radiating teak warehouse gate,"The teak warehouse gate is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_24,a sunburst wrought iron garden gate,"The wrought iron garden gate is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_25,a knotted brass metal grille,"The brass metal grille is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_barrier_26,a star wrought iron barred barrier,"The wrought iron barred barrier is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_hatch_27,a vine pine service hatch,"The pine service hatch is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_wicket_28,a cloud teak wicket gate,"The teak wicket gate is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_panel_door_29,a reed teak door leaf,"The teak door leaf is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_30,a checker wood braced door,"The wood braced door is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_31,a radiating oak lockable door,"The oak lockable door is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_32,a sunburst pine secure door,"The pine secure door is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_33,a knotted cedar shuttered opening,"The cedar shuttered opening is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_34,a star bamboo screen door,"The bamboo screen door is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_35,a vine bronze lattice gate,"The bronze lattice gate is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_36,a cloud oak courtyard gate,"The oak courtyard gate is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_37,a reed cedar warehouse gate,"The cedar warehouse gate is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_38,a checker teak garden gate,"The teak garden gate is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_39,a radiating bronze metal grille,"The bronze metal grille is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_barrier_40,a sunburst brass barred barrier,"The brass barred barrier is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_hatch_41,a knotted oak service hatch,"The oak service hatch is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_wicket_42,a star cedar wicket gate,"The cedar wicket gate is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_panel_door_43,a vine cedar door leaf,"The cedar door leaf is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_44,a cloud teak braced door,"The teak braced door is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_45,a reed wood lockable door,"The wood lockable door is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_46,a checker oak secure door,"The oak secure door is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_47,a radiating pine shuttered opening,"The pine shuttered opening is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_48,a sunburst cedar screen door,"The cedar screen door is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_49,a knotted wrought iron lattice gate,"The wrought iron lattice gate is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_50,a star bronze courtyard gate,"The bronze courtyard gate is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_51,a vine oak warehouse gate,"The oak warehouse gate is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_52,a cloud cedar garden gate,"The cedar garden gate is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_53,a reed wrought iron metal grille,"The wrought iron metal grille is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_barrier_54,a checker bronze barred barrier,"The bronze barred barrier is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_hatch_55,a radiating wood service hatch,"The wood service hatch is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_wicket_56,a sunburst oak wicket gate,"The oak wicket gate is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_panel_door_57,a knotted pine door leaf,"The pine door leaf is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_58,a star cedar braced door,"The cedar braced door is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_59,a vine teak lockable door,"The teak lockable door is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_60,a cloud wood secure door,"The wood secure door is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_61,a reed oak shuttered opening,"The oak shuttered opening is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_62,a checker bamboo screen door,"The bamboo screen door is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_63,a radiating teak lattice gate,"The teak lattice gate is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_64,a sunburst wrought iron courtyard gate,"The wrought iron courtyard gate is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_65,a knotted bronze warehouse gate,"The bronze warehouse gate is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_66,a star oak garden gate,"The oak garden gate is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_67,a vine brass metal grille,"The brass metal grille is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_barrier_68,a cloud wrought iron barred barrier,"The wrought iron barred barrier is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_hatch_69,a reed teak service hatch,"The teak service hatch is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_wicket_70,a checker bronze wicket gate,"The bronze wicket gate is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_panel_door_71,a radiating oak door leaf,"The oak door leaf is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_72,a sunburst pine braced door,"The pine braced door is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_73,a knotted cedar lockable door,"The cedar lockable door is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_74,a star teak secure door,"The teak secure door is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_75,a vine wood shuttered opening,"The wood shuttered opening is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_76,a cloud cedar screen door,"The cedar screen door is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_77,a reed cedar lattice gate,"The cedar lattice gate is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_78,a checker teak courtyard gate,"The teak courtyard gate is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_79,a radiating wrought iron warehouse gate,"The wrought iron warehouse gate is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_80,a sunburst bronze garden gate,"The bronze garden gate is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_81,a knotted bronze metal grille,"The bronze metal grille is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_barrier_82,a star brass barred barrier,"The brass barred barrier is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_hatch_83,a vine cedar service hatch,"The cedar service hatch is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_wicket_84,a cloud wrought iron wicket gate,"The wrought iron wicket gate is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_panel_door_85,a reed wood door leaf,"The wood door leaf is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_braced_door_86,a checker oak braced door,"The oak braced door is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lockable_door_87,a radiating pine lockable door,"The pine lockable door is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_secure_door_88,a sunburst cedar secure door,"The cedar secure door is framed with a firm outer rail and a sunburst worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_shutter_89,a knotted teak shuttered opening,"The teak shuttered opening is framed with a firm outer rail and a knotted worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_screen_90,a star bamboo screen door,"The bamboo screen door is framed with a firm outer rail and a star worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_lattice_gate_91,a vine oak lattice gate,"The oak lattice gate is framed with a firm outer rail and a vine worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_courtyard_gate_92,a cloud cedar courtyard gate,"The cedar courtyard gate is framed with a firm outer rail and a cloud worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_warehouse_gate_93,a reed teak warehouse gate,"The teak warehouse gate is framed with a firm outer rail and a reed worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_garden_gate_94,a checker wrought iron garden gate,"The wrought iron garden gate is framed with a firm outer rail and a checker worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
renaissance_door_common_grille_95,a radiating wrought iron metal grille,"The wrought iron metal grille is framed with a firm outer rail and a radiating worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
