StableReference	Layer	Domain	SourceFile	SourceLine	EraAdmissions	Material	Components	ProfileBindings	PriceEvidence	Craftable	Lifecycle	Validation	ResolvedNeutralComponents	CraftReferences	OutfitReferences	LifecycleTarget	CatalogueSourceSha256
industrialised_agriculture_forestry_fishing_0001_plain_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	2	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0001_plain_scrap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0002_plain_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	3	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0002_plain_hoe			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0003_plain_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	4	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0003_plain_rake			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0004_plain_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	5	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0004_plain_fork			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0005_plain_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	6	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0005_plain_spade		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0006_plain_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	7	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0006_plain_shears			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0007_plain_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	8	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0007_plain_net			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0008_plain_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	9	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0008_plain_trap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0009_plain_basket	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	10	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0009_plain_basket			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0010_plain_yoke	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	11	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0010_plain_yoke		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0011_reinforced_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	12	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0011_reinforced_scrap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0012_reinforced_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	13	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0012_reinforced_hoe			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
