StableReference	Admissions	Context	Name	ReviewState
industrial_food_serving_factory_breakfast	industrial	workplace	factory-shift breakfast	DependencyReviewed
industrial_food_serving_mill_lunch	industrial	workplace	mill-worker midday meal	DependencyReviewed
industrial_food_serving_railway_refreshment	industrial	transport	railway refreshment service	DependencyReviewed
industrial_food_serving_hospital_soft	industrial;modern;nuclear;information	hospital	hospital soft meal	DependencyReviewed
industrial_food_serving_school_midday	industrial;modern;nuclear;information	school	school midday meal	DependencyReviewed
industrial_food_serving_prison_standard	industrial;modern;nuclear;information	prison	standard prison meal	DependencyReviewed
industrial_food_serving_naval_watch	industrial;modern;nuclear;information	maritime	naval watch meal	DependencyReviewed
industrial_food_serving_mine_shift	industrial;modern;nuclear;information	workplace	mine-shift meal	DependencyReviewed
industrial_food_serving_relief_basic	industrial;modern;nuclear;information	emergency	basic relief meal	DependencyReviewed
industrial_food_serving_religious_fast	industrial;modern;nuclear;information	religious institution	fasting-day communal meal	DependencyReviewed
industrial_food_serving_urban_cafe	industrial;modern;nuclear;information	hospitality	urban cafe service	DependencyReviewed
industrial_food_serving_railway_worker	industrial	transport	railway worker packed meal	DependencyReviewed
modern_food_serving_airline_tray	modern;nuclear;information	aviation	early airline tray meal	DependencyReviewed
modern_food_serving_office_lunch	modern;nuclear;information	workplace	office canteen lunch	DependencyReviewed
modern_food_serving_drive_in	modern;nuclear;information	hospitality	roadside quick-service meal	DependencyReviewed
modern_food_serving_canteen_vegetarian	modern;nuclear;information	institution	vegetarian canteen meal	DependencyReviewed
modern_food_serving_migrant_household	modern;nuclear;information	household	migrant household supper	DependencyReviewed
nuclear_food_serving_emergency_shelter	nuclear;information	emergency	emergency shelter meal	DependencyReviewed
nuclear_food_serving_factory_night	nuclear;information	workplace	night-shift factory meal	DependencyReviewed
nuclear_food_serving_frozen_dinner	nuclear;information	household	convenience dinner service	DependencyReviewed
information_food_serving_office_delivery	information	workplace	office delivery meal	DependencyReviewed
information_food_serving_care_texture	information	care institution	texture-modified care meal	DependencyReviewed
information_food_serving_field_response	information	emergency	field-response meal	DependencyReviewed
information_food_serving_plant_cafe	information	hospitality	plant-focused cafe meal	DependencyReviewed
industrialised_food_serving_livestock_feed	industrial;modern;nuclear;information	animal feeding	working-horse feed issue	DependencyReviewed
modern_food_serving_pet_feed	modern;nuclear;information	animal feeding	household pet feeding	DependencyReviewed
