stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_wind_dried_meat_ribbons	Shared	Prepared	Preserved	bundle	a bundle of wind-dried meat ribbons	Lean meat has been cut into long translucent ribbons and hardened slowly in cold, moving air.	The tough strips release clean meat savour, smoke-free dryness, and concentrated salt.	meat	Preserved	ShelfStable	Standard	220	12	Universal
preindustrial_food_sun_cured_meat_strips	Shared	Prepared	Preserved	strips	sun-cured meat strips	Thin red-brown meat strips have dried beneath strong sun until curled, leathery, and easy to bundle.	Their intense savour carries warm fat, mineral salt, and a faint sun-baked sweetness.	meat	Preserved	ShelfStable	Standard	240	11	Universal
preindustrial_food_salt_packed_meat_chunks	Shared	Prepared	Preserved	chunks	salt-packed meat chunks	Coarse white salt crusts irregular chunks of firm cured meat lifted from a storage crock.	Powerful brine surrounds dense flesh with an enduring, deeply meaty finish.	meat	Preserved	Preserved	Standard	350	14	Universal
preindustrial_food_brined_meat_slices	Shared	Prepared	Preserved	slices	thick brined meat slices	Several pale cured slices remain moist from their strong herbal brine and show dark pepper at the edges.	Salty juice, soft spice, and mellow meat create a robust preserved bite.	meat	Preserved	Preserved	Standard	300	13	Universal
preindustrial_food_cool_smoked_meat_slab	Shared	Prepared	Preserved	slab	a cool-smoked meat slab	A rectangular slab has darkened slowly in cool smoke while retaining a firm, ruby interior.	Gentle woodsmoke layers over salt, rich meat, and a subdued cured tang.	meat	Preserved	Preserved	Good	500	22	RegionalOldWorld
preindustrial_food_hot_smoked_meat_portion	Shared	Prepared	Preserved	portion	a hot-smoked meat portion	Heat and smoke have cooked this substantial meat portion beneath a glossy, dark mahogany surface.	Sweet smoke permeates juicy flesh with pepper, salt, and browned richness.	meat	Preserved	Preserved	Good	450	21	Universal
preindustrial_food_smoked_meat_knuckle	Shared	Prepared	Preserved	knuckle	a smoked meat knuckle	A heavy joint end wears wrinkled bronze skin around dense pink meat and a clean central bone.	The chewy flesh tastes smoky, salty, gelatinous, and deeply savoury near the rind.	meat	Preserved	Preserved	Good	650	24	European
preindustrial_food_smoked_meat_rib_bundle	Shared	Prepared	Preserved	bundle	a bundle of smoked meat ribs	Several narrow ribs are tied together, each carrying a dark strip of smoke-cured meat.	Wood, rendered fat, and strong salt flavour the chewy morsels between bones.	meat	Preserved	Preserved	Standard	700	22	Universal
preindustrial_food_dried_meat_shavings	Shared	Prepared	Preserved	packet	a packet of dried meat shavings	Paper-thin shavings have been sliced from a fully dried meat joint and folded into a small cloth.	Brittle at first, they soften into peppery, lean, concentrated savour.	meat	Preserved	ShelfStable	Good	150	11	Universal
preindustrial_food_pounded_dried_meat_flakes	Shared	Prepared	Preserved	flakes	pounded dried-meat flakes	Thoroughly dried meat has been beaten into fibrous flakes that pack tightly into a lidded cup.	The dry fibres taste strongly meaty, lightly smoky, and persistently salty.	meat	Preserved	ShelfStable	Standard	180	12	Universal
preindustrial_food_fat_bound_dried_meat_cake	Shared	Prepared	Preserved	cake	a fat-bound dried-meat cake	Powdered dried meat is compressed with rendered fat into a dense, dark travel cake.	Rich fat melts around intense meat fibres, salt, and a nut-like roasted depth.	meat	Preserved	ShelfStable	Good	300	20	IndigenousAmerican
preindustrial_food_berry_meat_travel_cake	Shared	Prepared	Preserved	cake	a berry-and-meat travel cake	Dried berries fleck a compact block of pounded meat and firm rendered fat.	Tart fruit sparks through rich meat, mellow fat, and concentrated smoky sweetness.	meat	Rich	ShelfStable	Good	320	24	IndigenousAmerican
preindustrial_food_potted_shredded_meat	Shared	Prepared	Preserved	pot	a pot of shredded preserved meat	Fine cooked meat fibres are pressed beneath a thick white seal of seasoned rendered fat.	Peppery savour and tender meat mingle with the rich protective layer.	meat	Rich	Preserved	Good	350	23	European
preindustrial_food_potted_meat_jelly	Shared	Prepared	Preserved	pot	a pot of meat set in jelly	Small cooked meat pieces are suspended in clear, herb-flecked jelly beneath a fitted crock lid.	Cool gelatin dissolves into soft savour, pepper, and a faintly sharp finish.	meat	Standard	Preserved	Good	400	20	European
