StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_office_school_mail_payment_0001_plain_wastepaper	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	wastepaper	a plain paper wastepaper for domestic administration	This plain wastepaper is formed chiefly from paper and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	794	500	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/wastepaper/domestic/paper; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0002_plain_ledger	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	ledger	a plain oak ledger for domestic administration	This plain ledger is formed chiefly from oak and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	831	1	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/ledger/domestic/oak; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0003_plain_notebook	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	notebook	a plain mild steel notebook for domestic administration	This plain notebook is formed chiefly from mild steel and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	868	2	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/notebook/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0004_plain_envelope	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	envelope	a plain leather envelope for domestic administration	This plain envelope is formed chiefly from leather and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	905	5	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/envelope/domestic/leather; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0005_plain_folder	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	folder	a plain paper folder for domestic administration	This plain folder is formed chiefly from paper and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	942	10	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_office_school_mail_payment_0001_plain_wastepaper	industrial_household	Authored Office, school, mail and payment matrix: plain/folder/domestic/paper; priced by industrial_household analogue.	true	salvage
industrialised_office_school_mail_payment_0006_plain_stamp	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	stamp	a plain oak stamp for domestic administration	This plain stamp is formed chiefly from oak and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	979	20	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/stamp/domestic/oak; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0007_plain_tray	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	tray	a plain mild steel tray for domestic administration	This plain tray is formed chiefly from mild steel and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1016	50	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/tray/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0008_plain_ruler	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	ruler	a plain leather ruler for domestic administration	This plain ruler is formed chiefly from leather and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1053	100	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/ruler/domestic/leather; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0009_plain_pen	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	pen	a plain paper pen for domestic administration	This plain pen is formed chiefly from paper and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1090	200	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Office, school, mail and payment matrix: plain/pen/domestic/paper; priced by industrial_household analogue.	true	
industrialised_office_school_mail_payment_0010_plain_pencil	shared-industrialised	Office, school, mail and payment	industrial;modern;nuclear;information	pencil	a plain oak pencil for domestic administration	This plain pencil is formed chiefly from oak and proportioned for domestic administration. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1127	500	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable	paper:office	portable		0		industrialised_office_school_mail_payment_0001_plain_wastepaper	industrial_household	Authored Office, school, mail and payment matrix: plain/pencil/domestic/oak; priced by industrial_household analogue.	true	salvage
