StableReference	LongDescription	FullDescription
renaissance_trade_western_counting_house_merchant_till_chest		The walnut merchant's till chest is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_trade_western_counting_house_exchange_bill_coffer		The wax-sealable exchange-bill coffer is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the western counting house setting.
renaissance_trade_western_counting_house_cloth_sample_case		The fitted cloth-sample case is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the western counting house setting.
renaissance_trade_western_counting_house_coin_weight_casket		The brass-fitted coin-weight casket is built chiefly from boxwood, with a deliberate silhouette and carefully fitted edges. The boxwood grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the western counting house setting.
renaissance_trade_western_counting_house_correspondence_chest		The shallow correspondence chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_furniture_western_counting_house_counting_table	A broad walnut counting table is positioned here, its walnut surfaces contributing a practical presence to the room.	The broad walnut counting table is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the western counting house setting.
renaissance_furniture_western_counting_house_ledger_bookcase	A tall merchant's ledger bookcase is positioned here, its oak surfaces contributing a practical presence to the room.	The tall merchant's ledger bookcase is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the western counting house setting.
renaissance_furniture_western_counting_house_account_cupboard	A panelled account cupboard is positioned here, its walnut surfaces contributing a practical presence to the room.	The panelled account cupboard is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_furniture_western_counting_house_sample_display_shelves	A tiered sample-display shelf is positioned here, its oak surfaces contributing a practical presence to the room.	The tiered sample-display shelf is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_furniture_western_counting_house_strongbox_bench	A lockroom coffer bench is positioned here, its oak surfaces contributing a practical presence to the room.	The lockroom coffer bench is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the western counting house setting.
