StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_science_education_0001_plain_waste	shared-industrialised	Science and education	industrial;modern;nuclear;information	waste	a plain glass waste for domestic instruction	This plain waste is formed chiefly from glass and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2006	5	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/waste/domestic/glass; priced by industrial_household analogue.	true	
industrialised_science_education_0002_plain_specimen	shared-industrialised	Science and education	industrial;modern;nuclear;information	specimen	a plain paper specimen for domestic instruction	This plain specimen is formed chiefly from paper and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2043	10	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/specimen/domestic/paper; priced by industrial_household analogue.	true	
industrialised_science_education_0003_plain_slide	shared-industrialised	Science and education	industrial;modern;nuclear;information	slide	a plain oak slide for domestic instruction	This plain slide is formed chiefly from oak and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2080	20	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/slide/domestic/oak; priced by industrial_household analogue.	true	
industrialised_science_education_0004_plain_flask	shared-industrialised	Science and education	industrial;modern;nuclear;information	flask	a plain mild steel flask for domestic instruction	This plain flask is formed chiefly from mild steel and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2117	50	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/flask/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_science_education_0005_plain_beaker	shared-industrialised	Science and education	industrial;modern;nuclear;information	beaker	a plain glass beaker for domestic instruction	This plain beaker is formed chiefly from glass and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2154	100	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_science_education_0001_plain_waste	industrial_household	Authored Science and education matrix: plain/beaker/domestic/glass; priced by industrial_household analogue.	true	salvage
industrialised_science_education_0006_plain_model	shared-industrialised	Science and education	industrial;modern;nuclear;information	model	a plain paper model for domestic instruction	This plain model is formed chiefly from paper and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2191	200	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/model/domestic/paper; priced by industrial_household analogue.	true	
industrialised_science_education_0007_plain_chart	shared-industrialised	Science and education	industrial;modern;nuclear;information	chart	a plain oak chart for domestic instruction	This plain chart is formed chiefly from oak and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2228	500	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/chart/domestic/oak; priced by industrial_household analogue.	true	
industrialised_science_education_0008_plain_pointer	shared-industrialised	Science and education	industrial;modern;nuclear;information	pointer	a plain mild steel pointer for domestic instruction	This plain pointer is formed chiefly from mild steel and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2265	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/pointer/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_science_education_0009_plain_balance	shared-industrialised	Science and education	industrial;modern;nuclear;information	balance	a plain glass balance for domestic instruction	This plain balance is formed chiefly from glass and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2302	2	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Science and education matrix: plain/balance/domestic/glass; priced by industrial_household analogue.	true	
industrialised_science_education_0010_plain_case	shared-industrialised	Science and education	industrial;modern;nuclear;information	case	a plain paper case for domestic instruction	This plain case is formed chiefly from paper and proportioned for domestic instruction. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2339	5	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_science_education_0001_plain_waste	industrial_household	Authored Science and education matrix: plain/case/domestic/paper; priced by industrial_household analogue.	true	salvage
