stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_barley_gruel_soup	Shared	Prepared	Soup	bowl	a bowl of barley gruel soup	Broken barley clouds the thin beige liquor, leaving a few swollen grains circling the bowl.	Mild toasted grain meets plain salt and a faint hearth smokiness.	barley	BleakThin	Cooked	Standard	650	4	Universal
preindustrial_food_barley_and_leek_soup	Shared	Prepared	Soup	bowl	a bowl of barley and leek soup	Pearled barley and pale leek rings share a clear broth glossed by a few droplets of fat.	Chewy maltiness is softened by the leek's gentle onion sweetness.	barley	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_barley_and_onion_broth	Shared	Prepared	Soup	bowl	a bowl of barley and onion broth	Translucent onion strands drift between scattered barley kernels in an amber, carefully skimmed broth.	Sweet onion deepens the clean stock while barley adds a nutty finish.	barley	Light	Cooked	Standard	420	4	Universal
preindustrial_food_barley_vegetable_soup	Shared	Prepared	Soup	bowl	a bowl of barley vegetable soup	Barley pearls sit among diced roots and wilted greens, giving the garden broth a substantial body.	Earthy vegetables and mellow grain make a balanced, quietly savoury mouthful.	barley	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_barley_herb_potage	Shared	Prepared	Stew	bowl	a bowl of barley herb potage	Chopped herbs stipple a spoon-coating barley potage in shades of fresh green and warm brown.	Fragrant leaves brighten its creamy grain base and restrained salting.	barley	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_barley_and_mushroom_soup	Shared	Prepared	Soup	bowl	a bowl of barley and mushroom soup	Brown mushroom slices and plump barley crowd a dark broth coloured by woodland juices.	Woodsy mushroom savour settles over the barley's warm malty chew.	barley	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_barley_root_stew	Shared	Prepared	Stew	bowl	a bowl of barley root stew	Orange, ivory, and yellow root cubes nestle among barley in a thick, glossy cooking liquor.	Sweet roots round out the peppered grain with an earthy depth.	barley	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_barley_cabbage_soup	Shared	Prepared	Soup	bowl	a bowl of barley cabbage soup	Soft cabbage ribbons curl around distinct barley kernels beneath a lightly clouded surface.	The cabbage tastes gently sweet against robust, toasted cereal notes.	barley	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_barley_garlic_broth	Shared	Prepared	Soup	bowl	a bowl of barley garlic broth	Softened garlic cloves lie beside sparse barley in a clear gold broth with green herb flecks.	Warm garlic pungency lingers behind the clean, nutty barley flavour.	barley	Light	Cooked	Standard	420	4	Universal
preindustrial_food_barley_garden_stew	Shared	Prepared	Stew	bowl	a bowl of barley garden stew	A crowded mixture of barley, peas, roots, and leafy pieces fills this thick household stew.	Every spoonful shifts between earthy grain, fresh greens, and vegetable sweetness.	barley	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_wheat_berry_soup	Shared	Prepared	Soup	bowl	a bowl of wheat berry soup	Whole wheat berries remain pleasantly plump in a light brown broth dotted with herbs.	The berries give a soft chew and wholesome bread-like sweetness.	wheat	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_wheat_and_pulse_stew	Shared	Prepared	Stew	bowl	a bowl of wheat and pulse stew	Wheat kernels and creamy pulses pack a dense stew whose liquor barely shows between them.	Nutty grain and earthy legumes combine into a deeply sustaining savour.	wheat	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_wheat_herb_broth	Shared	Prepared	Soup	bowl	a bowl of wheat herb broth	Aromatic leaves and a scattering of wheat berries float in a clear, pale stock.	Fresh herbal bitterness lifts the grain's quiet sweetness and clean salt.	wheat	Light	Cooked	Standard	420	4	Universal
preindustrial_food_wheat_and_onion_soup	Shared	Prepared	Soup	bowl	a bowl of wheat and onion soup	Soft onions have nearly dissolved around chewy wheat berries, thickening the golden soup naturally.	Caramelised allium makes the mellow wheat taste rounder and sweeter.	wheat	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_wheat_vegetable_potage	Shared	Prepared	Stew	bowl	a bowl of wheat vegetable potage	Rough-cut garden vegetables break up a creamy potage studded with tender wheat kernels.	Vegetal sweetness, wheaten body, and gentle pepper arrive in even measure.	wheat	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_wheat_and_greens_stew	Shared	Prepared	Stew	bowl	a bowl of wheat and greens stew	Dark wilted leaves thread through a close-textured stew of cracked wheat and broth.	Mineral greens lend a pleasant bitterness to the soft cereal base.	wheat	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_wheat_mushroom_soup	Shared	Prepared	Soup	bowl	a bowl of wheat mushroom soup	Sliced mushrooms stain the broth tawny around swollen wheat berries and tiny herb fragments.	The bowl tastes woodsy and softly wheaten with a peppery close.	wheat	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_wheat_root_broth	Shared	Prepared	Soup	bowl	a bowl of wheat root broth	Small root dice and wheat berries remain sharply visible beneath a clear amber liquor.	Clean broth carries root sweetness before the grain's mellow finish.	wheat	Light	Cooked	Standard	420	4	Universal
preindustrial_food_wheat_bread_soup	Shared	Prepared	Soup	bowl	a bowl of wheat bread soup	Torn bread has softened into the wheat broth, leaving tender crumbs among intact kernels.	Toasted crust and boiled grain create a comforting double note of wheat.	bread	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_toasted_wheat_stew	Shared	Prepared	Stew	bowl	a bowl of toasted wheat stew	Pre-toasted wheat colours this close, brown stew and leaves dark kernels intact throughout.	Roasted cereal flavour leads, followed by savoury stock and faint smoke.	wheat	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_rye_bread_soup	Shared	Prepared	Soup	bowl	a bowl of rye bread soup	Dark rye crumbs swell unevenly in a sour-scented broth with softened crust pieces.	Earthy rye tang dominates, mellowed by warm stock and onion.	bread	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_rye_and_cabbage_soup	Shared	Prepared	Soup	bowl	a bowl of rye and cabbage soup	Cabbage ribbons lighten a brown rye soup scattered with firm, dark grain berries.	Sweet brassica tempers the rye's robust sour and earthy character.	rye	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_rye_berry_pottage	Shared	Prepared	Stew	bowl	a bowl of rye berry pottage	Whole rye berries give this dense pottage a dark, pebbled appearance and resilient texture.	Each chewy kernel releases a deep cereal tang beneath simple seasoning.	rye	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_rye_onion_broth	Shared	Prepared	Soup	bowl	a bowl of rye onion broth	Brown rye kernels lie beneath silky onion strands in a clear, faintly purple broth.	Sweet allium and sour-dark grain form a surprisingly gentle pairing.	rye	Light	Cooked	Standard	420	4	Universal
preindustrial_food_rye_and_turnip_stew	Shared	Prepared	Stew	bowl	a bowl of rye and turnip stew	Pale turnip cubes stand out against dark rye berries in a thick rustic stew.	Peppery root bitterness complements the grain's earthy, sour finish.	rye	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_rye_mushroom_soup	Shared	Prepared	Soup	bowl	a bowl of rye mushroom soup	Mushroom caps and dark rye grains share a smoky-brown liquor with a slight natural haze.	Woodland savour reinforces the rye without hiding its characteristic tang.	rye	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_rye_herb_potage	Shared	Prepared	Stew	bowl	a bowl of rye herb potage	Green herbs brighten a dense grey-brown rye potage that clings heavily to the spoon.	Fresh aromatics sharpen the grain's sourness and long nutty aftertaste.	rye	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_rye_garlic_soup	Shared	Prepared	Soup	bowl	a bowl of rye garlic soup	Crushed garlic disperses through a dark rye soup, while a few whole kernels remain visible.	Garlic warmth cuts across the robust grain with a clean pungent bite.	rye	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_rye_greens_broth	Shared	Prepared	Soup	bowl	a bowl of rye greens broth	Wilted leaves drift in a translucent rye broth above a sparse layer of dark kernels.	Leafy bitterness and rye tang leave a lean, mineral impression.	rye	Light	Cooked	Standard	420	4	Universal
preindustrial_food_rye_vegetable_stew	Shared	Prepared	Stew	bowl	a bowl of rye vegetable stew	Rye berries, chopped cabbage, and coloured roots fill a thick brown vegetable stew.	The flavour is earthy and sour-sweet, with varied garden freshness.	rye	Rich	Cooked	Good	560	9	Universal
preindustrial_food_rice_water_gruel	Shared	Prepared	Soup	bowl	a bowl of rice water gruel	Burst rice grains leave milky trails through an otherwise watery, almost colourless gruel.	It tastes spare and starchy, with little beyond rice and salt.	rice	Light	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_and_lentil_stew	Shared	Prepared	Stew	bowl	a bowl of rice and lentil stew	Soft rice and russet lentils have cooked together into a thick gold-brown stew.	Mellow starch cushions the lentils' peppery, earthy richness.	lentil	Hearty	Cooked	Standard	520	4	RegionalOldWorld
preindustrial_food_rice_vegetable_soup	Shared	Prepared	Soup	bowl	a bowl of rice vegetable soup	White rice grains rest among bright vegetable dice in a clear and lightly fragrant soup.	Clean rice sweetness carries the fresh garden flavours without heaviness.	rice	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_and_greens_broth	Shared	Prepared	Soup	bowl	a bowl of rice and greens broth	Dark green leaves ribbon a pale rice broth whose soft grains gather at the bottom.	Mineral greens sharpen the soothing, quietly starchy liquor.	rice	Light	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_and_chickpea_pot	Shared	Prepared	Stew	bowl	a bowl of rice and chickpea pot	Golden chickpeas punctuate a soft bed of rice moistened by reduced aromatic stock.	Nutty pulses give substance to the mild, fragrant grain.	chickpea	Hearty	Cooked	Standard	520	4	RegionalOldWorld
preindustrial_food_rice_herb_congee	Shared	Prepared	Soup	bowl	a bowl of rice herb congee	Rice has burst into a silken white congee scattered generously with chopped fresh herbs.	Cooling green fragrance lifts the smooth and comforting cereal flavour.	rice	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_and_fish_soup	Shared	Prepared	Soup	bowl	a bowl of rice and fish soup	Moist white fish flakes float over tender rice in a clear, herb-scented coastal broth.	Delicate brine seasons the rice with a clean and savoury sweetness.	fish	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_mushroom_porridge	Shared	Prepared	Soup	bowl	a bowl of rice mushroom porridge	Brown mushrooms pattern a creamy rice porridge stained faintly by their cooking juices.	Earthy mushroom depth makes the soft grain taste warmly savoury.	rice	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_and_onion_broth	Shared	Prepared	Soup	bowl	a bowl of rice and onion broth	Fine onion strands drift above rice settled in a translucent golden cooking liquor.	Gentle allium sweetness enriches the clean, starchy broth.	rice	Light	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_rice_garden_stew	Shared	Prepared	Stew	bowl	a bowl of rice garden stew	Rice binds peas, roots, and chopped greens into a colourful, softly mounded stew.	Garden sweetness and leafy freshness animate the mellow grain.	rice	Hearty	Cooked	Standard	520	4	RegionalOldWorld
preindustrial_food_sorghum_thin_gruel	Shared	Prepared	Soup	bowl	a bowl of sorghum thin gruel	Fine sorghum meal gives the thin reddish-brown gruel a slightly sandy suspension.	It tastes earthy and faintly sweet despite its watery body.	sorghum	Light	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_sorghum_and_bean_stew	Shared	Prepared	Stew	bowl	a bowl of sorghum and bean stew	Firm sorghum grains and creamy beans crowd a dark, substantial one-pot stew.	Robust cereal and full bean savour make a filling earthy combination.	bean	Hearty	Cooked	Standard	520	4	RegionalOldWorld
preindustrial_food_sorghum_greens_soup	Shared	Prepared	Soup	bowl	a bowl of sorghum greens soup	Wilted greens curl around russet sorghum grains in a light, mineral-rich soup.	Leafy bitterness balances the grain's subtle natural sweetness.	sorghum	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_sorghum_root_potage	Shared	Prepared	Stew	bowl	a bowl of sorghum root potage	Diced roots show orange and ivory through a thick potage textured by sorghum meal.	The spoonful is earthy, sweet, and pleasantly coarse.	sorghum	Hearty	Cooked	Standard	520	4	RegionalOldWorld
preindustrial_food_sorghum_and_onion_broth	Shared	Prepared	Soup	bowl	a bowl of sorghum and onion broth	Sorghum grains settle beneath pale onion ribbons in a clean brown-gold broth.	Mellow onion sweetness softens the grain's dry, earthy character.	sorghum	Light	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_sorghum_vegetable_stew	Shared	Prepared	Stew	bowl	a bowl of sorghum vegetable stew	Mixed vegetables and reddish sorghum fill a chunky stew with very little free liquor.	Fresh garden flavours brighten the robust and slightly sweet grain.	sorghum	Hearty	Cooked	Standard	520	4	RegionalOldWorld
preindustrial_food_sorghum_herb_soup	Shared	Prepared	Soup	bowl	a bowl of sorghum herb soup	Green herb fragments speckle a warm brown soup holding tender sorghum grains.	Fresh aromatics add lift to its grounded cereal flavour.	sorghum	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_sorghum_and_meat_pot	Shared	Prepared	Stew	bowl	a bowl of sorghum and meat pot	Small meat morsels hide among glossy sorghum grains in a thick, dark cooking sauce.	Rich meat juices deepen the earthy grain and peppered finish.	meat	Feast	Cooked	VeryGood	650	14	RegionalOldWorld
preindustrial_food_sorghum_mushroom_broth	Shared	Prepared	Soup	bowl	a bowl of sorghum mushroom broth	Mushroom slices float above sorghum in a clear tawny broth scented of damp woods.	Woodsy savour and earthy grain meet in a restrained, clean liquor.	sorghum	Light	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_sorghum_pulse_porridge	Shared	Prepared	Soup	bowl	a bowl of sorghum pulse porridge	Crushed pulses make the sorghum porridge creamy while whole grains preserve a firm bite.	Nutty legumes round the grain's earthy, faintly grassy taste.	sorghum	Standard	Cooked	Standard	420	4	RegionalOldWorld
preindustrial_food_plain_pea_soup	Shared	Prepared	Soup	bowl	a bowl of plain pea soup	Green peas have softened into a cloudy soup with a few intact halves resting near the surface.	It tastes gently sweet, earthy, and plainly salted.	pea	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_split_pea_pottage	Shared	Prepared	Stew	bowl	a bowl of split pea pottage	Split peas have collapsed into a thick olive pottage that holds the track of a spoon.	The dense mouthful is creamy, savoury, and faintly peppery.	pea	Hearty	Cooked	Standard	520	4	Universal
preindustrial_food_pea_and_leek_soup	Shared	Prepared	Soup	bowl	a bowl of pea and leek soup	Pale leek rings drift through a smooth green pea soup, adding lighter streaks to the bowl.	Sweet peas and mild allium make a soft, comforting pairing.	pea	Standard	Cooked	Standard	420	4	Universal
preindustrial_food_pea_and_onion_stew	Shared	Prepared	Stew	bowl	a bowl of pea and onion stew	Browned onion strands thread a close stew of whole and crushed field peas.	Caramelised onion deepens the peas' earthy natural sweetness.	pea	Hearty	Cooked	Standard	520	4	Universal
