StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_transport_support_spares_0001_plain_scrap	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	scrap	a plain spring steel scrap for domestic vehicle servicing	This plain scrap is formed chiefly from spring steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1703	500	spring steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/scrap/domestic/spring steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0002_plain_wheel	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	wheel	a plain natural rubber wheel for domestic vehicle servicing	This plain wheel is formed chiefly from natural rubber and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1740	1	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/wheel/domestic/natural rubber; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0003_plain_axle	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	axle	a plain oak axle for domestic vehicle servicing	This plain axle is formed chiefly from oak and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1777	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/axle/domestic/oak; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0004_plain_bearing	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	bearing	a plain mild steel bearing for domestic vehicle servicing	This plain bearing is formed chiefly from mild steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1814	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/bearing/domestic/mild steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0005_plain_spring	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	spring	a plain spring steel spring for domestic vehicle servicing	This plain spring is formed chiefly from spring steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1851	10	spring steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_transport_support_spares_0001_plain_scrap	industrial_vehicle	Authored Transport support and spares matrix: plain/spring/domestic/spring steel; priced by industrial_vehicle analogue.	true	salvage
industrialised_transport_support_spares_0006_plain_lamp	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	lamp	a plain natural rubber lamp for domestic vehicle servicing	This plain lamp is formed chiefly from natural rubber and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1888	20	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/lamp/domestic/natural rubber; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0007_plain_pump	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	pump	a plain oak pump for domestic vehicle servicing	This plain pump is formed chiefly from oak and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1925	50	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/pump/domestic/oak; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0008_plain_jack	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	jack	a plain mild steel jack for domestic vehicle servicing	This plain jack is formed chiefly from mild steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1962	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/jack/domestic/mild steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0009_plain_chain	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	chain	a plain spring steel chain for domestic vehicle servicing	This plain chain is formed chiefly from spring steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1999	200	spring steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: plain/chain/domestic/spring steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0010_plain_tyre	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	tyre	a plain natural rubber tyre for domestic vehicle servicing	This plain tyre is formed chiefly from natural rubber and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2036	500	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable	vehicle:service	portable		0		industrialised_transport_support_spares_0001_plain_scrap	industrial_vehicle	Authored Transport support and spares matrix: plain/tyre/domestic/natural rubber; priced by industrial_vehicle analogue.	true	salvage
industrialised_transport_support_spares_0011_reinforced_scrap	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	scrap	a reinforced oak scrap for domestic vehicle servicing	This reinforced scrap is formed chiefly from oak and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2073	1	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: reinforced/scrap/domestic/oak; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0012_reinforced_wheel	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	wheel	a reinforced mild steel wheel for domestic vehicle servicing	This reinforced wheel is formed chiefly from mild steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2110	2	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: reinforced/wheel/domestic/mild steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0013_reinforced_axle	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	axle	a reinforced spring steel axle for domestic vehicle servicing	This reinforced axle is formed chiefly from spring steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2147	5	spring steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: reinforced/axle/domestic/spring steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0014_reinforced_bearing	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	bearing	a reinforced natural rubber bearing for domestic vehicle servicing	This reinforced bearing is formed chiefly from natural rubber and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2184	10	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: reinforced/bearing/domestic/natural rubber; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0015_reinforced_spring	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	spring	a reinforced oak spring for domestic vehicle servicing	This reinforced spring is formed chiefly from oak and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2221	20	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_transport_support_spares_0001_plain_scrap	industrial_vehicle	Authored Transport support and spares matrix: reinforced/spring/domestic/oak; priced by industrial_vehicle analogue.	true	salvage
industrialised_transport_support_spares_0016_reinforced_lamp	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	lamp	a reinforced mild steel lamp for domestic vehicle servicing	This reinforced lamp is formed chiefly from mild steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2258	50	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: reinforced/lamp/domestic/mild steel; priced by industrial_vehicle analogue.	true	
industrialised_transport_support_spares_0017_reinforced_pump	shared-industrialised	Transport support and spares	industrial;modern;nuclear;information	pump	a reinforced spring steel pump for domestic vehicle servicing	This reinforced pump is formed chiefly from spring steel and proportioned for domestic vehicle servicing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2295	100	spring steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_vehicle	Authored Transport support and spares matrix: reinforced/pump/domestic/spring steel; priced by industrial_vehicle analogue.	true	
