stable_reference	noun	short_description	full_description	size	quality	weight_grams	cost	material	tags	components	builder_notes	category
earlymodern_medical_spring_fleam	fleam	a spring fleam	This spring fleam has a compact wrought iron working end and a grip shaped to keep the hand clear of the task. Its edges, jaws, or point are deliberately exposed enough to show how it is used, while the remaining surfaces are plain and easy to wipe clean. Fine scratches concentrate around the moving joint or tip rather than being scattered as decorative wear.	Small	Standard	180.0	20.0	wrought iron	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Medical Treatment / Bloodletting	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_scarificator	scarificator	a scarificator	This scarificator is made chiefly from wrought iron and has a practical, period-appropriate form. Its silhouette is clear at a glance, with the useful end, opening, or bearing surface left unobscured by decoration. Wear is concentrated on the areas a handler would touch, lift, or set down.	Small	Standard	180.0	20.0	wrought iron	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Tools / Surgical Tools	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_tooth_key	key	a tooth key	This tooth key has a compact wrought iron working end and a grip shaped to keep the hand clear of the task. Its edges, jaws, or point are deliberately exposed enough to show how it is used, while the remaining surfaces are plain and easy to wipe clean. Fine scratches concentrate around the moving joint or tip rather than being scattered as decorative wear.	Small	Standard	180.0	20.0	wrought iron	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Medical Treatment / Dental Treatment	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_tourniquet	tourniquet	a tourniquet	This tourniquet is made chiefly from leather and has a practical, period-appropriate form. Its silhouette is clear at a glance, with the useful end, opening, or bearing surface left unobscured by decoration. Wear is concentrated on the areas a handler would touch, lift, or set down.	Small	Standard	150.0	12.0	leather	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Tools / Surgical Tools	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_variolation_lancet	lancet	a variolation lancet	This variolation lancet has a compact wrought iron working end and a grip shaped to keep the hand clear of the task. Its edges, jaws, or point are deliberately exposed enough to show how it is used, while the remaining surfaces are plain and easy to wipe clean. Fine scratches concentrate around the moving joint or tip rather than being scattered as decorative wear.	Small	Standard	180.0	20.0	wrought iron	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Medical Treatment / Bloodletting	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_inoculation_scarifier	scarifier	an inoculation scarifier	This inoculation scarifier is made chiefly from linen and has a practical, period-appropriate form. Its silhouette is clear at a glance, with the useful end, opening, or bearing surface left unobscured by decoration. Wear is concentrated on the areas a handler would touch, lift, or set down.	Small	Standard	250.0	12.0	linen	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Tools / Surgical Tools	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_watch_spring_artery_forceps	forceps	a watch-spring artery forceps	This watch-spring artery forceps has a compact wrought iron working end and a grip shaped to keep the hand clear of the task. Its edges, jaws, or point are deliberately exposed enough to show how it is used, while the remaining surfaces are plain and easy to wipe clean. Fine scratches concentrate around the moving joint or tip rather than being scattered as decorative wear.	Small	Standard	180.0	20.0	wrought iron	Era / Early Modern Era;Market / Medicine / Surgical Supplies;Functions / Tools / Surgical Tools / Forceps	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Clinical surgery.	Clinical surgery
earlymodern_medical_partitioned_drug_jar	jar	a partitioned drug jar	This partitioned drug jar is an apothecary working piece made chiefly from glass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_porcelain_gallipot	gallipot	a porcelain gallipot	This porcelain gallipot is an apothecary working piece made chiefly from glass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_graduated_medicine_glass	glass	a graduated medicine glass	This graduated medicine glass is an apothecary working piece made chiefly from glass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_stoppered_tincture_bottle	bottle	a stoppered tincture bottle	This stoppered tincture bottle is an apothecary working piece made chiefly from glass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_powder_drawer	drawer	a powder drawer	This powder drawer is an apothecary working piece made chiefly from oak. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Normal	Standard	1800.0	48.0	oak	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_pill_rolling_board	board	a pill rolling board	This pill rolling board is an apothecary working piece made chiefly from leather. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Normal	Standard	1800.0	48.0	leather	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_chemical_receiver	receiver	a chemical receiver	This chemical receiver is an apothecary working piece made chiefly from glass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_filter_funnel	funnel	a filter funnel	This filter funnel is an apothecary working piece made chiefly from glass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_prescription_ledger	ledger	a prescription ledger	This prescription ledger is an apothecary working piece made chiefly from linen. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	250.0	12.0	linen	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_syrup_ladle	ladle	a syrup ladle	This syrup ladle is an apothecary working piece made chiefly from linen. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	250.0	12.0	linen	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_drug_press	press	a drug press	This drug press is an apothecary working piece made chiefly from brass. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Small	Standard	420.0	28.0	brass	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_medicine_chest_drawer	drawer	a medicine chest drawer	This medicine chest drawer is an apothecary working piece made chiefly from oak. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Normal	Standard	1800.0	48.0	oak	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_pharmacy_label_case	case	a pharmacy label case	This pharmacy label case is an apothecary working piece made chiefly from leather. Its shape makes the contents, measure, or working surface easy to inspect, with a deliberately plain finish that will not hide residue. Small stains, powder traces, or rubbed corners give it the settled look of a tool kept within reach of a dispensing bench.	Normal	Standard	1800.0	48.0	leather	Era / Early Modern Era;Market / Medicine / Apothecary Goods;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_cinchona_bark_stock	stock	a cinchona bark stock	This cinchona bark stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its cinchona bark body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	cinchona bark	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_ipecacuanha_root_stock	stock	an ipecacuanha root stock	This ipecacuanha root stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its ipecacuanha root body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	ipecacuanha root	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_epsom_salts_stock	stock	an Epsom salts stock	This Epsom salts stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its Epsom salts body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	Epsom salts	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
