stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
renaissance_food_liquid_rosewater_verjuice_emulsion	Renaissance	Sauce	rosewater verjuice emulsion	pale rosewater-verjuice emulsion	Whisked almond and verjuice make this pale court sauce lightly opaque, with rosewater leaving a delicate sheen above the sediment.	Sharp green grape is softened by almond body and a restrained floral finish.	It smells of unripe grapes, crushed almonds, and newly distilled rosewater.	White	0	0.50	0.50	0	EraSpecific
renaissance_food_liquid_bitter_orange_agrodolce	Renaissance	Sauce	bitter-orange agrodolce reduction	amber bitter-orange agrodolce	Reduced citrus juice, wine vinegar, and sugar form a clear amber sauce whose slow drops cling to the serving spoon.	Bitter orange peel meets bright acidity and dark caramel sweetness in quick succession.	Its fragrance combines scorched sugar, fresh citrus rind, and sharp vinegar.	Orange	0	0.25	1	0	EraSpecific
renaissance_food_liquid_caper_cinnamon_court_sauce	Renaissance	Sauce	caper-cinnamon court sauce	brown caper and cinnamon sauce	Finely minced capers freckle this smooth brown banquet sauce, with cinnamon giving the reduced stock a warmer colour.	Salty caper bite cuts through savoury stock before cinnamon supplies dry warmth.	It carries aromas of brined capers, roasted meat liquor, and cassia bark.	Bold Orange	0	0.50	1	0	EraSpecific
renaissance_food_liquid_raisin_pinenut_sauce	Renaissance	Sauce	raisin-pine-nut court sauce	purple-brown raisin pine-nut sauce	Pounded pine nuts thicken a purple-brown raisin reduction, leaving tiny ivory grains suspended in its glossy body.	Fruit sweetness and creamy nuts are checked by sour wine and black pepper.	The sauce smells of soaked raisins, crushed pine kernels, and warming spice.	Magenta	0	0.25	2	0	EraSpecific
renaissance_food_liquid_rosemary_aquavitae	Renaissance	Spirit	rosemary aqua-vitae cordial	clear rosemary cordial spirit	Fresh rosemary has steeped in a clear distilled cordial, tinting it barely green while a few needles remain below the stopper.	Hot spirit gives way to resinous rosemary, honey, and a dry medicinal close.	Its piercing scent blends clean alcohol, crushed rosemary, and beeswax.	Green	0.30	0.25	0.25	0	EraSpecific
renaissance_food_liquid_citrus_peel_aquavitae	Renaissance	Spirit	citrus-peel aqua-vitae cordial	golden citrus cordial spirit	Strips of bitter citrus peel colour this refined aqua vitae pale gold, with aromatic oil forming fleeting rings on top.	The cordial burns warmly, then releases orange zest, lemon bitterness, and slight sweetness.	It smells sharply of distilled spirit and freshly pared citrus skin.	Yellow	0.30	0.25	0.25	0	EraSpecific
renaissance_food_liquid_sage_honey_cordial	Renaissance	Spirit	sage-and-honey cordial spirit	amber sage honey cordial	Honey gives this sage-steeped spirit an amber cast and a heavier pour than unflavoured aqua vitae.	Alcoholic heat carries earthy sage and meadow honey into a long herbal finish.	A heady vapour of spirit, dried sage, and warm honey rises from it.	Orange	0.25	0.25	0.50	0	EraSpecific
renaissance_food_liquid_ottoman_rose_sherbet	Renaissance	FruitDrink	Ottoman rose-petal sherbet	blush rose-petal sherbet	A clarified petal infusion gives this chilled sherbet a faint blush, with no fragments left in the crystalline drink.	Cool floral sweetness is balanced by lemonlike acidity and a clean watery finish.	It has the perfume of fresh damask roses, sugar, and citrus peel.	Bold Magenta	0	0.85	1	1.50	EraSpecific
renaissance_food_liquid_ottoman_sour_cherry_sherbet	Renaissance	FruitDrink	Ottoman sour-cherry sherbet	ruby sour-cherry sherbet	Pressed sour cherries colour this palace sherbet a brilliant ruby, while dilution keeps it clear and freely pouring.	Tart cherry leads decisively before sugar rounds the fruit and softens its astringency.	The drink smells of crushed red cherries and a little fragrant blossom water.	Bold Red	0	0.85	1	1.50	EraSpecific
renaissance_food_liquid_safavid_mint_sekanjabin	Renaissance	Syrup	Safavid mint sekanjabin concentrate	green-amber mint sekanjabin	Honey, vinegar, and mint have reduced to a translucent green-amber concentrate with a slow syrupy thread.	Sweetness and vinegar strike together, followed by cooling mint and herbal sharpness.	Its concentrated aroma joins honeycomb, wine vinegar, and bruised mint leaves.	Green	0	0.25	2	0	EraSpecific
renaissance_food_liquid_mughal_saffron_almond_sharbat	Renaissance	DairyDrink	Mughal saffron-almond sharbat	golden saffron almond sharbat	Finely strained almonds make this sharbat creamy, while saffron stains it gold and leaves occasional crimson threads.	Nutty richness supports saffron, cardamom, and gentle sugar without becoming cloying.	It smells of almond meal, haylike saffron, green cardamom, and rose.	Bold Yellow	0	0.75	3	1	EraSpecific
renaissance_food_liquid_mughal_sandal_rose_sharbat	Renaissance	FruitDrink	Mughal sandalwood-rose sharbat	pale pink sandalwood sharbat	Rose infusion gives this clear court sharbat a pale pink hue, with sandalwood contributing no visible sediment after straining.	Floral rose opens the taste before cool woody spice and light sweetness emerge.	A refined scent of rose petals, damp sandalwood, and sugar hangs over the cup.	Pink	0	0.85	1	1.50	EraSpecific
renaissance_food_liquid_ottoman_cardamom_coffee	Renaissance	Coffee	Ottoman cardamom coffee liquor	black cardamom coffee	Very finely ground coffee clouds this small black serving, with pale foam and cardamom specks gathering at the rim.	Intense roast bitterness is lifted by green cardamom and a fleeting caramel note.	Its powerful aroma combines fresh coffee grounds, cardamom pod, and hot metal.	Bold Black	0	0.90	0.25	1	EraSpecific
renaissance_food_liquid_ming_smoked_plum_tea	Renaissance	Tea	Ming smoked-plum tea liquor	reddish smoked-plum tea	Tea and smoked plum produce a clear reddish-brown infusion, with a single wrinkled fruit sometimes left in the pot.	Tannic leaf, tart plum, and hearth smoke create a dry and refreshing flavour.	Steam brings the scents of dark tea, singed plum skin, and charcoal.	Red	0	0.95	0.25	1.50	EraSpecific
renaissance_food_liquid_ming_chrysanthemum_tea	Renaissance	Tea	Ming chrysanthemum tea liquor	clear golden chrysanthemum tea	Whole chrysanthemum petals tint this refined infusion clear gold, drifting open like small flowers near the surface.	It tastes lightly floral and grassy, with subtle bitterness and a cooling finish.	The vapour is delicate, recalling dried chrysanthemum heads and spring hay.	Yellow	0	0.95	0	1.50	EraSpecific
renaissance_food_liquid_japanese_whisked_tea	Renaissance	Tea	Japanese whisked tea liquor	foaming jade whisked tea	Powdered tea has been whisked into an opaque jade-green liquor capped by a close layer of tiny bubbles.	Concentrated green tea tastes grassy, creamy, and briskly bitter with lasting umami.	It gives off a vivid scent of ground tea leaf, fresh grass, and warm ceramic.	Bold Green	0	0.90	0.25	1	EraSpecific
renaissance_food_liquid_joseon_five_flavour_punch	Renaissance	FruitDrink	Joseon five-flavour berry punch	crimson five-flavour berry punch	Steeped magnolia berries make this court punch a luminous crimson, with pine nuts floating sparsely across the top.	Sweet, sour, bitter, salty, and pungent impressions unfold over a bright berry core.	Its unusual bouquet suggests red berries, pine kernel, and faint cinnamon bark.	Bold Red	0	0.85	1	1.50	EraSpecific
renaissance_food_liquid_ming_black_bean_liquor	Renaissance	Sauce	Ming fermented-black-bean cooking liquor	dark fermented bean liquor	Rinsed fermented beans cloud this dark cooking liquid, leaving black fragments and a slight oily lustre behind.	It is intensely salty and savoury, carrying fermented bean depth and mild garlic.	The strong smell recalls aged black beans, brine, and a warm wok.	Bold Black	0	0.50	1	0	EraSpecific
renaissance_food_liquid_japanese_irizake	Renaissance	Sauce	Japanese iri-zake cooking liquor	pale amber iri-zake	Reduced rice wine, dried plum, and fish shaving make this clear amber seasoning liquor delicately glossy.	Dry rice wine supports sour plum and marine savour with restrained salt.	It smells of heated sake, preserved plum, and clean dried fish.	Yellow	0.05	0.65	0.25	0	EraSpecific
renaissance_food_liquid_achiote_cacao	Renaissance	Chocolate	achiote-red cacao drink	red-brown achiote cacao	Ground cacao and achiote form a red-brown drink with persistent foam and fine dark sediment under the froth.	Bitter cacao is earthy and dry, with peppery achiote and almost no sweetness.	Its scent blends roasted cacao, annatto seed, maize, and aromatic flowers.	Red	0	0.75	2	1	EraSpecific
renaissance_food_liquid_chile_maize_cacao	Renaissance	Chocolate	chile-maize cacao froth	dark chile-maize cacao	Maize thickens this dark cacao drink beneath a coarse foam, while red chile flecks remain visible in the cup.	Roasted bitterness and grain body are followed by a clean, rising chile heat.	It smells of ground cacao, toasted maize, dried chile, and smoke.	Bold Black	0	0.75	3	1	EraSpecific
renaissance_food_liquid_vanilla_flower_cacao	Renaissance	Chocolate	vanilla-flower cacao liquor	foamy vanilla-flower cacao	A tall cap of tan foam crowns this dark cacao preparation, perfumed with vanilla orchid and other fragrant flowers.	Cacao remains dry and bitter beneath rounded vanilla and a delicate floral sweetness.	The rich aroma carries roasted beans, vanilla pod, and freshly gathered blossoms.	Magenta	0	0.75	2	1	EraSpecific
renaissance_food_liquid_colonial_andean_anise_quinoa_chicha	Renaissance	FermentedDrink	colonial anise-quinoa chicha	cloudy anise quinoa chicha	Fermented quinoa gives this early colonial drink a cloudy straw colour, while introduced anise seed dots the loose surface foam.	Mild sourness and grainy nuttiness lead into an aromatic liquorice-like finish.	It smells of wet quinoa, active fermentation, anise, and cool earthen jars.	Bold White	0.03	0.85	1	1	EraSpecific
renaissance_food_liquid_atlantic_maize_millet_beer	Renaissance	FermentedDrink	Atlantic maize-millet beer	ochre maize and millet beer	Newly arrived maize ferments beside millet in this contact-zone beer, whose ochre sediment gathers beneath a thin pale foam.	Sweet maize lightens the earthy millet and finishes with mild fermented bitterness.	Its aroma brings damp grain, fresh yeast, faint smoke, and calabash.	Bold Orange	0.04	0.85	1	1	EraSpecific
renaissance_food_liquid_canary_sack_cooking_wine	Renaissance	Wine	Canary sack cooking wine	deep amber Canary sack	This fortified island wine is deep amber and brilliantly clear, pouring with more weight than an ordinary table vintage.	Ripe grape sweetness, oxidation, and warming alcohol finish on dried fruit and nuts.	It smells richly of sun-dried grapes, old wood, orange peel, and spirit.	Orange	0.15	0.75	1	0.25	EraSpecific
