StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_religious_institutional_0001_plain_waste	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	waste	a plain oak waste for domestic observance	This plain waste is formed chiefly from oak and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2410	100	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/waste/domestic/oak; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0002_plain_lectern	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	lectern	a plain mild steel lectern for domestic observance	This plain lectern is formed chiefly from mild steel and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2447	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/lectern/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0003_plain_kneeler	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	kneeler	a plain cotton kneeler for domestic observance	This plain kneeler is formed chiefly from cotton and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2484	500	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/kneeler/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0004_plain_vessel	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	vessel	a plain ceramic vessel for domestic observance	This plain vessel is formed chiefly from ceramic and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2521	1	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/vessel/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0005_plain_screen	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	screen	a plain oak screen for domestic observance	This plain screen is formed chiefly from oak and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2558	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_religious_institutional_0001_plain_waste	industrial_household	Authored Religious and institutional matrix: plain/screen/domestic/oak; priced by industrial_household analogue.	true	salvage
industrialised_religious_institutional_0006_plain_candlestick	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	candlestick	a plain mild steel candlestick for domestic observance	This plain candlestick is formed chiefly from mild steel and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2595	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/candlestick/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0007_plain_plaque	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	plaque	a plain cotton plaque for domestic observance	This plain plaque is formed chiefly from cotton and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2632	10	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/plaque/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0008_plain_box	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	box	a plain ceramic box for domestic observance	This plain box is formed chiefly from ceramic and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2669	20	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/box/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0009_plain_bell	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	bell	a plain oak bell for domestic observance	This plain bell is formed chiefly from oak and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2706	50	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Religious and institutional matrix: plain/bell/domestic/oak; priced by industrial_household analogue.	true	
industrialised_religious_institutional_0010_plain_stand	shared-industrialised	Religious and institutional	industrial;modern;nuclear;information	stand	a plain mild steel stand for domestic observance	This plain stand is formed chiefly from mild steel and proportioned for domestic observance. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2743	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_religious_institutional_0001_plain_waste	industrial_household	Authored Religious and institutional matrix: plain/stand/domestic/mild steel; priced by industrial_household analogue.	true	salvage
