StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_emergency_rescue_civic_0001_plain_scrap	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	scrap	a plain cotton scrap for domestic emergency response	This plain scrap is formed chiefly from cotton and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2208	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/scrap/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0002_plain_bucket	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	bucket	a plain natural rubber bucket for domestic emergency response	This plain bucket is formed chiefly from natural rubber and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2245	50	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/bucket/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0003_plain_ladder	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	ladder	a plain mild steel ladder for domestic emergency response	This plain ladder is formed chiefly from mild steel and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2282	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/ladder/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0004_plain_bell	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	bell	a plain oak bell for domestic emergency response	This plain bell is formed chiefly from oak and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2319	200	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/bell/domestic/oak; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0005_plain_stretcher	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	stretcher	a plain cotton stretcher for domestic emergency response	This plain stretcher is formed chiefly from cotton and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2356	500	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_emergency_rescue_civic_0001_plain_scrap	industrial_household	Authored Emergency, rescue and civic matrix: plain/stretcher/domestic/cotton; priced by industrial_household analogue.	true	salvage
industrialised_emergency_rescue_civic_0006_plain_helmet	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	helmet	a plain natural rubber helmet for domestic emergency response	This plain helmet is formed chiefly from natural rubber and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2393	1	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/helmet/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0007_plain_hose	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	hose	a plain mild steel hose for domestic emergency response	This plain hose is formed chiefly from mild steel and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2430	2	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/hose/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0008_plain_lamp	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	lamp	a plain oak lamp for domestic emergency response	This plain lamp is formed chiefly from oak and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2467	5	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/lamp/domestic/oak; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0009_plain_barrier	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	barrier	a plain cotton barrier for domestic emergency response	This plain barrier is formed chiefly from cotton and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2504	10	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Emergency, rescue and civic matrix: plain/barrier/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_emergency_rescue_civic_0010_plain_sign	shared-industrialised	Emergency, rescue and civic	industrial;modern;nuclear;information	sign	a plain natural rubber sign for domestic emergency response	This plain sign is formed chiefly from natural rubber and proportioned for domestic emergency response. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2541	20	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_emergency_rescue_civic_0001_plain_scrap	industrial_household	Authored Emergency, rescue and civic matrix: plain/sign/domestic/natural rubber; priced by industrial_household analogue.	true	salvage
