stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_plain_boiled_broad_beans	Shared	Prepared	Pulse	plain boiled broad beans	a serving of plain boiled broad beans	Plump broad beans sit in a shallow bowl, their pale skins wrinkled and their centres softened by plain boiling.	The beans taste mild and earthy, with clean salt and a faint grassy finish.	bean	Standard	Cooked	Substandard	340	1.5	Universal
preindustrial_food_salted_broad_bean_mash	Shared	Prepared	Pulse	salted broad bean mash	a serving of salted broad bean mash	Broad beans have been crushed into a coarse beige mash, with salt crystals scattered across the damp spoon marks.	Salty broad-bean richness fills the mouth, followed by a dry, nutty pulse note.	bean	Standard	Cooked	Standard	340	2.5	Universal
preindustrial_food_herbed_broad_bean_mash	Shared	Prepared	Pulse	herbed broad bean mash	a serving of herbed broad bean mash	Green herb flecks brighten this rustic broad-bean mash, which retains small tender pieces among its smoother portions.	Earthy beans are lifted by fresh herbs, leaving a green and gently peppery aftertaste.	bean	Standard	Cooked	Standard	340	2.5	Universal
preindustrial_food_onion_stewed_broad_beans	Shared	Prepared	Pulse	onion-stewed broad beans	a serving of onion-stewed broad beans	Whole broad beans nestle in an onion-rich cooking liquor, glossy and brown from a long, gentle simmer.	Sweet cooked onion rounds the broad beans, while the broth finishes savoury and mellow.	bean	Hearty	Cooked	Standard	480	4.5	Universal
preindustrial_food_garlic_roasted_broad_beans	Shared	Prepared	Pulse	garlic-roasted broad beans	a serving of garlic-roasted broad beans	Hearth-roasted broad beans show blistered skins and toasted corners, with minced garlic clinging to their warm surfaces.	Toasted bean skins give way to creamy centres, with warm garlic lingering after each bite.	bean	Standard	Cooked	Standard	340	2.5	Universal
preindustrial_food_vinegar_dressed_broad_beans	Shared	Prepared	Pulse	vinegar-dressed broad beans	a serving of vinegar-dressed broad beans	A light vinegar dressing glistens over tender broad beans, collecting sharply scented droplets beneath the serving.	Bright vinegar sharpens the soft beans, ending with salt and a restrained earthy sweetness.	bean	Preserved	Preserved	Standard	180	3.5	Universal
preindustrial_food_broad_beans_with_leeks	Shared	Prepared	Pulse	broad beans with leeks	a serving of broad beans with leeks	Soft broad beans are folded through pale leek ribbons, leaving the pulses whole enough to contrast with the yielding greens.	Mellow beans and sweet leeks balance one another, with a soft vegetal finish.	bean	Standard	Cooked	Standard	340	2.5	Universal
preindustrial_food_broad_beans_with_cabbage	Shared	Prepared	Pulse	broad beans with cabbage	a serving of broad beans with cabbage	Broad beans and wilted cabbage form a simple mottled heap, mixing creamy interiors with soft, crinkled leaves.	The creamy pulses temper the cabbage's leafy savour and slight mineral bitterness.	bean	Standard	Cooked	Standard	340	2.5	Universal
preindustrial_food_broad_bean_and_turnip_pot	Shared	Prepared	Pulse	broad bean and turnip pot	a serving of broad bean and turnip pot	Turnip cubes and broad beans crowd a little cloudy broth, each piece rounded at the edges by slow cooking.	Earthy broad beans meet mild turnip sweetness in a comforting, lightly salted broth.	bean	Hearty	Cooked	Standard	480	4.5	Universal
preindustrial_food_broad_bean_herb_patties	Shared	Prepared	Pulse	broad bean herb patties	a serving of broad bean herb patties	Small broad-bean patties have crisp brown faces and coarse, herb-speckled centres that crumble beneath a fork.	These patties taste nutty and herbal, with pepper warmth beneath their toasted crusts.	bean	Standard	Cooked	Standard	340	2.5	Universal
preindustrial_food_plain_boiled_field_peas	Shared	Prepared	Pulse	plain boiled field peas	a serving of plain boiled field peas	Field peas remain plump and distinct after boiling, their green-grey skins shining with a trace of cooking water.	The field peas taste gently sweet and grassy, with only a simple salted close.	pea	Standard	Cooked	Substandard	340	1.5	Universal
preindustrial_food_thick_split_pea_pottage	Shared	Prepared	Pulse	thick split pea pottage	a serving of thick split pea pottage	Split peas have dissolved into a thick golden-green pottage, broken only by a few intact halves near the rim.	Deep pea flavour dominates the thick pottage, finishing creamy, earthy, and faintly sweet.	pea	Hearty	Cooked	Standard	480	4.5	Universal
