uniqueReference,sdesc,fdesc
medieval_linen_braies,a $colour pair of linen braies,"These $colour linen braies are cut as loose under-breeches with a gathered waist, roomy seat, and short legs. The linen is light enough to sit beneath hose or trousers, with practical seams kept flat against the body. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_undertunic,a $colour linen undertunic,"This $colour linen undertunic is made from straight, plain linen panels, with narrow sleeves and small side openings for movement. The neck is simply finished and the hem is light enough to tuck beneath heavier layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_chemise,a $colour linen chemise,"This $colour linen chemise is made from long, plain linen panels, with narrow sleeves and small side openings for movement. The neck is simply finished and the hem is light enough to tuck beneath heavier layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_breastband,a $colour linen breastband,"This $colour linen breastband is a long folded strip of cloth meant to wrap firmly around the torso. The ends are narrow enough to tie without bulky knots, while the middle is broad and smooth against the body. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_plain_leather_belt,a plain leather belt,"This plain leather belt is a long strap of sturdy leather with a simple fastening and burnished edges. The surface is left unornamented, relying on the grain of the hide and the evenness of the cut for its appearance. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_iron_buckled_leather_belt,an iron-buckled leather belt,"This iron-buckled leather belt is a sturdy strap fitted with a dark iron buckle and a row of cleanly punched holes. The leather is thick enough to hold its shape around the waist, with burnished edges and visible stitching near the buckle fold. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_simple_woven_sash,a $colour woven sash,"This $colour woven sash is a long wool band with firm selvages and simple squared ends. It is made to wrap, knot, or girdle clothing without adding a hard buckle or metal fitting. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_woven_girdle,a fine $colour woven girdle,"This fine $colour woven girdle is a narrow wool band with firm edges and a smooth, even hand. It is long enough to wrap the waist and leave modest hanging ends, while the weave keeps it from twisting. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_soft_leather_shoes,a pair of soft leather shoes,"These soft leather shoes are low, flexible footwear with rounded toes and simple stitched uppers. The soles are sturdy enough for regular use without making the shoes stiff or high. Natural variations in the leather show along the seams, toe creases, and cut edges."
medieval_fine_leather_shoes,a pair of fine leather shoes,"These fine leather shoes are low, carefully shaped footwear with smooth uppers and neatly turned edges. The soles are firm but not heavy, and the stitching is kept regular around the heel and vamp. Natural variations in the leather show softly across the polished surface and flexed creases."
medieval_ankle_leather_boots,a pair of ankle leather boots,"These ankle leather boots are sturdy low boots with firm soles, rounded toes, and shafts that cover the ankle. The uppers are stitched from practical leather panels, with the seams placed where they will not rub too sharply. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_high_leather_boots,a pair of high leather boots,"These high leather boots rise well above the ankle, with firm shafts and soles meant for riding or rough ground. The leather is shaped to the foot and lower leg, with visible stitching around the sole and up the back. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_plain_leather_sandals,a pair of plain leather sandals,"These plain leather sandals are open footwear with flat soles and simple straps across the foot. The cut is practical and spare, leaving most of the foot exposed while protecting the underside. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_hemp_sandals,a pair of woven hemp sandals,"These woven hemp sandals are light, open footwear made from braided plant-fibre straps and simple flat soles. The weave is coarse but regular, leaving the toes and much of the foot exposed. The natural hemp surface is plainly visible, with small slubs and a practical, unpolished finish."
medieval_wool_hose,a pair of $colour wool hose,"These $colour wool hose are close-fitting wool leg coverings with shaped lower portions and neatly finished upper edges. The cloth is cut to follow the leg without the bulk of full trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_chausses,a pair of $colour wool chausses,"These $colour wool chausses are close-fitting wool leg coverings with shaped lower portions and neatly finished upper edges. The cloth is cut to follow the leg without the bulk of full trousers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_narrow_wool_trousers,a pair of narrow $colour wool trousers,"These narrow $colour wool trousers are practical legwear with a gathered waist, straight seams, and enough room through the seat for riding or work. The legs narrow enough to sit beneath boots or wraps without excessive bunching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_tunic,a $colour wool tunic,"This $colour wool tunic is a straight wool garment made from straight body panels with sleeves set in simply at the shoulder. The neck and cuffs are simply finished, leaving the garment useful under a cloak, mantle, or belt. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_long_wool_tunic,a long $colour wool tunic,"This long $colour wool tunic is a long wool garment made from straight body panels with sleeves set in simply at the shoulder. The neck and cuffs are simply finished, leaving the garment useful under a cloak, mantle, or belt. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_heavy_wool_cloak,a heavy $colour wool cloak,"This heavy $colour wool cloak is a broad outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_simple_wool_mantle,a $colour wool mantle,"This $colour wool mantle is a broad outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_lined_cloak,a $colour fur-lined cloak,"This $colour fur-lined cloak is a broad outer cloth meant to drape over the shoulders and upper body. Fur shows at the opening and edges, adding thickness where wind would otherwise slip beneath the outer cloth. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_coif,a $colour linen coif,"This $colour linen coif is a close-fitting head covering with rounded crown panels and ties below the jaw or at the nape. The edges are narrow and smooth, keeping the cloth neat beneath a hood, cap, or veil. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_veil,a $colour linen veil,"This $colour linen veil is a light cloth head covering with a straight fall and softly folded edges. It can frame the face, cover the hair, or fall over the shoulders depending on how it is arranged. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_wimple,a $colour linen wimple,"This $colour linen wimple is a linen head and neck covering shaped by smooth folds around the throat and lower face. The fabric is light but close, leaving the outer edge neat enough to sit under a veil or hood. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_hood,a $colour wool hood,"This $colour wool hood is a wool head covering with a rounded crown and a fall that protects the neck and upper shoulders. The face opening is plainly finished, and the lower edge sits comfortably over other garments. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_felt_cap,a $colour felt cap,"This $colour felt cap is a felt cap with a firm crown and a plain lower edge. The felt is dense enough to keep its shape without much internal structure. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_rectangular_wool_cloak,a $colour rectangular wool cloak,"This $colour rectangular wool cloak is a rectangular outer cloth meant to drape over the shoulders and upper body. The edges are turned or selvaged to keep the broad cloth from fraying under repeated wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_brooched_wool_mantle,a $colour brooched wool mantle,"This $colour brooched wool mantle is a broad outer cloth meant to drape over the shoulders and upper body. The fastening is plainly visible near the shoulder, gathering the cloth into heavy folds without concealing how it is held. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_tablet_banded_wool_tunic,a $colour tablet-banded tunic,"This $colour tablet-banded tunic is a tablet-banded wool garment made from straight body panels with sleeves set in simply at the shoulder. Tablet-woven bands frame the neck, cuffs, and lower hem, adding visible structure to the simple body cut. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
