StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_construction_utilities_0001_plain_rubble	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	rubble	a plain oak rubble for domestic building work	This plain rubble is formed chiefly from oak and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1400	50	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/rubble/domestic/oak; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0002_plain_brick	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	brick	a plain ceramic brick for domestic building work	This plain brick is formed chiefly from ceramic and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1437	100	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/brick/domestic/ceramic; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0003_plain_tile	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	tile	a plain mild steel tile for domestic building work	This plain tile is formed chiefly from mild steel and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1474	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/tile/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0004_plain_pipe	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	pipe	a plain cast iron pipe for domestic building work	This plain pipe is formed chiefly from cast iron and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1511	500	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/pipe/domestic/cast iron; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0005_plain_valve	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	valve	a plain oak valve for domestic building work	This plain valve is formed chiefly from oak and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1548	1	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_construction_utilities_0001_plain_rubble	industrial_tools	Authored Construction and utilities matrix: plain/valve/domestic/oak; priced by industrial_tools analogue.	true	salvage
industrialised_construction_utilities_0006_plain_fitting	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	fitting	a plain ceramic fitting for domestic building work	This plain fitting is formed chiefly from ceramic and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1585	2	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/fitting/domestic/ceramic; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0007_plain_beam	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	beam	a plain mild steel beam for domestic building work	This plain beam is formed chiefly from mild steel and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1622	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/beam/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0008_plain_panel	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	panel	a plain cast iron panel for domestic building work	This plain panel is formed chiefly from cast iron and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1659	10	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/panel/domestic/cast iron; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0009_plain_grate	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	grate	a plain oak grate for domestic building work	This plain grate is formed chiefly from oak and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1696	20	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Construction and utilities matrix: plain/grate/domestic/oak; priced by industrial_tools analogue.	true	
industrialised_construction_utilities_0010_plain_conduit	shared-industrialised	Construction and utilities	industrial;modern;nuclear;information	conduit	a plain ceramic conduit for domestic building work	This plain conduit is formed chiefly from ceramic and proportioned for domestic building work. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1733	50	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_construction_utilities_0001_plain_rubble	industrial_tools	Authored Construction and utilities matrix: plain/conduit/domestic/ceramic; priced by industrial_tools analogue.	true	salvage
