stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
medieval_food_liquid_lenten_almond_draught	Medieval	DairyDrink	Lenten almond draught	cloudy ivory almond draught	This fasting-day drink is an opaque ivory emulsion, with a fine almond sediment settling slowly beneath its creamy surface.	It tastes softly nutty and faintly sweet, leaving a clean almond richness without any dairy tang.	Its mild scent recalls freshly crushed almonds, warm water, and a trace of honey.	White	0	0.75	3	1	EraSpecific
medieval_food_liquid_convent_walnut_milk	Medieval	DairyDrink	convent walnut milk	pale brown walnut milk	Ground walnuts give this monastic fasting milk a pale taupe colour, a slightly grainy body, and a thin layer of oil at the rim.	Deep walnut flavour brings gentle bitterness and earthy richness, rounded by a restrained touch of honey.	It smells of cracked walnut shells, fresh kernels, and cool stoneware.	Bold White	0	0.65	3	1	EraSpecific
medieval_food_liquid_poppy_seed_fast_emulsion	Medieval	DairyDrink	poppy-seed fast emulsion	speckled poppy-seed emulsion	Tiny grey seed flecks remain suspended through this light fasting emulsion, which pours smoothly despite its visibly ground texture.	The drink is delicately nutty and grassy, with a mild seed bitterness at the finish.	A quiet aroma of crushed poppy seed and damp meal rises from it.	White	0	0.75	2	1	EraSpecific
medieval_food_liquid_green_grape_verjuice	Medieval	Sauce	green-grape cook's verjuice	sharp green-grape verjuice	Pressed from unripe grapes, this clear yellow-green cookery liquid has a brisk acidity and a faint natural haze near the bottom.	Its first impression is sharply sour, followed by green grape, mineral freshness, and almost no sweetness.	It carries the bright smell of crushed young grapes and snapped vine stems.	Green	0	0.90	0	0	EraSpecific
medieval_food_liquid_sorrel_verjuice_sauce	Medieval	Sauce	sorrel verjuice sauce	green sorrel-verjuice sauce	Chopped sorrel clouds this tart sauce a deep leaf-green, while strained herb fragments collect along the sides of its vessel.	The sauce tastes vividly sour and leafy, with pepper and salt sharpening its clean finish.	Its aroma combines bruised sorrel, green grape juice, and fresh-cut herbs.	Bold Green	0	0.75	0.25	0	EraSpecific
medieval_food_liquid_clarified_hippocras	Medieval	Wine	clarified court hippocras	clear ruby court hippocras	Careful straining leaves this spiced red wine brilliantly clear, with a ruby colour and no visible spice sediment.	Sweet wine leads into cinnamon, ginger, and clove, then closes with warming alcohol and dry spice.	It smells richly of red wine, cassia bark, ginger, and a little honey.	Bold Red	0.12	0.75	0.50	0.25	EraSpecific
medieval_food_liquid_warmed_peppered_wine	Medieval	Wine	warmed peppered wine	dark warmed pepper wine	This heated wine is dark garnet and lightly steaming, with ground pepper settling in a fine ring around the cup.	Warm red wine and black pepper dominate, followed by muted sweetness and a firmly alcoholic finish.	Steam carries vinous fruit, cracked pepper, and the smoky scent of the heating pot.	Red	0.10	0.75	0.25	0.25	EraSpecific
medieval_food_liquid_monastic_herb_wine	Medieval	Wine	monastic bitter-herb wine	green-brown monastic herb wine	A measured steeping of bitter herbs gives this table wine a green-brown cast and leaves a few fine particles after straining.	Dry wine supports wormwood-like bitterness, garden herbs, and a long medicinal warmth.	Its stern fragrance suggests dried leaves, resinous stems, and pale wine.	Yellow	0.08	0.75	0.25	0.25	EraSpecific
medieval_food_liquid_honeyed_pomegranate_draught	Medieval	FruitDrink	honeyed pomegranate table draught	crimson honeyed pomegranate draught	Diluted pomegranate juice colours this courtly table drink a clear crimson, with honey adding a slight viscosity to its flow.	Tart red fruit arrives first, then floral honey softens the acidity and leaves a gently sweet finish.	The draught smells of split pomegranate, warm honey, and fresh water.	Magenta	0	0.85	1	1.50	EraSpecific
medieval_food_liquid_infirmary_barley_water	Medieval	GrainDrink	infirmary barley water	cloudy pale barley water	Long-simmered barley has left this infirmary drink pale and faintly cloudy, with only a few grains escaping the final straining.	It tastes mild, starchy, and lightly toasted, carrying little more than barley sweetness and clean water.	A soft scent of boiled grain and warm earthenware hangs above it.	Bold White	0	0.95	1	2	EraSpecific
medieval_food_liquid_bread_caudle	Medieval	GrainDrink	bread-thickened sickroom caudle	warm beige bread caudle	Fine bread crumbs thicken this warm sickroom drink to a smooth beige pour, with spice dust visible across the top.	Soft wheat and warm broth give way to ginger and a modest salted richness.	It smells of soaked bread, gentle spice, and recently heated stock.	Yellow	0	0.75	3	0.50	EraSpecific
medieval_food_liquid_almond_saffron_caudle	Medieval	DairyDrink	almond-saffron caudle	golden almond-saffron caudle	Almond emulsion and saffron make this fasting caudle creamy and golden, with an occasional red thread drifting through it.	Nutty almond body carries floral saffron, mild sweetness, and a warming ginger close.	Its perfume blends crushed almonds, haylike saffron, and honeyed spice.	Bold Yellow	0	0.65	4	0.50	EraSpecific
medieval_food_liquid_monastic_parsley_broth	Medieval	Broth	monastic parsley broth	clear green-flecked parsley broth	This modest monastic broth is nearly clear, scattered with chopped parsley and a few softened leek threads.	Fresh parsley and mild allium lift a clean salted broth with very little fat.	It gives off the humble fragrance of garden herbs, leek, and steaming stock.	Green	0	0.95	1	0.50	EraSpecific
medieval_food_liquid_fish_day_saffron_broth	Medieval	Broth	fish-day saffron broth	golden fish-day saffron broth	Saffron turns this lean fish-day broth a luminous gold, while tiny herb flecks and a pearly sheen mark its surface.	A delicate briny savour is brightened by saffron, parsley, and gentle pepper.	The steam smells of light fish stock, saffron threads, and chopped greens.	Bold Yellow	0	0.90	1.50	0.50	EraSpecific
medieval_food_liquid_capon_restoration_broth	Medieval	Broth	capon restoration broth	rich amber capon broth	Slowly strained capon stock forms a clear amber broth with small golden beads of fat moving across the surface.	It tastes deeply poultry-rich yet clean, finishing with sweet root vegetables and warming herbs.	A full aroma of roasted bird, parsley roots, and pepper rises with the steam.	Orange	0	0.85	3	0.50	EraSpecific
