category,unique_reference,sdesc,noun,material,size,quality,weight_g,cost,components,tags,morph,notes,fdesc
Shared commoner and ephemeral adornment,medieval_jewellery_common_twisted_copper_ring,a twisted copper ring,ring,copper,Tiny,Standard,8.0,6.0m,Holdable; Wear_Ring; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Commoner Jewellery,,,"A twisted copper ring is a compact band of warm reddish copper darkened in the recesses, made with a soft twist running around the outside rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. The worked parts of the twisted copper ring are decorative, but none suggest a moving catch or concealed compartment. The twisted copper ring reads as commoner adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_common_plain_bone_ring,a plain bone ring,ring,bone,Tiny,Standard,6.0,4.0m,Holdable; Wear_Ring; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Simple Jewellery,,,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale bone burnished by handling forms a steady circle, broken only by a shallow file mark near one edge. The worked parts of the plain bone ring are decorative, but none suggest a moving catch or concealed compartment. The piece would signal simple household taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_common_horn_bead_bracelet,a horn bead bracelet,bracelet,horn,VerySmall,Standard,34.0,8.0m,Holdable; Wear_Bracelet; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Commoner Jewellery,,,"A horn bead bracelet is made to circle a limb, with horn with layered translucent streaks through it providing the visible body of the ornament. The edges are kept low and rounded, and beads of slightly different shade gives the piece a recognisable worked surface. Small handling marks cross the horn bead bracelet unevenly, especially where it would brush cloth or skin. The horn bead bracelet carries value through visible material and workmanship, not through hidden mechanism."
Shared commoner and ephemeral adornment,medieval_jewellery_common_wooden_bead_necklace,a wooden bead necklace,necklace,wood,VerySmall,Standard,42.0,6.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Simple Jewellery,,,"A wooden bead necklace is arranged for the throat or upper chest, where its line of wood would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. The worked parts of the wooden bead necklace are decorative, but none suggest a moving catch or concealed compartment. The wooden bead necklace feels selected for appearance first, with practical wearing kept secondary."
Shared commoner and ephemeral adornment,medieval_jewellery_common_shell_chip_bracelet,a shell chip bracelet,bracelet,shell,VerySmall,Standard,26.0,7.0m,Holdable; Wear_Bracelet; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Commoner Jewellery,,,"A shell chip bracelet is made to circle a limb, with pale shell showing irregular growth lines providing the visible body of the ornament. The edges are kept low and rounded, and flat chips drilled close to the edge gives the piece a recognisable worked surface. Close inspection of the shell chip bracelet shows small tool marks rather than cast-perfect smoothness. The shell chip bracelet is meant to be noticed in wear, but nothing about it implies armour or magic."
Shared commoner and ephemeral adornment,medieval_jewellery_common_cowrie_shell_anklet,a cowrie shell anklet,anklet,cowrie shell,VerySmall,Standard,30.0,9.0m,Holdable; Wear_Anklet; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Commoner Jewellery,,,"This limb ornament is practical in scale even when it is decorative in intent. Small cowrie shells with smooth backs and pale mouths shows most clearly on the outer face, while the side that rests against the wearer is quieter. Fine wear gathers around the anklet's highest places, leaving smooth shells strung mouth-outward easier to pick out. The cowrie shell anklet reads as commoner adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_common_braided_hemp_bracelet,a braided hemp bracelet,bracelet,hemp,VerySmall,Standard,12.0,2.0m,Holdable; Wear_Bracelet; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Simple Jewellery,,,"A braided hemp bracelet is made to circle a limb, with coarse hemp cord with small stray fibres providing the visible body of the ornament. The edges are kept low and rounded, and three strands braided with a knotted end gives the piece a recognisable worked surface. Small handling marks cross the braided hemp bracelet unevenly, especially where it would brush cloth or skin. The braided hemp bracelet leaves room for local marks or motifs without needing a different base object."
Shared commoner and ephemeral adornment,medieval_jewellery_common_knotted_wool_wristband,a knotted wool wristband,bracelet,wool,VerySmall,Standard,16.0,2.0m,Holdable; Wear_Bracelet; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Simple Jewellery,,,"A knotted wool wristband would show whenever a sleeve, hem, or hand moved aside. The maker has balanced ornament against comfort, keeping the underside smoother than the display face. Close inspection of the knotted wool wristband shows small tool marks rather than cast-perfect smoothness. The knotted wool wristband carries value through visible material and workmanship, not through hidden mechanism."
Shared commoner and ephemeral adornment,medieval_jewellery_common_small_wooden_child_ring,a small wooden child ring,ring,boxwood,Tiny,Standard,4.0,3.0m,Holdable; Wear_Ring; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Children's Jewellery,,,"At close range, small wooden child ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. A rounded edge and very small opening draws the eye around the band. Small handling marks cross the small wooden child ring unevenly, especially where it would brush cloth or skin. The small wooden child ring is meant to be noticed in wear, but nothing about it implies armour or magic."
Shared commoner and ephemeral adornment,medieval_jewellery_common_clay_coloured_faience_bead_string,a clay-coloured faience bead string,necklace,faience,VerySmall,Standard,55.0,16.0m,Holdable; Wear_Necklace; Destroyable_Glassware,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Commoner Jewellery,,,"A clay-coloured faience bead string carries its value in the rhythm of its material: glazed faience with small pooling marks in the colour. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Fine wear gathers around the necklace's highest places, leaving beads with glaze gathered in small dimples easier to pick out. The clay-coloured faience bead string carries value through visible material and workmanship, not through hidden mechanism."
