Profile	Dimension	Family	Values	ComponentBacked
neutral	power	mains	Connectable_Male_To_MainsPlug	true
neutral	paper	office	A4;Letter	false
neutral	telecommunications	standard	Telephone_Standard	true
neutral	networkmedia	wired	NetworkAdapter_Wired	true
neutral	vehicle	service	AttachableConnectable_PowerLead	true
northamerican	power	mains	Connectable_Male_To_MainsPlug	true
northamerican	paper	office	Letter;Legal	false
northamerican	telecommunications	standard	Telephone_Standard	true
northamerican	networkmedia	wired	NetworkAdapter_Wired	true
northamerican	vehicle	service	AttachableConnectable_PowerLead	true
continentaleuropean	power	mains	Connectable_Male_To_MainsPlug	true
continentaleuropean	paper	office	A4;A5	false
continentaleuropean	telecommunications	standard	Telephone_Standard	true
continentaleuropean	networkmedia	wired	NetworkAdapter_Wired	true
continentaleuropean	vehicle	service	AttachableConnectable_PowerLead	true
britishirish	power	mains	Connectable_Male_To_MainsPlug	true
britishirish	paper	office	A4;A5	false
britishirish	telecommunications	standard	Telephone_Standard	true
britishirish	networkmedia	wired	NetworkAdapter_Wired	true
britishirish	vehicle	service	AttachableConnectable_PowerLead	true
australasian	power	mains	Connectable_Male_To_MainsPlug	true
australasian	paper	office	A4;A5	false
australasian	telecommunications	standard	Telephone_Standard	true
australasian	networkmedia	wired	NetworkAdapter_Wired	true
australasian	vehicle	service	AttachableConnectable_PowerLead	true
japanese	power	mains	Connectable_Male_To_MainsPlug	true
japanese	paper	office	JIS-B5;A4	false
japanese	telecommunications	standard	Telephone_Standard	true
japanese	networkmedia	wired	NetworkAdapter_Wired	true
japanese	vehicle	service	AttachableConnectable_PowerLead	true
chinese	power	mains	Connectable_Male_To_MainsPlug	true
chinese	paper	office	A4;B5	false
chinese	telecommunications	standard	Telephone_Standard	true
chinese	networkmedia	wired	NetworkAdapter_Wired	true
chinese	vehicle	service	AttachableConnectable_PowerLead	true
