StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_kitchen_appliances_0001_plain_scrap	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	scrap	a plain cast iron scrap for domestic cookery	This plain scrap is formed chiefly from cast iron and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	491	50	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/scrap/domestic/cast iron; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0002_plain_kettle	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	kettle	a plain copper kettle for domestic cookery	This plain kettle is formed chiefly from copper and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	528	100	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/kettle/domestic/copper; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0003_plain_pan	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	pan	a plain ceramic pan for domestic cookery	This plain pan is formed chiefly from ceramic and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	565	200	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/pan/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0004_plain_pot	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	pot	a plain mild steel pot for domestic cookery	This plain pot is formed chiefly from mild steel and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	602	500	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/pot/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0005_plain_grater	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	grater	a plain cast iron grater for domestic cookery	This plain grater is formed chiefly from cast iron and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	639	1	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_kitchen_appliances_0001_plain_scrap	industrial_household	Authored Kitchen and appliances matrix: plain/grater/domestic/cast iron; priced by industrial_household analogue.	true	salvage
industrialised_kitchen_appliances_0006_plain_whisk	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	whisk	a plain copper whisk for domestic cookery	This plain whisk is formed chiefly from copper and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	676	2	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/whisk/domestic/copper; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0007_plain_ladle	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	ladle	a plain ceramic ladle for domestic cookery	This plain ladle is formed chiefly from ceramic and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	713	5	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/ladle/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0008_plain_stove	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	stove	a plain mild steel stove for domestic cookery	This plain stove is formed chiefly from mild steel and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	750	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/stove/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0009_plain_toaster	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	toaster	a plain cast iron toaster for domestic cookery	This plain toaster is formed chiefly from cast iron and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	787	20	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Kitchen and appliances matrix: plain/toaster/domestic/cast iron; priced by industrial_household analogue.	true	
industrialised_kitchen_appliances_0010_plain_mixer	shared-industrialised	Kitchen and appliances	industrial;modern;nuclear;information	mixer	a plain copper mixer for domestic cookery	This plain mixer is formed chiefly from copper and proportioned for domestic cookery. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	824	50	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_kitchen_appliances_0001_plain_scrap	industrial_household	Authored Kitchen and appliances matrix: plain/mixer/domestic/copper; priced by industrial_household analogue.	true	salvage
