unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
preindustrial_jewellery_ring_01,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,ring,a shell carnelian ring,carnelian,Tiny,Standard,20,8,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_signet_ring_02,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,ring,a reed lapis lazuli ring,lapis lazuli,Tiny,VeryGood,27,17,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_pendant_03,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,pendant,a rosette turquoise pendant,turquoise,Tiny,Good,34,26,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_bead_necklace_04,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,necklace,a checker jade necklace,jade,Tiny,Standard,41,35,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_chain_necklace_05,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,necklace,a braided quartz necklace,quartz,Tiny,VeryGood,48,44,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_bracelet_06,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,bracelet,a radiating faience bracelet,faience,Tiny,Good,55,53,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_armlet_07,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,armlet,a leaf-scroll pewter armlet,pewter,Tiny,Standard,62,62,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_anklet_08,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,anklet,a sunburst copper anklet,copper,Tiny,Poor,69,71,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_earrings_09,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,earrings,a water-wave bronze earrings,bronze,Tiny,Standard,76,80,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_brooch_10,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,brooch,a knotted silver brooch,silver,Tiny,Good,83,89,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_pin_11,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,pin,a flower-head gold pin,gold,Tiny,Good,90,98,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_hairpin_12,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,hairpin,a star brass hairpin,brass,Tiny,Standard,20,107,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_circlet_13,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,circlet,a bird glass circlet,glass,Tiny,VeryGood,27,116,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_diadem_14,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,diadem,a vine bone diadem,bone,Tiny,Good,34,125,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_waist_chain_15,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,waist chain,a geometric shell waist chain,shell,Tiny,Standard,41,134,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_belt_ornament_16,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,belt ornament,a cloud ivory belt ornament,ivory,Tiny,Poor,48,143,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_badge_17,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,badge,a shell pearl badge,pearl,Tiny,Standard,55,152,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_temple_ring_18,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,temple ring,a reed amber temple ring,amber,Tiny,Good,62,8,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
