stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_fresh_herb_relish	Shared	Prepared	Condiment	bowl	a bowl of fresh herb relish	Chopped green herbs glisten beneath a sharp, lightly salted dressing.	It tastes grassy, tart, and freshly aromatic.	vegetable	Condiment	Fresh	Good	160	0.62	Universal
preindustrial_food_salted_greens_relish	Shared	Prepared	Condiment	bowl	a bowl of salted greens relish	Finely cut greens have softened into a dark, salty accompaniment.	It tastes mineral, savoury, and pleasantly bitter.	vegetable	Condiment	Fresh	Standard	170	0.54	Universal
preindustrial_food_onion_relish	Shared	Prepared	Condiment	bowl	a bowl of onion relish	Chopped onions sit glossy and translucent in a tart dressing.	Sharp allium gives way to mellow sweetness.	vegetable	Condiment	Fresh	Good	170	0.58	Universal
preindustrial_food_garlic_relish	Shared	Prepared	Condiment	bowl	a bowl of garlic relish	Crushed garlic forms a pale, pungent relish with herbs.	It tastes hot, savoury, and lingeringly sharp.	vegetable	Condiment	Fresh	Good	150	0.62	Universal
preindustrial_food_leek_relish	Shared	Prepared	Condiment	bowl	a bowl of leek relish	Fine leek rings have softened in a bright sour liquor.	Gentle onion sweetness meets refreshing acidity.	vegetable	Condiment	Fresh	Good	170	0.60	RegionalOldWorld
preindustrial_food_cabbage_relish	Shared	Prepared	Condiment	bowl	a bowl of cabbage relish	Salted cabbage shreds retain a crisp bite beneath their dressing.	It tastes tangy, vegetal, and cleanly salty.	vegetable	Condiment	Fresh	Standard	180	0.52	RegionalOldWorld
preindustrial_food_root_relish	Shared	Prepared	Condiment	bowl	a bowl of chopped root relish	Tiny root pieces show several colours in a sharp herb dressing.	Earthy sweetness follows a brisk sour bite.	vegetable	Condiment	Fresh	Good	180	0.58	Universal
preindustrial_food_mushroom_relish	Shared	Prepared	Condiment	bowl	a bowl of mushroom relish	Minced mushrooms make a dark, moist accompaniment flecked with herbs.	It tastes woodsy, tart, and deeply savoury.	vegetable	Condiment	Fresh	Good	170	0.72	RegionalOldWorld
preindustrial_food_fruit_relish	Shared	Prepared	Condiment	bowl	a bowl of tart fruit relish	Chopped firm fruit gleams within a spice-scented sour dressing.	Juicy sweetness ends with aromatic sharpness.	fruit	Condiment	Fresh	Good	170	0.76	Universal
preindustrial_food_dried_fruit_relish	Shared	Prepared	Condiment	bowl	a bowl of dried-fruit relish	Rehydrated fruit pieces form a dark, sticky, spiced relish.	It tastes winey, tart, and concentrated.	fruit	Condiment	Fresh	Good	160	0.82	RegionalOldWorld
preindustrial_food_nut_herb_relish	Shared	Prepared	Condiment	bowl	a bowl of nut-and-herb relish	Crushed nuts give a green herb relish a coarse, oily body.	Roasted richness meets fresh leafy fragrance.	tree nut	Condiment	Fresh	Good	160	0.88	RegionalOldWorld
preindustrial_food_spiced_vegetable_relish	Shared	Prepared	Condiment	bowl	a bowl of spiced vegetable relish	Warm spices stain finely chopped vegetables a deep ochre.	It tastes aromatic, sour, and gently hot.	vegetable	Condiment	Fresh	Good	170	0.82	RegionalOldWorld
preindustrial_food_fermented_vegetable_relish	Shared	Prepared	Condiment	bowl	a bowl of fermented vegetable relish	Bubbles cling to chopped vegetables in their cloudy sour liquor.	It tastes lively, salty, and pleasantly funky.	vegetable	Condiment	Fermented	Good	180	0.70	Universal
preindustrial_food_pickled_fruit_relish	Shared	Prepared	Condiment	bowl	a bowl of pickled fruit relish	Firm fruit morsels sit in a sharp, spice-flecked pickle.	Sourness leads before a muted fruity sweetness.	fruit	Condiment	Preserved	Good	170	0.86	RegionalOldWorld
preindustrial_food_plain_herb_paste	Shared	Prepared	Condiment	bowl	a bowl of smooth herb paste	Pounded fresh herbs form a vivid green, lightly oily paste.	It tastes grassy, fragrant, and faintly bitter.	vegetable	Condiment	Fresh	Good	150	0.70	Universal
