stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_fresh_milk_curds	Shared	Prepared	Dairy	bowl	a bowl of fresh milk curds	Soft white curds float in a little translucent whey.	They taste mild, milky, and gently tart.	cheese	Standard	Fresh	Standard	380	0.72	Universal
preindustrial_food_drained_fresh_curds	Shared	Prepared	Dairy	mound	a mound of drained fresh curds	Fresh curds form a moist white mound after careful draining.	The texture is crumbly with clean dairy sweetness.	cheese	Standard	Fresh	Good	340	0.82	Universal
preindustrial_food_salted_fresh_curds	Shared	Prepared	Dairy	bowl	a bowl of salted fresh curds	Coarse salt crystals glint among loosely broken white curds.	Salinity sharpens their mild, lactic tang.	cheese	Standard	Fresh	Standard	340	0.80	Universal
preindustrial_food_herbed_fresh_curds	Shared	Prepared	Dairy	bowl	a bowl of herb-flecked curds	Chopped green herbs brighten a mound of fresh cheese.	Garden freshness lifts the creamy, tart curds.	cheese	Rich	Fresh	Good	340	1.02	Universal
preindustrial_food_peppered_fresh_curds	Shared	Prepared	Dairy	bowl	a bowl of peppered curds	Black pepper speckles moist curds gathered in an earthen bowl.	Brisk spice follows their gentle milkiness.	cheese	Rich	Fresh	Good	340	1.08	MaritimeTrade
preindustrial_food_honeyed_fresh_curds	Shared	Prepared	Dairy	bowl	a bowl of honeyed curds	Amber honey threads shine across soft fresh cheese.	Floral sweetness meets a clean dairy tang.	cheese	Rich	Fresh	Good	350	1.20	Universal
preindustrial_food_fruit_fresh_curds	Shared	Prepared	Dairy	bowl	a bowl of fruit-studded curds	Chopped ripe fruit colours a mound of pale curds.	Juicy sweetness brightens the creamy cheese.	cheese	Rich	Fresh	Good	370	1.18	Universal
preindustrial_food_nut_fresh_curds	Shared	Prepared	Dairy	bowl	a bowl of nut-strewn curds	Toasted nut fragments scatter across fresh white cheese.	Roasted crunch enriches the milky softness.	cheese	Rich	Fresh	Good	350	1.28	RegionalOldWorld
preindustrial_food_spiced_sweet_curds	Shared	Prepared	Dairy	bowl	a bowl of sweet spiced curds	Warm spice and honey perfume a carefully drained curd.	Aromatic sweetness rounds its mild sourness.	cheese	Rich	Fresh	Good	350	1.30	RegionalOldWorld
preindustrial_food_whey_soused_curds	Shared	Prepared	Dairy	bowl	a bowl of whey-soused curds	Tender curd pieces rest beneath a pale yellow whey.	They taste light, tart, and faintly salty.	cheese	Light	Fresh	Standard	400	0.68	Universal
preindustrial_food_sour_fresh_cheese	Shared	Prepared	Dairy	portion	a portion of sour fresh cheese	A moist cheese round carries the aroma of cultured milk.	Its clean acidity ends with creamy softness.	cheese	Standard	Fresh	Good	300	0.88	Universal
preindustrial_food_pressed_fresh_cheese	Shared	Prepared	Dairy	cheese	a pressed fresh cheese	A small white cheese shows cloth marks from gentle pressing.	It is firm, milky, and lightly salted.	cheese	Standard	Fresh	Good	320	0.95	Universal
preindustrial_food_smoked_fresh_cheese	Shared	Prepared	Dairy	cheese	a smoked fresh cheese	Light brown smoke colours the rind of a moist cheese.	Wood fragrance overlays a mild dairy centre.	cheese	Preserved	Preserved	Good	320	1.16	Universal
preindustrial_food_brined_white_cheese	Shared	Prepared	Dairy	wedge	a wedge of brined white cheese	A crumbly white wedge glistens with preserving brine.	It tastes sharply salty and pleasantly tangy.	cheese	Preserved	Preserved	Good	280	1.12	RegionalOldWorld
preindustrial_food_soft_ripened_cheese	Shared	Prepared	Dairy	portion	a portion of soft ripened cheese	A yielding cheese bulges slightly beneath its pale rind.	The centre tastes buttery, earthy, and ripe.	cheese	Rich	Fermented	Good	260	1.42	European
preindustrial_food_aged_hard_cheese	Shared	Prepared	Dairy	wedge	a wedge of aged hard cheese	A firm golden wedge bears a dry and mottled rind.	It tastes nutty, salty, and deeply matured.	cheese	Preserved	Preserved	Good	240	1.48	RegionalOldWorld
preindustrial_food_extra_aged_cheese	Shared	Prepared	Dairy	shard	a shard of very old cheese	Crystals sparkle through a brittle piece of long-aged cheese.	Sharp savour and caramel nuttiness linger intensely.	cheese	Rich	Preserved	VeryGood	220	1.78	European
preindustrial_food_smoked_hard_cheese	Shared	Prepared	Dairy	wedge	a wedge of smoked hard cheese	Smoke has darkened the rind of a dense yellow cheese.	Salty nuttiness ends with a woody note.	cheese	Preserved	Preserved	Good	240	1.55	RegionalOldWorld
preindustrial_food_herb_crusted_cheese	Shared	Prepared	Dairy	wheel	a wheel of herb-crusted cheese	Dried green herbs form a fragrant coat on this wheel.	The paste is mellow beneath its herbal rind.	cheese	Rich	Fermented	Good	300	1.52	RegionalOldWorld
preindustrial_food_spice_crusted_cheese	Shared	Prepared	Dairy	wheel	a wheel of spice-crusted cheese	Aromatic seeds and pepper cover a compact cheese wheel.	Warm spice sharpens the rich dairy paste.	cheese	Rich	Fermented	Good	300	1.62	RegionalOldWorld
preindustrial_food_wine_washed_cheese	Shared	Prepared	Dairy	wedge	a wedge of washed-rind cheese	A reddish damp rind surrounds this pungent soft cheese.	Fermented sharpness yields to a creamy centre.	cheese	Rich	Fermented	VeryGood	260	1.72	European
preindustrial_food_cheese_in_oil	Shared	Prepared	Dairy	jar	a jar of cheese in oil	Small cheese cubes sit preserved beneath fragrant golden oil.	They taste creamy, salty, and herb-scented.	cheese	Preserved	Preserved	Good	350	1.60	RegionalOldWorld
preindustrial_food_cheese_in_brine	Shared	Prepared	Dairy	jar	a jar of cheese in brine	White cheese blocks crowd a jar of cloudy salt liquor.	The wet pieces are tangy and assertively salty.	cheese	Preserved	Preserved	Standard	360	1.18	RegionalOldWorld
preindustrial_food_dried_cheese_cakes	Shared	Prepared	Preserved	stack	a stack of dried cheese cakes	Small curd cakes have dried firm for pastoral travel.	They are sour, salty, and very chewy.	cheese	Preserved	ShelfStable	Standard	220	1.00	RegionalOldWorld
preindustrial_food_cheese_travel_ration	Shared	Prepared	Preserved	ration	a wrapped cheese travel ration	A hard cheese portion sits tightly wrapped against drying air.	Concentrated salt and nuttiness reward slow chewing.	cheese	Preserved	Preserved	Standard	250	1.15	Universal
preindustrial_food_grated_aged_cheese	Shared	Prepared	Dairy	bowl	a bowl of grated aged cheese	Fine golden crumbs of hard cheese fill a shallow bowl.	They taste sharp, salty, and intensely nutty.	cheese	Condiment	Fresh	Good	120	0.82	RegionalOldWorld
preindustrial_food_melted_cheese_bowl	Shared	Prepared	Dairy	bowl	a bowl of melted cheese	Hot cheese forms glossy strands around a wooden spoon.	It is salty, stretchy, and richly aromatic.	cheese	Rich	Fresh	Good	300	1.42	RegionalOldWorld
preindustrial_food_toasted_cheese_bread	Shared	Prepared	Dairy	slice	a slice of toasted cheese bread	Melted cheese bubbles above a thick, crisp-edged bread slice.	Browned dairy and toast taste warmly savoury.	bread	Rich	Fresh	Good	280	1.12	RegionalOldWorld
preindustrial_food_cheese_and_onion_bake	Shared	Prepared	Dairy	bake	a cheese-and-onion bake	Sweet onions lie beneath a browned cap of melted cheese.	Rich dairy meets deep caramelised allium.	cheese	Rich	Cooked	Good	420	1.38	European
