unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
renaissance_door_common_panel_door_01,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a knotted oak door leaf,oak,Large,Standard,24000,45,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_braced_door_02,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a star pine braced door,pine,Large,Good,25800,56,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lockable_door_03,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a vine cedar lockable door,cedar,Large,Good,27600,67,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_secure_door_04,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a cloud teak secure door,teak,Large,Standard,29400,78,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_shutter_05,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,shutter,a reed wood shuttered opening,wood,Large,VeryGood,31200,89,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_screen_06,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,screen,a checker bamboo screen door,bamboo,Large,Good,33000,100,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lattice_gate_07,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a radiating cedar lattice gate,cedar,VeryLarge,Standard,34800,111,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_courtyard_gate_08,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a sunburst teak courtyard gate,teak,VeryLarge,Poor,36600,122,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_warehouse_gate_09,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a knotted wrought iron warehouse gate,wrought iron,VeryLarge,Standard,38400,133,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_garden_gate_10,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a star bronze garden gate,bronze,VeryLarge,Good,40200,144,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_grille_11,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,grille,a vine wrought iron metal grille,wrought iron,Large,Good,42000,155,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_barrier_12,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,barrier,a cloud bronze barred barrier,bronze,Large,Standard,43800,166,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_hatch_13,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,hatch,a reed cedar service hatch,cedar,Large,VeryGood,45600,177,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_wicket_14,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,wicket,a checker wrought iron wicket gate,wrought iron,Large,Good,47400,188,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_panel_door_15,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a radiating wood door leaf,wood,Large,Standard,49200,199,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_braced_door_16,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a sunburst oak braced door,oak,Large,Poor,51000,210,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lockable_door_17,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a knotted pine lockable door,pine,Large,Standard,52800,221,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_secure_door_18,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a star cedar secure door,cedar,Large,Good,54600,232,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_shutter_19,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,shutter,a vine teak shuttered opening,teak,Large,Good,56400,243,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_screen_20,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,screen,a cloud cedar screen door,cedar,Large,Standard,24000,254,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lattice_gate_21,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a reed oak lattice gate,oak,VeryLarge,VeryGood,25800,265,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
