unique_reference,sdesc,fdesc
medieval_jewellery_common_twisted_copper_ring,a twisted copper ring,"A twisted copper ring is a compact band of warm reddish copper darkened in the recesses, made with a soft twist running around the outside rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. The worked parts of the twisted copper ring are decorative, but none suggest a moving catch or concealed compartment. The twisted copper ring reads as commoner adornment rather than a tool, charm, or container."
medieval_jewellery_common_plain_bone_ring,a plain bone ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale bone burnished by handling forms a steady circle, broken only by a shallow file mark near one edge. The worked parts of the plain bone ring are decorative, but none suggest a moving catch or concealed compartment. The piece would signal simple household taste while remaining straightforward jewellery."
medieval_jewellery_common_horn_bead_bracelet,a horn bead bracelet,"A horn bead bracelet is made to circle a limb, with horn with layered translucent streaks through it providing the visible body of the ornament. The edges are kept low and rounded, and beads of slightly different shade gives the piece a recognisable worked surface. Small handling marks cross the horn bead bracelet unevenly, especially where it would brush cloth or skin. The horn bead bracelet carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_common_wooden_bead_necklace,a wooden bead necklace,"A wooden bead necklace is arranged for the throat or upper chest, where its line of wood would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. The worked parts of the wooden bead necklace are decorative, but none suggest a moving catch or concealed compartment. The wooden bead necklace feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_common_shell_chip_bracelet,a shell chip bracelet,"A shell chip bracelet is made to circle a limb, with pale shell showing irregular growth lines providing the visible body of the ornament. The edges are kept low and rounded, and flat chips drilled close to the edge gives the piece a recognisable worked surface. Close inspection of the shell chip bracelet shows small tool marks rather than cast-perfect smoothness. The shell chip bracelet is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_common_cowrie_shell_anklet,a cowrie shell anklet,"This limb ornament is practical in scale even when it is decorative in intent. Small cowrie shells with smooth backs and pale mouths shows most clearly on the outer face, while the side that rests against the wearer is quieter. Fine wear gathers around the anklet's highest places, leaving smooth shells strung mouth-outward easier to pick out. The cowrie shell anklet reads as commoner adornment rather than a tool, charm, or container."
medieval_jewellery_common_braided_hemp_bracelet,a braided hemp bracelet,"A braided hemp bracelet is made to circle a limb, with coarse hemp cord with small stray fibres providing the visible body of the ornament. The edges are kept low and rounded, and three strands braided with a knotted end gives the piece a recognisable worked surface. Small handling marks cross the braided hemp bracelet unevenly, especially where it would brush cloth or skin. The braided hemp bracelet leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_common_knotted_wool_wristband,a knotted wool wristband,"A knotted wool wristband would show whenever a sleeve, hem, or hand moved aside. The maker has balanced ornament against comfort, keeping the underside smoother than the display face. Close inspection of the knotted wool wristband shows small tool marks rather than cast-perfect smoothness. The knotted wool wristband carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_common_small_wooden_child_ring,a small wooden child ring,"At close range, small wooden child ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. A rounded edge and very small opening draws the eye around the band. Small handling marks cross the small wooden child ring unevenly, especially where it would brush cloth or skin. The small wooden child ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_common_clay_coloured_faience_bead_string,a clay-coloured faience bead string,"A clay-coloured faience bead string carries its value in the rhythm of its material: glazed faience with small pooling marks in the colour. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Fine wear gathers around the necklace's highest places, leaving beads with glaze gathered in small dimples easier to pick out. The clay-coloured faience bead string carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_common_little_shell_child_necklace,a little shell child necklace,"The little shell child necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is pale shell showing irregular growth lines, with small shells spaced on plain cord giving the eye a place to pause. The hidden side of the little shell child necklace is plainer, so attention stays on small shells spaced on plain cord and the visible finish. The piece would signal child or apprentice taste while remaining straightforward jewellery."
medieval_jewellery_common_rush_woven_finger_ring,a rush-woven finger ring,"A rush-woven finger ring is a compact band of rush stems bent and plaited into springy loops, made with a woven overlap tucked beneath the band rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Small handling marks cross the rush-woven finger ring unevenly, especially where it would brush cloth or skin. The piece would signal temporary festival taste while remaining straightforward jewellery."
