StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_logistics_retail_hospitality_0001_plain_waste	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	waste	a plain cotton waste for domestic goods handling	This plain waste is formed chiefly from cotton and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1905	2	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/waste/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0002_plain_crate	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	crate	a plain oak crate for domestic goods handling	This plain crate is formed chiefly from oak and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1942	5	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/crate/domestic/oak; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0003_plain_trolley	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	trolley	a plain mild steel trolley for domestic goods handling	This plain trolley is formed chiefly from mild steel and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1979	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/trolley/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0004_plain_tray	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	tray	a plain paper tray for domestic goods handling	This plain tray is formed chiefly from paper and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2016	20	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/tray/domestic/paper; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0005_plain_counter	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	counter	a plain cotton counter for domestic goods handling	This plain counter is formed chiefly from cotton and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2053	50	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_logistics_retail_hospitality_0001_plain_waste	industrial_household	Authored Logistics, retail and hospitality matrix: plain/counter/domestic/cotton; priced by industrial_household analogue.	true	salvage
industrialised_logistics_retail_hospitality_0006_plain_scale	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	scale	a plain oak scale for domestic goods handling	This plain scale is formed chiefly from oak and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2090	100	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/scale/domestic/oak; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0007_plain_ticket	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	ticket	a plain mild steel ticket for domestic goods handling	This plain ticket is formed chiefly from mild steel and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2127	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/ticket/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0008_plain_basket	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	basket	a plain paper basket for domestic goods handling	This plain basket is formed chiefly from paper and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2164	500	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/basket/domestic/paper; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0009_plain_case	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	case	a plain cotton case for domestic goods handling	This plain case is formed chiefly from cotton and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2201	1	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Logistics, retail and hospitality matrix: plain/case/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_logistics_retail_hospitality_0010_plain_sign	shared-industrialised	Logistics, retail and hospitality	industrial;modern;nuclear;information	sign	a plain oak sign for domestic goods handling	This plain sign is formed chiefly from oak and proportioned for domestic goods handling. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2238	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_logistics_retail_hospitality_0001_plain_waste	industrial_household	Authored Logistics, retail and hospitality matrix: plain/sign/domestic/oak; priced by industrial_household analogue.	true	salvage
