StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_ppe_ballistic_0001_plain_liner	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	liner	a plain mild steel liner for domestic protection	This plain liner is formed chiefly from mild steel and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	289	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Apron		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/liner/domestic/mild steel; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0002_plain_apron	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	apron	a plain leather apron for domestic protection	This plain apron is formed chiefly from leather and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	326	20	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Apron		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/apron/domestic/leather; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0003_plain_gloves	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	gloves	some plain cotton gloves for domestic protection	These plain gloves are formed chiefly from cotton and proportioned for domestic protection. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	363	50	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Gloves		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/gloves/domestic/cotton; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0004_plain_boots	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	boots	some plain wool boots for domestic protection	These plain boots are formed chiefly from wool and proportioned for domestic protection. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	400	100	wool	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Boots		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/boots/domestic/wool; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0005_plain_helmet	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	helmet	a plain mild steel helmet for domestic protection	This plain helmet is formed chiefly from mild steel and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	437	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Hat		portable		0		industrialised_ppe_ballistic_0001_plain_liner	industrial_clothing	Authored PPE and ballistic protection matrix: plain/helmet/domestic/mild steel; priced by industrial_clothing analogue.	true	salvage
industrialised_ppe_ballistic_0006_plain_gaiters	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	gaiters	some plain leather gaiters for domestic protection	These plain gaiters are formed chiefly from leather and proportioned for domestic protection. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	474	500	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Boots		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/gaiters/domestic/leather; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0007_plain_mask	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	mask	a plain cotton mask for domestic protection	This plain mask is formed chiefly from cotton and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	511	1	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Scarf		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/mask/domestic/cotton; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0008_plain_visor	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	visor	a plain wool visor for domestic protection	This plain visor is formed chiefly from wool and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	548	2	wool	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Apron		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/visor/domestic/wool; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0009_plain_vest	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	vest	a plain mild steel vest for domestic protection	This plain vest is formed chiefly from mild steel and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	585	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Vest		portable		0			industrial_clothing	Authored PPE and ballistic protection matrix: plain/vest/domestic/mild steel; priced by industrial_clothing analogue.	true	
industrialised_ppe_ballistic_0010_plain_coat	shared-industrialised	PPE and ballistic protection	industrial;modern;nuclear;information	coat	a plain leather coat for domestic protection	This plain coat is formed chiefly from leather and proportioned for domestic protection. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	622	10	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Wear_Jacket		portable		0		industrialised_ppe_ballistic_0001_plain_liner	industrial_clothing	Authored PPE and ballistic protection matrix: plain/coat/domestic/leather; priced by industrial_clothing analogue.	true	salvage
