unique_reference,sdesc,fdesc
renaissance_jewellery_common_ring_01,a cloud carnelian ring,The carnelian ring is worked into a cloud pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_signet_ring_02,a shell lapis lazuli ring,The lapis lazuli ring is worked into a shell pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_pendant_03,a reed turquoise pendant,The turquoise pendant is worked into a reed pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_bead_necklace_04,a rosette jade necklace,The jade necklace is worked into a rosette pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_chain_necklace_05,a checker quartz necklace,The quartz necklace is worked into a checker pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_bracelet_06,a braided faience bracelet,The faience bracelet is worked into a braided pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_armlet_07,a radiating pewter armlet,The pewter armlet is worked into a radiating pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_anklet_08,a leaf-scroll copper anklet,The copper anklet is worked into a leaf-scroll pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_earrings_09,a sunburst bronze earrings,The bronze earrings is worked into a sunburst pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_brooch_10,a water-wave silver brooch,The silver brooch is worked into a water-wave pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_pin_11,a knotted gold pin,The gold pin is worked into a knotted pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_hairpin_12,a flower-head brass hairpin,The brass hairpin is worked into a flower-head pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_circlet_13,a star glass circlet,The glass circlet is worked into a star pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_diadem_14,a bird bone diadem,The bone diadem is worked into a bird pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_waist_chain_15,a vine shell waist chain,The shell waist chain is worked into a vine pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_belt_ornament_16,a geometric ivory belt ornament,The ivory belt ornament is worked into a geometric pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
renaissance_jewellery_common_badge_17,a cloud pearl badge,The pearl badge is worked into a cloud pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
