StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_sports_recreation_music_0001_plain_scrap	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	scrap	a plain leather scrap for domestic recreation	This plain scrap is formed chiefly from leather and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2107	10	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/scrap/domestic/leather; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0002_plain_ball	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	ball	a plain cotton ball for domestic recreation	This plain ball is formed chiefly from cotton and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2144	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/ball/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0003_plain_bat	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	bat	a plain mild steel bat for domestic recreation	This plain bat is formed chiefly from mild steel and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2181	50	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/bat/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0004_plain_racket	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	racket	a plain oak racket for domestic recreation	This plain racket is formed chiefly from oak and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2218	100	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/racket/domestic/oak; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0005_plain_club	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	club	a plain leather club for domestic recreation	This plain club is formed chiefly from leather and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2255	200	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_sports_recreation_music_0001_plain_scrap	industrial_household	Authored Sports, recreation and music matrix: plain/club/domestic/leather; priced by industrial_household analogue.	true	salvage
industrialised_sports_recreation_music_0006_plain_drum	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	drum	a plain cotton drum for domestic recreation	This plain drum is formed chiefly from cotton and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2292	500	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/drum/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0007_plain_flute	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	flute	a plain mild steel flute for domestic recreation	This plain flute is formed chiefly from mild steel and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2329	1	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/flute/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0008_plain_board	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	board	a plain oak board for domestic recreation	This plain board is formed chiefly from oak and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2366	2	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/board/domestic/oak; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0009_plain_counter	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	counter	a plain leather counter for domestic recreation	This plain counter is formed chiefly from leather and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2403	5	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: plain/counter/domestic/leather; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0010_plain_skate	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	skate	a plain cotton skate for domestic recreation	This plain skate is formed chiefly from cotton and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2440	10	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_sports_recreation_music_0001_plain_scrap	industrial_household	Authored Sports, recreation and music matrix: plain/skate/domestic/cotton; priced by industrial_household analogue.	true	salvage
industrialised_sports_recreation_music_0011_reinforced_scrap	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	scrap	a reinforced mild steel scrap for domestic recreation	This reinforced scrap is formed chiefly from mild steel and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2477	20	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: reinforced/scrap/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0012_reinforced_ball	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	ball	a reinforced oak ball for domestic recreation	This reinforced ball is formed chiefly from oak and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2514	50	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: reinforced/ball/domestic/oak; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0013_reinforced_bat	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	bat	a reinforced leather bat for domestic recreation	This reinforced bat is formed chiefly from leather and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2551	100	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: reinforced/bat/domestic/leather; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0014_reinforced_racket	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	racket	a reinforced cotton racket for domestic recreation	This reinforced racket is formed chiefly from cotton and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2588	200	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: reinforced/racket/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_sports_recreation_music_0015_reinforced_club	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	club	a reinforced mild steel club for domestic recreation	This reinforced club is formed chiefly from mild steel and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2625	500	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_sports_recreation_music_0001_plain_scrap	industrial_household	Authored Sports, recreation and music matrix: reinforced/club/domestic/mild steel; priced by industrial_household analogue.	true	salvage
industrialised_sports_recreation_music_0016_reinforced_drum	shared-industrialised	Sports, recreation and music	industrial;modern;nuclear;information	drum	a reinforced oak drum for domestic recreation	This reinforced drum is formed chiefly from oak and proportioned for domestic recreation. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2662	1	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Sports, recreation and music matrix: reinforced/drum/domestic/oak; priced by industrial_household analogue.	true	
