stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_hearth_wheat_loaf	Shared	Prepared	Bread	loaf	a round hearth-baked wheat loaf	A flour-dusted round loaf bears a dark seam where its crust opened beside the hearth.	The springy crumb tastes gently wheaten beneath a smoky crust.	bread	Staple	Bread	Standard	600	7	Universal
preindustrial_food_brown_barley_loaf	Shared	Prepared	Bread	loaf	a squat brown barley loaf	This low heavy loaf has a pebbled brown crust and close greyish crumb.	Roasted barley gives it an earthy sweetness and faint bitterness.	barley	Staple	Bread	Standard	650	5	RegionalOldWorld
preindustrial_food_rustic_rye_loaf	Shared	Prepared	Bread	loaf	a dark rustic rye loaf	A broad dark loaf shows a cracked crust, blunt ends, and a moist dense centre.	Its sour rye depth finishes with the flavour of toasted grain.	rye	Staple	Bread	Standard	700	6	European
preindustrial_food_oaten_pan_loaf	Shared	Prepared	Bread	loaf	a pale oaten pan loaf	Pale oat dough has baked into a tender rectangular loaf with softly rounded shoulders.	The crumb is mild, nutty, and a little creamy on the tongue.	oat	Staple	Bread	Standard	550	6	RegionalOldWorld
preindustrial_food_millet_hearth_loaf	Shared	Prepared	Bread	loaf	a golden millet hearth loaf	A golden, compact loaf carries scattered millet specks beneath its firm baked shell.	Sweet millet and a warm toasted note make a clean, simple mouthful.	millet	Staple	Bread	Standard	500	5	Universal
preindustrial_food_sorghum_round_loaf	Shared	Prepared	Bread	loaf	a russet sorghum round	A russet round of sorghum bread has a rough top and sturdy, slightly crumbly interior.	The grain tastes mellow and faintly grassy with a dry finish.	sorghum	Staple	Bread	Standard	520	5	SubSaharanAfrican
preindustrial_food_mixed_grain_cottage_loaf	Shared	Prepared	Bread	loaf	a mixed-grain cottage loaf	Two uneven tiers of mixed-grain dough have fused into a floury cottage-shaped loaf.	Several grains mingle in a robust, nutty crumb with caramelised edges.	bread	Staple	Bread	Good	750	9	European
preindustrial_food_coarse_maslin_loaf	Shared	Prepared	Bread	loaf	a coarse maslin loaf	Wheat and rye form a workaday loaf whose thick crust encloses a coarse tan crumb.	It balances wheat softness against rye tang and husky grain.	bread	Staple	Bread	Standard	700	6	European
preindustrial_food_white_sieved_loaf	Shared	Prepared	Bread	loaf	a fine white sieved loaf	Carefully sifted flour has produced a high pale loaf with a delicate amber crust.	Light, clean wheat flavour yields to a subtly sweet finish.	wheat	Staple	Bread	Good	500	12	Universal
preindustrial_food_branded_bread_loaf	Shared	Prepared	Bread	loaf	a bran-flecked bread loaf	Visible flakes of bran stipple this honest oval loaf from crust to crumb.	Its hearty huskiness is softened by warm baked-wheat sweetness.	bread	Staple	Bread	Standard	680	6	Universal
preindustrial_food_seeded_grain_loaf	Shared	Prepared	Bread	loaf	a seed-crusted grain loaf	A burnished loaf is thickly freckled with tiny toasted grains pressed into the crust.	Crunchy seeds lend a savoury nuttiness to the yielding crumb.	bread	Staple	Bread	Good	620	10	Universal
preindustrial_food_salted_travellers_loaf	Shared	Prepared	Bread	loaf	a firm salted traveller's loaf	This elongated travel loaf has been baked firm enough to survive a crowded pack.	Salty crust and dense grain leave a pleasantly chewy, sustaining taste.	bread	Preserved	Dry	Standard	450	7	Universal
preindustrial_food_soft_milk_bread	Shared	Prepared	Bread	loaf	a soft enriched milk bread	A plump glossy loaf tears into downy strands around a tender ivory centre.	Rich dairy sweetness rounds the mild wheat and browned top.	bread	Rich	Bread	Good	520	14	Universal
preindustrial_food_egg_glazed_festival_loaf	Shared	Prepared	Bread	loaf	an egg-glazed festival loaf	A braided feast loaf shines under a deep gold glaze, each strand baked distinctly.	Eggy richness and sweet grain sit beneath a delicate toasted sheen.	bread	Feast	Bread	VeryGood	800	22	Universal
preindustrial_food_honeyed_celebration_loaf	Shared	Prepared	Bread	loaf	a honeyed celebration loaf	This tall ceremonial loaf bears a lacquered brown crown and a feathery interior.	Honey perfumes the buttery-tasting crumb without overwhelming its grain.	bread	Feast	Bread	VeryGood	750	24	SugarTrade
preindustrial_food_onion_folded_loaf	Shared	Prepared	Bread	loaf	an onion-folded hearth loaf	Soft browned onion has been folded through a broad loaf scored in a leaf pattern.	Sweet onion pockets sharpen an otherwise mellow, savoury bread.	bread	Staple	Bread	Good	650	11	Universal
preindustrial_food_herbed_garden_loaf	Shared	Prepared	Bread	loaf	a garden-herb loaf	Small green herb fragments mark the cream crumb of this fragrant oblong bread.	Fresh herbal notes brighten the warm wheat and crisp salted crust.	bread	Staple	Bread	Good	580	10	Universal
preindustrial_food_garlic_crusted_loaf	Shared	Prepared	Bread	loaf	a garlic-crusted loaf	Crushed garlic browns across the ridged surface of a substantial hearth loaf.	Pungent roasted garlic mellows into a deep savoury sweetness.	bread	Staple	Bread	Good	600	11	Universal
preindustrial_food_cheese_capped_loaf	Shared	Prepared	Bread	loaf	a cheese-capped loaf	A blistered cap of baked cheese clings to a soft round loaf beneath.	Salty browned cheese enriches every bite of the mild crumb.	bread	Rich	Bread	Good	650	16	Universal
preindustrial_food_dripping_basted_loaf	Shared	Prepared	Bread	loaf	a dripping-basted loaf	Savoury fat has glazed this humble loaf, leaving its scored crust dark and shining.	The crust tastes meaty and rich while the centre remains plain and wheaten.	bread	Rich	Bread	Good	620	13	RegionalOldWorld
preindustrial_food_beer_barm_loaf	Shared	Prepared	Bread	loaf	a risen barm loaf	Brewing barm has raised this floury loaf into a loose, irregular dome.	A yeasty aroma accompanies its airy crumb and lightly bitter crust.	bread	Staple	Bread	Standard	650	8	European
preindustrial_food_sour_starter_loaf	Shared	Prepared	Bread	loaf	a tangy starter loaf	A naturally leavened boule has a blistered shell and springy, open-pored crumb.	Brisk fermentation tang gives way to toasted wheat and gentle acidity.	bread	Staple	Bread	Good	700	10	Universal
preindustrial_food_overnight_sour_rye	Shared	Prepared	Bread	loaf	an overnight sour rye loaf	Long fermentation has darkened this heavy rye bread and left fine cracks around its rim.	Pronounced sourness meets malty rye with a lingering mineral edge.	rye	Staple	Bread	Good	800	9	European
preindustrial_food_sprouted_grain_loaf	Shared	Prepared	Bread	loaf	a sprouted-grain loaf	Crushed sprouted kernels create a damp, dark-flecked loaf with a rugged crust.	Natural malt sweetness mingles with earthy grain and toasted shoots.	bread	Staple	Bread	Good	650	10	Universal
preindustrial_food_cracked_wheat_loaf	Shared	Prepared	Bread	loaf	a cracked-wheat loaf	Coarsely broken wheat kernels stud a chewy loaf baked to a chestnut brown.	Each kernel adds nutty bursts to the soft, savoury crumb.	wheat	Staple	Bread	Standard	700	8	Universal
