StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_agriculture_forestry_fishing_0001_plain_scrap	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	scrap	a plain cotton scrap for domestic husbandry	This plain scrap is formed chiefly from cotton and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1804	1	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/scrap/domestic/cotton; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0002_plain_hoe	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	hoe	a plain leather hoe for domestic husbandry	This plain hoe is formed chiefly from leather and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1841	2	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/hoe/domestic/leather; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0003_plain_rake	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	rake	a plain mild steel rake for domestic husbandry	This plain rake is formed chiefly from mild steel and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1878	5	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/rake/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0004_plain_fork	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	fork	a plain oak fork for domestic husbandry	This plain fork is formed chiefly from oak and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1915	10	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/fork/domestic/oak; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0005_plain_spade	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	spade	a plain cotton spade for domestic husbandry	This plain spade is formed chiefly from cotton and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1952	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_agriculture_forestry_fishing_0001_plain_scrap	industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/spade/domestic/cotton; priced by industrial_tools analogue.	true	salvage
industrialised_agriculture_forestry_fishing_0006_plain_shears	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	shears	some plain leather shears for domestic husbandry	These plain shears are formed chiefly from leather and proportioned for domestic husbandry. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	1989	50	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/shears/domestic/leather; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0007_plain_net	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	net	a plain mild steel net for domestic husbandry	This plain net is formed chiefly from mild steel and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2026	100	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/net/domestic/mild steel; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0008_plain_trap	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	trap	a plain oak trap for domestic husbandry	This plain trap is formed chiefly from oak and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2063	200	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/trap/domestic/oak; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0009_plain_basket	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	basket	a plain cotton basket for domestic husbandry	This plain basket is formed chiefly from cotton and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2100	500	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/basket/domestic/cotton; priced by industrial_tools analogue.	true	
industrialised_agriculture_forestry_fishing_0010_plain_yoke	shared-industrialised	Agriculture, forestry and fishing	industrial;modern;nuclear;information	yoke	a plain leather yoke for domestic husbandry	This plain yoke is formed chiefly from leather and proportioned for domestic husbandry. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2137	1	leather	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_agriculture_forestry_fishing_0001_plain_scrap	industrial_tools	Authored Agriculture, forestry and fishing matrix: plain/yoke/domestic/leather; priced by industrial_tools analogue.	true	salvage
