stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_plain_boiled_beef	Shared	Prepared	Meat	beef	a plate of plain boiled beef	Thick beef slices lie moist from a long simmer in salted water.	The meat tastes mild, brothy, and gently savoury.	meat	Hearty	Cooked	Standard	420	1.20	Universal
preindustrial_food_plain_boiled_mutton	Shared	Prepared	Meat	mutton	a plate of plain boiled mutton	Soft grey-brown mutton has been cut generously across the grain.	Rich sheep fat carries a mellow pastoral flavour.	meat	Hearty	Cooked	Standard	420	1.10	Universal
preindustrial_food_plain_boiled_pork	Shared	Prepared	Meat	pork	a plate of plain boiled pork	Pale pork pieces glisten with cooking liquor and translucent fat.	It is tender, fatty, and quietly salted.	meat	Hearty	Cooked	Standard	420	1.12	Universal
preindustrial_food_boiled_goat	Shared	Prepared	Meat	goat	a bowl of boiled goat	Lean goat chunks crowd a bowl beneath a little clear broth.	The firm meat is earthy, savoury, and clean.	meat	Hearty	Cooked	Standard	430	1.00	Universal
preindustrial_food_boiled_venison	Shared	Prepared	Meat	venison	a plate of boiled venison	Dark venison slices retain a close grain after careful simmering.	Woodsy lean meat finishes with mineral depth.	meat	Hearty	Cooked	Good	400	1.45	Universal
preindustrial_food_boiled_rabbit	Shared	Prepared	Meat	rabbit	a plate of boiled rabbit	Pale rabbit joints sit neatly dressed with their own light liquor.	The flesh is delicate, lean, and faintly sweet.	meat	Hearty	Cooked	Good	390	1.25	Universal
preindustrial_food_boiled_hare	Shared	Prepared	Meat	hare	a bowl of simmered hare	Long cooking has softened dark hare meat around small bones.	It tastes gamey, iron-rich, and deeply brothy.	meat	Hearty	Cooked	Standard	410	1.20	Universal
preindustrial_food_boiled_boar	Shared	Prepared	Meat	boar	a plate of boiled boar	Coarse wild boar meat rests beneath a sheen of rendered fat.	The flavour is nutty, gamey, and robust.	meat	Hearty	Cooked	Good	420	1.50	Universal
preindustrial_food_salted_beef_pot	Shared	Prepared	Meat	beefpot	a pot of salted beef	Brined beef has simmered until its fibres part beneath a spoon.	Salty meatiness lingers with a cured tang.	meat	Preserved	Cooked	Standard	450	1.18	Universal
preindustrial_food_salted_pork_pot	Shared	Prepared	Meat	porkpot	a pot of salted pork	Chunks of cured pork and soft fat fill this workaday pot.	It tastes strongly salted, fatty, and sustaining.	meat	Preserved	Cooked	Standard	450	1.10	Universal
preindustrial_food_herbed_boiled_meat	Shared	Prepared	Meat	herbmeat	a dish of herb-boiled meat	Fresh leaves cling to mixed meat cuts lifted from aromatic liquor.	Green herbs lighten the rich boiled-meat savour.	meat	Hearty	Cooked	Good	430	1.25	Universal
preindustrial_food_onion_boiled_meat	Shared	Prepared	Meat	onionmeat	a bowl of meat boiled with onions	Collapsed onions form a sweet bed beneath tender boiled meat.	Soft allium sweetness rounds the savoury flesh.	meat	Hearty	Cooked	Good	450	1.30	Universal
preindustrial_food_garlic_simmered_meat	Shared	Prepared	Meat	garlicmeat	a dish of garlic-simmered meat	Whole softened garlic cloves nestle between dark simmered pieces.	Pungent sweetness penetrates the tender meat.	meat	Hearty	Cooked	Good	430	1.32	Universal
preindustrial_food_leek_braised_meat	Shared	Prepared	Meat	leekbraise	a bowl of leek-braised meat	Pale leek ribbons wind through meat glazed by reduced broth.	The dish is sweetly vegetal and richly savoury.	meat	Hearty	Cooked	Good	450	1.38	RegionalOldWorld
preindustrial_food_cabbage_braised_meat	Shared	Prepared	Meat	cabbagebraise	a bowl of meat braised with cabbage	Cabbage leaves have caught the juices of slowly braised meat.	Sweet brassica and fatty meat mingle warmly.	meat	Hearty	Cooked	Standard	480	1.08	RegionalOldWorld
preindustrial_food_turnip_braised_meat	Shared	Prepared	Meat	turnipbraise	a bowl of turnip-braised meat	Soft white turnip chunks share a brown liquor with meat.	Earthy roots temper the rich, salty gravy.	meat	Hearty	Cooked	Standard	480	1.12	RegionalOldWorld
preindustrial_food_root_braised_meat	Shared	Prepared	Meat	rootbraise	a bowl of root-braised meat	Several diced roots colour the thickened juices around tender meat.	Caramelised earthiness supports a deep meat flavour.	meat	Hearty	Cooked	Good	490	1.30	Universal
preindustrial_food_mushroom_braised_meat	Shared	Prepared	Meat	mushroombraise	a bowl of mushroom-braised meat	Brown mushrooms darken the glossy gravy coating each meat slice.	Woodland savour makes the flesh taste fuller.	meat	Rich	Cooked	Good	460	1.55	RegionalOldWorld
preindustrial_food_ale_braised_beef	Shared	Prepared	Meat	alebeef	a crock of ale-braised beef	Dark malt liquor has reduced around collapsing pieces of beef.	Bittersweet malt deepens the beefy richness.	meat	Rich	Cooked	Good	460	1.62	RegionalOldWorld
preindustrial_food_wine_braised_mutton	Shared	Prepared	Meat	winemutton	a dish of wine-braised mutton	Wine-darkened juices gleam across tender slices of fatty mutton.	Vinous tartness cuts through the sheep-fat richness.	meat	Rich	Cooked	Good	450	1.78	European
