StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_household_furniture_storage_0001_plain_scrap	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	scrap	a plain mild steel scrap for domestic furnishing	This plain scrap is formed chiefly from mild steel and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	390	20	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/scrap/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0002_plain_chair	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	chair	a plain cast iron chair for domestic furnishing	This plain chair is formed chiefly from cast iron and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	427	50	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/chair/domestic/cast iron; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0003_plain_stool	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	stool	a plain oak stool for domestic furnishing	This plain stool is formed chiefly from oak and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	464	100	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/stool/domestic/oak; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0004_plain_table	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	table	a plain mild steel table for domestic furnishing	This plain table is formed chiefly from mild steel and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	501	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/table/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0005_plain_cabinet	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	cabinet	a plain cast iron cabinet for domestic furnishing	This plain cabinet is formed chiefly from cast iron and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	538	500	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_household_furniture_storage_0001_plain_scrap	industrial_household	Authored Household furniture and storage matrix: plain/cabinet/domestic/cast iron; priced by industrial_household analogue.	true	salvage
industrialised_household_furniture_storage_0006_plain_shelf	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	shelf	a plain oak shelf for domestic furnishing	This plain shelf is formed chiefly from oak and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	575	1	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/shelf/domestic/oak; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0007_plain_bedstead	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	bedstead	a plain mild steel bedstead for domestic furnishing	This plain bedstead is formed chiefly from mild steel and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	612	2	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/bedstead/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0008_plain_washstand	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	washstand	a plain cast iron washstand for domestic furnishing	This plain washstand is formed chiefly from cast iron and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	649	5	cast iron	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/washstand/domestic/cast iron; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0009_plain_screen	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	screen	a plain oak screen for domestic furnishing	This plain screen is formed chiefly from oak and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	686	10	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Household furniture and storage matrix: plain/screen/domestic/oak; priced by industrial_household analogue.	true	
industrialised_household_furniture_storage_0010_plain_rack	shared-industrialised	Household furniture and storage	industrial;modern;nuclear;information	rack	a plain mild steel rack for domestic furnishing	This plain rack is formed chiefly from mild steel and proportioned for domestic furnishing. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	723	20	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_household_furniture_storage_0001_plain_scrap	industrial_household	Authored Household furniture and storage matrix: plain/rack/domestic/mild steel; priced by industrial_household analogue.	true	salvage
