stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
preindustrial_food_clear_bone_broth	Shared	Broth	clear bone broth	clear golden bone broth	A clear golden stock carries tiny beads of marrow fat across its surface.	It tastes cleanly meaty, salty, and gently gelatinous.	Its aroma is warm bone, marrow, and steam.	yellow	0	.95	1.50	1	Universal
preindustrial_food_roasted_bone_stock	Shared	Broth	roasted bone stock	dark roasted bone stock	Deep brown stock shows the colour of bones browned before their long simmer.	Roast savour and marrow richness finish faintly smoky.	It smells of browned bones and hearth smoke.	bold yellow	0	.90	2	1	Universal
preindustrial_food_beef_stock	Shared	Broth	beef cooking stock	rich brown beef stock	A robust brown stock gleams with dissolved juices and sparse golden fat.	It tastes deeply beefy with pepper and clean salt.	Roasted beef and warm onion scent the liquor.	bold yellow	0	.90	2	1	Universal
preindustrial_food_mutton_stock	Shared	Broth	mutton cooking stock	fat-rich mutton stock	Amber mutton stock bears round droplets of pale sheep fat on top.	It is pastoral, savoury, and distinctly rich.	The steam carries mutton fat and mild herbs.	yellow	0	.90	2	1	Universal
preindustrial_food_pork_stock	Shared	Broth	pork cooking stock	pale savoury pork stock	This pale stock has a soft haze and a sweet aroma from simmered pork.	Gentle meat sweetness meets salt and rendered fat.	It smells of pork, softened onion, and steam.	white	0	.90	2	1	Universal
preindustrial_food_fowl_stock	Shared	Broth	fowl cooking stock	clear golden fowl stock	A bright gold stock holds minute droplets of poultry fat and herb flecks.	The flavour is light, savoury, and softly fatty.	Cooked fowl and garden herbs rise in its steam.	bold yellow	0	.95	1.50	1	Universal
preindustrial_food_game_stock	Shared	Broth	game cooking stock	dark fragrant game stock	Wild meat and bones give this clear stock a dark amber-brown hue.	It tastes gamey, mineral, and warmly aromatic.	The scent recalls roast game and woodland herbs.	bold yellow	0	.90	2	1	Universal
preindustrial_food_fish_stock	Shared	Broth	fish cooking stock	pale clear fish stock	A nearly clear fish stock shows a pearly sheen and tiny herb fragments.	Delicate brine and fish sweetness end cleanly.	It smells lightly marine, herbal, and fresh.	white	0	.95	1	1	MaritimeTrade
preindustrial_food_shellfish_stock	Shared	Broth	shellfish cooking stock	peach-gold shellfish stock	Shells have coloured this translucent stock a warm peach-gold.	It tastes sweetly briny with a mineral finish.	The aroma suggests warm shells and clean sea air.	orange	0	.95	1	1	MaritimeTrade
preindustrial_food_mushroom_stock	Shared	Broth	mushroom cooking stock	clear brown mushroom stock	A clear brown liquor holds the concentrated colour of simmered mushrooms.	Woodsy savour gives way to pepper and herbs.	It smells earthy, damp, and gently roasted.	bold yellow	0	.95	.50	1	RegionalOldWorld
preindustrial_food_root_vegetable_stock	Shared	Broth	root vegetable stock	golden root vegetable stock	Mixed roots lend a translucent golden colour and mild natural sweetness.	It tastes earthy, sweet, and lightly salted.	Warm roots and green herbs scent the steam.	yellow	0	.95	.50	1	Universal
preindustrial_food_green_vegetable_stock	Shared	Broth	green vegetable stock	pale green vegetable stock	Leafy trimmings tint this clear vegetable stock a subdued green.	It tastes fresh, mineral, and faintly bitter.	The aroma is leafy, clean, and herbaceous.	green	0	.95	.50	1	Universal
preindustrial_food_onion_stock	Shared	Broth	onion cooking stock	clear amber onion stock	Long-simmered onions leave this strained liquor clear and warm amber.	Deep allium sweetness balances a savoury saltiness.	It smells of softened onions and gentle caramel.	yellow	0	.95	.50	1	Universal
preindustrial_food_garlic_broth_liquid	Shared	Broth	garlic cooking broth	pale aromatic garlic broth	Crushed garlic gives this clear broth a slight ivory cloudiness.	It tastes warmly pungent, savoury, and clean.	Soft garlic and herbs dominate its aroma.	white	0	.95	.50	1	Universal
preindustrial_food_herb_broth_liquid	Shared	Broth	fresh herb broth	green-flecked clear herb broth	Chopped leaves drift through clear stock tinted faintly green.	Fresh aromatics lead over restrained savour and salt.	It smells grassy, leafy, and newly crushed.	green	0	.95	.25	1	Universal
preindustrial_food_grain_cooking_broth	Shared	Broth	grain cooking broth	cloudy beige grain broth	Starch from boiled grain gives this broth a cloudy beige body.	It tastes mild, cereal-sweet, and gently savoury.	Warm grain and faint malt scent the liquid.	white	0	.95	1	1	Universal
preindustrial_food_pulse_cooking_broth	Shared	Broth	pulse cooking broth	cloudy tan pulse broth	Cooked pulses leave this strained broth tan and softly opaque.	It tastes earthy, starchy, and modestly salted.	The smell is nutty, warm, and bean-like.	bold yellow	0	.95	1	1	Universal
preindustrial_food_spiced_meat_broth	Shared	Broth	spiced meat broth	aromatic brown meat broth	Ground and whole spices perfume a brown stock with a glossy surface.	Warm spice unfolds over concentrated meat savour.	It smells peppery, meaty, and richly aromatic.	bold yellow	0	.90	2	1	RegionalOldWorld
preindustrial_food_sour_herb_broth	Shared	Broth	sour herb broth	sharp green-flecked broth	A tarting ingredient brightens this clear broth scattered with fresh herbs.	Clean acidity wakes a leafy, lightly savoury base.	It smells sharp, herbal, and appetisingly fresh.	green	0	.95	.25	1	RegionalOldWorld
