RecordKind	StableReference	SourceFile	SourceLine	PhysicalKind	Family	Admissions	ConsumerOrIngredient	MaterialOrLiquid	Components	Tags	Nutrition	Dietary	Freshness	Health	ProductionRoute	FailureFamily	Evidence	ServingParticipation	ReviewState	Validation	CatalogueSourceSha256
concept	industrialised_food_staples_001	Food/concepts.tsv	2	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_001	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_001	failure_food_unusable	evidence_staples	industrial_food_serving_factory_breakfast	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_002	Food/concepts.tsv	3	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_002	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_002	failure_food_unusable	evidence_staples	industrial_food_serving_prison_standard	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_003	Food/concepts.tsv	4	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_003	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_003	failure_food_unusable	evidence_staples	modern_food_serving_canteen_vegetarian	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_004	Food/concepts.tsv	5	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_004	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_004	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_005	Food/concepts.tsv	6	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_005	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_005	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_006	Food/concepts.tsv	7	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_006	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_006	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_007	Food/concepts.tsv	8	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_007	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_007	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_008	Food/concepts.tsv	9	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_008	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_008	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_009	Food/concepts.tsv	10	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_009	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_009	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_staples_010	Food/concepts.tsv	11	Item	staples	industrial;modern;nuclear;information	ingredient_industrialised_food_staples_010	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrialised_food_staples_010	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrial_food_staples_001	Food/concepts.tsv	12	Item	staples	industrial	ingredient_industrial_food_staples_001	food	PreparedFood	Food and Drink;Era / Industrial Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrial_food_staples_001	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrial_food_staples_002	Food/concepts.tsv	13	Item	staples	industrial	ingredient_industrial_food_staples_002	food	PreparedFood	Food and Drink;Era / Industrial Era	nutrition_staples	dietary_staples	freshness_shelf		route_industrial_food_staples_002	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	modern_food_staples_001	Food/concepts.tsv	14	Item	staples	modern	ingredient_modern_food_staples_001	food	PreparedFood	Food and Drink;Era / Modern Era	nutrition_staples	dietary_staples	freshness_shelf		route_modern_food_staples_001	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	modern_food_staples_002	Food/concepts.tsv	15	Item	staples	modern	ingredient_modern_food_staples_002	food	PreparedFood	Food and Drink;Era / Modern Era	nutrition_staples	dietary_staples	freshness_shelf		route_modern_food_staples_002	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	modern_food_staples_003	Food/concepts.tsv	16	Item	staples	modern	ingredient_modern_food_staples_003	food	PreparedFood	Food and Drink;Era / Modern Era	nutrition_staples	dietary_staples	freshness_shelf		route_modern_food_staples_003	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	nuclear_food_staples_001	Food/concepts.tsv	17	Item	staples	nuclear	ingredient_nuclear_food_staples_001	food	PreparedFood	Food and Drink;Era / Nuclear Era	nutrition_staples	dietary_staples	freshness_shelf		route_nuclear_food_staples_001	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	information_food_staples_001	Food/concepts.tsv	18	Item	staples	information	ingredient_information_food_staples_001	food	PreparedFood	Food and Drink;Era / Information Age Era	nutrition_staples	dietary_staples	freshness_shelf		route_information_food_staples_001	failure_food_unusable	evidence_staples		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_001	Food/concepts.tsv	19	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_001	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_001	failure_food_unusable	evidence_baking	industrial_food_serving_mill_lunch	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_002	Food/concepts.tsv	20	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_002	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_002	failure_food_unusable	evidence_baking	industrial_food_serving_mine_shift	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_003	Food/concepts.tsv	21	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_003	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_003	failure_food_unusable	evidence_baking	industrial_food_serving_religious_fast	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_004	Food/concepts.tsv	22	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_004	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_004	failure_food_unusable	evidence_baking	industrial_food_serving_urban_cafe	DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_005	Food/concepts.tsv	23	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_005	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_005	failure_food_unusable	evidence_baking		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_006	Food/concepts.tsv	24	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_006	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_006	failure_food_unusable	evidence_baking		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_007	Food/concepts.tsv	25	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_007	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_007	failure_food_unusable	evidence_baking		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_008	Food/concepts.tsv	26	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_008	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_008	failure_food_unusable	evidence_baking		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
concept	industrialised_food_baking_009	Food/concepts.tsv	27	Item	baking	industrial;modern;nuclear;information	ingredient_industrialised_food_baking_009	food	PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_009	failure_food_unusable	evidence_baking		DependencyReviewed	dependency-graph-resolved;content-unreviewed	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
