unique_reference,sdesc,fdesc
preindustrial_jewellery_ring_01,a shell carnelian ring,The carnelian ring is worked into a shell pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_signet_ring_02,a reed lapis lazuli ring,The lapis lazuli ring is worked into a reed pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_pendant_03,a rosette turquoise pendant,The turquoise pendant is worked into a rosette pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_bead_necklace_04,a checker jade necklace,The jade necklace is worked into a checker pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_chain_necklace_05,a braided quartz necklace,The quartz necklace is worked into a braided pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_bracelet_06,a radiating faience bracelet,The faience bracelet is worked into a radiating pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_armlet_07,a leaf-scroll pewter armlet,The pewter armlet is worked into a leaf-scroll pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_anklet_08,a sunburst copper anklet,The copper anklet is worked into a sunburst pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_earrings_09,a water-wave bronze earrings,The bronze earrings is worked into a water-wave pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_brooch_10,a knotted silver brooch,The silver brooch is worked into a knotted pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_pin_11,a flower-head gold pin,The gold pin is worked into a flower-head pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_hairpin_12,a star brass hairpin,The brass hairpin is worked into a star pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_circlet_13,a bird glass circlet,The glass circlet is worked into a bird pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_diadem_14,a vine bone diadem,The bone diadem is worked into a vine pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_waist_chain_15,a geometric shell waist chain,The shell waist chain is worked into a geometric pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_belt_ornament_16,a cloud ivory belt ornament,The ivory belt ornament is worked into a cloud pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_badge_17,a shell pearl badge,The pearl badge is worked into a shell pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_temple_ring_18,a reed amber temple ring,The amber temple ring is worked into a reed pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_torc_19,a rosette coral torc,The coral torc is worked into a rosette pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_wreath_20,a checker garnet wreath,The garnet wreath is worked into a checker pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_ring_21,a braided agate ring,The agate ring is worked into a braided pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_signet_ring_22,a radiating carnelian ring,The carnelian ring is worked into a radiating pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_pendant_23,a leaf-scroll lapis lazuli pendant,The lapis lazuli pendant is worked into a leaf-scroll pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_bead_necklace_24,a sunburst turquoise necklace,The turquoise necklace is worked into a sunburst pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_chain_necklace_25,a water-wave jade necklace,The jade necklace is worked into a water-wave pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_bracelet_26,a knotted quartz bracelet,The quartz bracelet is worked into a knotted pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_armlet_27,a flower-head faience armlet,The faience armlet is worked into a flower-head pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_anklet_28,a star pewter anklet,The pewter anklet is worked into a star pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_earrings_29,a bird copper earrings,The copper earrings is worked into a bird pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_brooch_30,a vine bronze brooch,The bronze brooch is worked into a vine pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_pin_31,a geometric silver pin,The silver pin is worked into a geometric pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_hairpin_32,a cloud gold hairpin,The gold hairpin is worked into a cloud pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_circlet_33,a shell brass circlet,The brass circlet is worked into a shell pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_diadem_34,a reed glass diadem,The glass diadem is worked into a reed pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_waist_chain_35,a rosette bone waist chain,The bone waist chain is worked into a rosette pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_belt_ornament_36,a checker shell belt ornament,The shell belt ornament is worked into a checker pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_badge_37,a braided ivory badge,The ivory badge is worked into a braided pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_temple_ring_38,a radiating pearl temple ring,The pearl temple ring is worked into a radiating pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_torc_39,a leaf-scroll amber torc,The amber torc is worked into a leaf-scroll pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_wreath_40,a sunburst coral wreath,The coral wreath is worked into a sunburst pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_ring_41,a water-wave garnet ring,The garnet ring is worked into a water-wave pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_signet_ring_42,a knotted agate ring,The agate ring is worked into a knotted pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_pendant_43,a flower-head carnelian pendant,The carnelian pendant is worked into a flower-head pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_bead_necklace_44,a star lapis lazuli necklace,The lapis lazuli necklace is worked into a star pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_chain_necklace_45,a bird turquoise necklace,The turquoise necklace is worked into a bird pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_bracelet_46,a vine jade bracelet,The jade bracelet is worked into a vine pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_armlet_47,a geometric quartz armlet,The quartz armlet is worked into a geometric pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_anklet_48,a cloud faience anklet,The faience anklet is worked into a cloud pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_earrings_49,a shell pewter earrings,The pewter earrings is worked into a shell pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
