StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_telecom_media_photography_0001_plain_scrap	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	scrap	a plain glass scrap for domestic communication	This plain scrap is formed chiefly from glass and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	996	2	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/scrap/domestic/glass; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0002_plain_telephone	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	telephone	a plain natural rubber telephone for domestic communication	This plain telephone is formed chiefly from natural rubber and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1033	5	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/telephone/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0003_plain_receiver	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	receiver	a plain mild steel receiver for domestic communication	This plain receiver is formed chiefly from mild steel and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1070	10	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/receiver/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0004_plain_camera	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	camera	a plain copper camera for domestic communication	This plain camera is formed chiefly from copper and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1107	20	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/camera/domestic/copper; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0005_plain_tripod	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	tripod	a plain glass tripod for domestic communication	This plain tripod is formed chiefly from glass and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1144	50	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_telecom_media_photography_0001_plain_scrap	industrial_household	Authored Telecom, media and photography matrix: plain/tripod/domestic/glass; priced by industrial_household analogue.	true	salvage
industrialised_telecom_media_photography_0006_plain_speaker	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	speaker	a plain natural rubber speaker for domestic communication	This plain speaker is formed chiefly from natural rubber and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1181	100	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/speaker/domestic/natural rubber; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0007_plain_recorder	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	recorder	a plain mild steel recorder for domestic communication	This plain recorder is formed chiefly from mild steel and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1218	200	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/recorder/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0008_plain_projector	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	projector	a plain copper projector for domestic communication	This plain projector is formed chiefly from copper and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1255	500	copper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/projector/domestic/copper; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0009_plain_microphone	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	microphone	a plain glass microphone for domestic communication	This plain microphone is formed chiefly from glass and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1292	1	glass	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Telecom, media and photography matrix: plain/microphone/domestic/glass; priced by industrial_household analogue.	true	
industrialised_telecom_media_photography_0010_plain_cable	shared-industrialised	Telecom, media and photography	industrial;modern;nuclear;information	cable	a plain natural rubber cable for domestic communication	This plain cable is formed chiefly from natural rubber and proportioned for domestic communication. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1329	2	natural rubber	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable	telecommunications:standard	portable		0		industrialised_telecom_media_photography_0001_plain_scrap	industrial_household	Authored Telecom, media and photography matrix: plain/cable/domestic/natural rubber; priced by industrial_household analogue.	true	salvage
