planning_reference	family	shared_imnf_bases	industrial_i_bases	modern_mnf_bases	nuclear_nf_bases	information_f_bases	identity_reservations	coverage	production_routes	reuse_rule	evidence_packages	design_brief	review_status
food_scope_staples	staples	10	2	3	1	1	industrialised_food_staples_{001..010};industrial_food_staples_{001..002};modern_food_staples_{001..003};nuclear_food_staples_001;information_food_staples_001	global grain, rice, maize and root staples; household, street and institution; temperate, tropical, arid and cold climates	household;artisanal;institutional;mechanised	reuse plain pre-industrial staples; add only milled, fortified, instant or industrially processed forms	NUT;PRICE;TRADE	Later milling, fortification, convenience and institutional staple forms with materially different nutrition, texture or economics.	proposed
food_scope_baking	baking	16	3	5	2	2	industrialised_food_baking_{001..016};industrial_food_baking_{001..003};modern_food_baking_{001..005};nuclear_food_baking_{001..002};information_food_baking_{001..002}	breads, cakes, biscuits, pastry and chemically leavened baking; household, bakery, factory, school and relief	household;artisanal;institutional;mechanised	reuse hearth and historic bakery stock; add new leavening, factory texture, fortified and convenience forms	BAKE;NUT;PRICE	Distinct later baking processes and products, never cosmetic shape or flavour padding.	proposed
food_scope_noodles_dumplings	noodles-and-dumplings	14	2	4	1	2	industrialised_food_noodle_dumpling_{001..014};industrial_food_noodle_dumpling_{001..002};modern_food_noodle_dumpling_{001..004};nuclear_food_noodle_dumpling_001;information_food_noodle_dumpling_{001..002}	wheat, rice, starch and filled forms across household, street, restaurant and institutional contexts	household;artisanal;institutional;mechanised	reuse matching pre-industrial dough and cooked forms; distinguish dried, instant, frozen or factory-filled mechanics	GLOBAL;NUT;PRICE	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings.	proposed
food_scope_plant	plant-foods	14	2	4	1	2	industrialised_food_plant_{001..014};industrial_food_plant_{001..002};modern_food_plant_{001..004};nuclear_food_plant_001;information_food_plant_{001..002}	vegetables, pulses, fungi and plant proteins; class, fasting, migration and institutional coverage	household;artisanal;institutional;mechanised	reuse cooked vegetables and pulses; add preserved, textured, convenience and institutional preparations	GLOBAL;NUT;PRICE	Plant dishes whose ingredient, processing, nutrition or serving form is genuinely later and distinct.	proposed
food_scope_fruit_nuts	fruit-and-nuts	10	1	3	1	2	industrialised_food_fruit_nut_{001..010};industrial_food_fruit_nut_001;modern_food_fruit_nut_{001..003};nuclear_food_fruit_nut_001;information_food_fruit_nut_{001..002}	fresh-service transformations, dried, preserved and prepared fruit, nuts and seeds; climate and trade coverage	household;artisanal;institutional;mechanised	reuse unchanged fresh and historic preserved forms; add mechanically distinct processed forms	GLOBAL;NUT;PRICE	Industrial drying, pureeing, portioning and other transformations, excluding packages themselves.	proposed
food_scope_dairy_eggs	dairy-and-eggs	14	2	4	1	2	industrialised_food_dairy_egg_{001..014};industrial_food_dairy_egg_{001..002};modern_food_dairy_egg_{001..004};nuclear_food_dairy_egg_001;information_food_dairy_egg_{001..002}	dairy and egg foods across household, dairy, school, hospital, restaurant and transport service	household;artisanal;institutional;mechanised	reuse historic cheeses, curds and egg dishes; add standardised, concentrated, dried and convenience forms	DAIRY;NUT;PRICE	Later dairy and egg processing with explicit perishability and nutrition distinctions.	proposed
food_scope_meat_offal	meat-and-offal	16	3	5	2	2	industrialised_food_meat_offal_{001..016};industrial_food_meat_offal_{001..003};modern_food_meat_offal_{001..005};nuclear_food_meat_offal_{001..002};information_food_meat_offal_{001..002}	processed meat, poultry, game and offal; household, factory, restaurant, military and migrant foodways	household;artisanal;institutional;mechanised	reuse raw butchery outputs and historic cooked meats; add materially distinct comminuted, cured and convenience foods	MEAT;NUT;PRICE	Processed edible products, never duplicate raw butchery outputs or package graphs.	proposed
food_scope_aquatic	aquatic-foods	10	2	3	1	1	industrialised_food_aquatic_{001..010};industrial_food_aquatic_{001..002};modern_food_aquatic_{001..003};nuclear_food_aquatic_001;information_food_aquatic_001	fish, shellfish and other aquatic foods; coast, river, inland trade, institutional and transport contexts	household;artisanal;institutional;mechanised	reuse fresh and historic preserved forms; add industrial preservation and convenience preparations	AQUATIC;NUT;PRICE	Later processing and service forms with distinct ingredients, texture, preservation or economics.	proposed
food_scope_composites	composite-dishes	28	5	9	3	5	industrialised_food_composite_{001..028};industrial_food_composite_{001..005};modern_food_composite_{001..009};nuclear_food_composite_{001..003};information_food_composite_{001..005}	global complete dishes across household, street, restaurant, workplace, school, hospital, prison, military and transport	household;artisanal;institutional;mechanised	reuse recognisably unchanged dishes; separate defining fillings, sauces and nutrition profiles rather than skinning them	GLOBAL;NUT;PRICE	High-value cross-cultural later dishes and convenience forms; separable accompaniments stay in serving manifests.	proposed
food_scope_preserves	preserves-and-condiments	14	3	4	1	2	industrialised_food_preserve_condiment_{001..014};industrial_food_preserve_condiment_{001..003};modern_food_preserve_condiment_{001..004};nuclear_food_preserve_condiment_001;information_food_preserve_condiment_{001..002}	pickles, ferments, sauces, condiments, stocks and preserves; household, factory and food-service use	household;artisanal;institutional;mechanised	reuse historic recipes when composition is unchanged; add standardised, emulsified, concentrated and novel preservation forms	PRESERVE;NUT;PRICE	Processed accompaniments and preserves whose chemistry, composition or economic unit is distinct.	proposed
