StableReference	ConsumerReference	ProductionRole	ReviewState
earlymodern_food_pale_roux_working_ball	industrialised_food_staples_001	historical intermediate input or service dependency for industrialised_food_staples_001	DependencyReviewed
earlymodern_food_laminated_puff_pastry_block	industrialised_food_staples_002	historical intermediate input or service dependency for industrialised_food_staples_002	DependencyReviewed
earlymodern_food_warm_choux_working_paste	industrialised_food_staples_003	historical intermediate input or service dependency for industrialised_food_staples_003	DependencyReviewed
earlymodern_food_unbaked_meringue_foam	industrialised_food_staples_004	historical intermediate input or service dependency for industrialised_food_staples_004	DependencyReviewed
earlymodern_food_ice_cream_custard_base	industrialised_food_staples_005	historical intermediate input or service dependency for industrialised_food_staples_005	DependencyReviewed
earlymodern_food_tied_raw_plum_pudding_cloth	industrialised_food_staples_006	historical intermediate input or service dependency for industrialised_food_staples_006	DependencyReviewed
earlymodern_food_portable_soup_reduction_slab	industrialised_food_staples_007	historical intermediate input or service dependency for industrialised_food_staples_007	DependencyReviewed
earlymodern_food_ground_chocolate_conching_paste	industrialised_food_staples_008	historical intermediate input or service dependency for industrialised_food_staples_008	DependencyReviewed
earlymodern_food_coffee_biscuit_raw_sheet	industrialised_food_staples_009	historical intermediate input or service dependency for industrialised_food_staples_009	DependencyReviewed
earlymodern_food_tea_cake_proving_dough	industrialised_food_staples_010	historical intermediate input or service dependency for industrialised_food_staples_010	DependencyReviewed
earlymodern_food_grated_raw_potato_dumpling_mix	industrial_food_staples_001	historical intermediate input or service dependency for industrial_food_staples_001	DependencyReviewed
earlymodern_food_tomato_conserve_reduction_base	industrial_food_staples_002	historical intermediate input or service dependency for industrial_food_staples_002	DependencyReviewed
earlymodern_food_soaking_salt_cod_bundle	modern_food_staples_001	historical intermediate input or service dependency for modern_food_staples_001	DependencyReviewed
earlymodern_food_unbaked_ship_sea_pie_layers	modern_food_staples_002	historical intermediate input or service dependency for modern_food_staples_002	DependencyReviewed
earlymodern_food_ottoman_uncooked_phyllo_coil	modern_food_staples_003	historical intermediate input or service dependency for modern_food_staples_003	DependencyReviewed
earlymodern_food_elastic_starch_delight_mass	nuclear_food_staples_001	historical intermediate input or service dependency for nuclear_food_staples_001	DependencyReviewed
earlymodern_food_mughal_raw_kebab_marinade	information_food_staples_001	historical intermediate input or service dependency for information_food_staples_001	DependencyReviewed
earlymodern_food_company_curry_spice_paste	industrialised_food_baking_001	historical intermediate input or service dependency for industrialised_food_baking_001	DependencyReviewed
earlymodern_food_tea_smoking_cured_duck	industrialised_food_baking_002	historical intermediate input or service dependency for industrialised_food_baking_002	DependencyReviewed
earlymodern_food_sushi_vinegar_rice_cooling	industrialised_food_baking_003	historical intermediate input or service dependency for industrialised_food_baking_003	DependencyReviewed
