stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
preindustrial_food_plain_gruel	Shared	Prepared	Porridge	bowl	a bowl of plain grain gruel	A shallow bowl holds pale grain gruel cooked loose enough to pour.	It tastes mild, warm, and faintly cereal-sweet.	food	BleakThin	Cooked	Substandard	420	0.25	Universal
preindustrial_food_salted_gruel	Shared	Prepared	Porridge	bowl	a bowl of salted gruel	Coarse meal swims in a cloudy broth sharpened with a pinch of salt.	It is thin and plainly salty, with a rough grain finish.	food	BleakThin	Cooked	Poor	430	0.22	Universal
preindustrial_food_toasted_meal_gruel	Shared	Prepared	Porridge	bowl	a bowl of toasted-meal gruel	Brown flecks of toasted meal give this spare gruel a nutty colour.	Scorched cereal notes enliven an otherwise watery mouthful.	food	BleakThin	Cooked	Standard	410	0.30	Universal
preindustrial_food_sour_gruel	Shared	Prepared	Porridge	crock	a crock of sour gruel	A small crock contains fermented grain gruel with bubbles at its rim.	It tastes pleasantly tart, earthy, and lightly yeasty.	food	Light	Fermented	Standard	440	0.40	RegionalOldWorld
preindustrial_food_herbed_gruel	Shared	Prepared	Porridge	bowl	a bowl of herbed gruel	Chopped green herbs stipple a steaming bowl of soft grain gruel.	Green herbal bitterness follows the gentle cooked-grain flavour.	food	Light	Cooked	Standard	420	0.42	Universal
preindustrial_food_onion_gruel	Shared	Prepared	Porridge	bowl	a bowl of onion gruel	Translucent onion ribbons lie among the grains of this humble gruel.	Sweet onion lends depth to the soft, savoury cereal.	food	Standard	Cooked	Standard	450	0.55	RegionalOldWorld
preindustrial_food_garlic_gruel	Shared	Prepared	Porridge	bowl	a bowl of garlic gruel	Crushed garlic scents a thickish serving of plainly boiled grain.	Warm garlic bite lingers over the mellow meal.	food	Standard	Cooked	Standard	440	0.55	RegionalOldWorld
preindustrial_food_leek_gruel	Shared	Prepared	Porridge	bowl	a bowl of leek gruel	Slender rings of softened leek brighten a grey-beige gruel.	It is gently sweet and vegetal beneath its grainy body.	food	Standard	Cooked	Standard	450	0.58	European
preindustrial_food_cabbage_gruel	Shared	Prepared	Porridge	bowl	a bowl of cabbage gruel	Shreds of cabbage bulk out a coarse and economical grain gruel.	The cabbage is sweetly sulfurous against bland cooked meal.	food	Standard	Cooked	Substandard	480	0.45	European
preindustrial_food_turnip_gruel	Shared	Prepared	Porridge	bowl	a bowl of turnip gruel	Soft white turnip cubes break up the surface of this peasant gruel.	Earthy turnip and plain grain make a sturdy, muted flavour.	food	Standard	Cooked	Standard	480	0.48	RegionalOldWorld
preindustrial_food_pea_gruel	Shared	Prepared	Porridge	bowl	a bowl of pea-thickened gruel	Split peas have dissolved into the grain, colouring the gruel dull green.	It tastes earthy and filling, with a lingering pea sweetness.	food	Hearty	Cooked	Standard	470	0.65	RegionalOldWorld
preindustrial_food_lentil_gruel	Shared	Prepared	Porridge	bowl	a bowl of lentil gruel	Russet lentils mingle with swollen grains in a thick, spoonable bowl.	Peppery lentil earthiness gives the porridge a savoury weight.	food	Hearty	Cooked	Standard	470	0.68	RegionalOldWorld
preindustrial_food_bean_gruel	Shared	Prepared	Porridge	bowl	a bowl of bean gruel	Mashed beans cloud this broad bowl of slow-cooked cereal.	Creamy bean flesh softens the coarse grain and salt.	food	Hearty	Cooked	Standard	490	0.70	Universal
preindustrial_food_milk_gruel	Shared	Prepared	Porridge	bowl	a bowl of milky gruel	Milk turns the finely ground gruel ivory and softly glossy.	It is creamy and faintly sweet, with delicate grain beneath.	food	Standard	Cooked	Good	430	0.85	RegionalOldWorld
preindustrial_food_buttermilk_gruel	Shared	Prepared	Porridge	bowl	a bowl of buttermilk gruel	A tangy dairy sheen lies over this loose, pale porridge.	Buttermilk acidity cuts cleanly through the cooked cereal.	food	Standard	Cooked	Good	440	0.78	RegionalOldWorld
preindustrial_food_whey_gruel	Shared	Prepared	Porridge	bowl	a bowl of whey-cooked gruel	Yellowish whey gives the grain in this bowl a translucent gloss.	Light dairy tartness lifts the simple, yielding kernels.	food	Light	Cooked	Standard	430	0.50	RegionalOldWorld
preindustrial_food_buttered_gruel	Shared	Prepared	Porridge	bowl	a bowl of buttered gruel	A small golden pool of butter melts across thick grain gruel.	Rich butter rounds its toasted, lightly salted grain flavour.	food	Rich	Cooked	Good	430	1.05	European
preindustrial_food_dripping_gruel	Shared	Prepared	Porridge	bowl	a bowl of dripping gruel	Savoury drippings bead the surface of an otherwise modest gruel.	It tastes meaty and salty, with a comforting roasted depth.	food	Hearty	Cooked	Standard	440	0.72	RegionalOldWorld
preindustrial_food_bone_broth_gruel	Shared	Prepared	Porridge	bowl	a bowl of broth-cooked gruel	Long-simmered broth has turned these grains glossy and deeply beige.	Gentle marrow richness clings to every soft spoonful.	food	Hearty	Cooked	Standard	460	0.76	Universal
preindustrial_food_fish_broth_gruel	Shared	Prepared	Porridge	bowl	a bowl of fish-broth gruel	Flakes of pale fish drift through grain loosened with clear broth.	Briny savour runs beneath the clean and tender cereal.	food	Hearty	Cooked	Standard	460	0.82	MaritimeTrade
preindustrial_food_mushroom_gruel	Shared	Prepared	Porridge	bowl	a bowl of mushroom gruel	Chopped brown mushrooms dot a soft porridge stained by their liquor.	Woodland earthiness gives the mild grain a dark savour.	food	Standard	Cooked	Standard	450	0.70	RegionalOldWorld
preindustrial_food_nettle_gruel	Shared	Prepared	Porridge	bowl	a bowl of nettle gruel	Cooked nettle leaves marble this coarse porridge a deep green.	Mineral greens and rough grain leave a wholesome bitterness.	food	Standard	Cooked	Substandard	450	0.38	European
preindustrial_food_weed_gruel	Shared	Prepared	Porridge	bowl	a bowl of wayside-green gruel	Foraged leaves wilt among scant grains in this lean household dish.	It is grassy, slightly bitter, and only mildly sustaining.	food	BleakThin	Cooked	Poor	450	0.18	Universal
preindustrial_food_acorn_gruel	Shared	Prepared	Porridge	bowl	a bowl of leached-acorn gruel	Brown acorn meal makes a dense gruel with a faintly gritty surface.	Tannic nuttiness remains beneath the careful soaking and boiling.	food	BleakSolid	Cooked	Substandard	430	0.32	Universal
preindustrial_food_chestnut_gruel	Shared	Prepared	Porridge	bowl	a bowl of chestnut gruel	Sweet chestnut meal thickens this smooth buff-coloured gruel.	It is softly nutty, mellow, and naturally sweet.	food	Standard	Cooked	Good	420	0.82	RegionalOldWorld
preindustrial_food_hazelnut_gruel	Shared	Prepared	Porridge	bowl	a bowl of hazelnut gruel	Crushed hazelnuts speckle a creamy serving of cooked meal.	Roasted nut fragrance enriches the warm cereal base.	food	Rich	Cooked	Good	410	1.18	RegionalOldWorld
preindustrial_food_sesame_gruel	Shared	Prepared	Porridge	bowl	a bowl of sesame gruel	Ground sesame darkens this porridge and leaves oil shining at its edge.	It tastes deeply toasted, nutty, and faintly bitter.	food	Rich	Cooked	Good	410	1.05	RegionalOldWorld
preindustrial_food_poppyseed_gruel	Shared	Prepared	Porridge	bowl	a bowl of poppyseed gruel	Blue-black poppy seeds freckle a bowl of thick pale grain.	Tiny seeds crackle with a mild, pleasantly earthy nuttiness.	food	Standard	Cooked	Good	410	0.92	European
preindustrial_food_linseed_gruel	Shared	Prepared	Porridge	bowl	a bowl of linseed gruel	Glossy brown linseeds lend this coarse porridge a sticky body.	It has an oily seed flavour and a faint grassy finish.	food	Standard	Cooked	Standard	420	0.62	RegionalOldWorld
preindustrial_food_hempseed_gruel	Shared	Prepared	Porridge	bowl	a bowl of hempseed gruel	Crushed hempseed gives the grey porridge a greenish, nutty cast.	The spoonful is earthy, oily, and more robust than sweet.	food	Standard	Cooked	Standard	420	0.66	RegionalOldWorld
preindustrial_food_honey_gruel	Shared	Prepared	Porridge	bowl	a bowl of honeyed gruel	Threads of honey gleam over a carefully smoothed grain gruel.	Floral sweetness blooms before the mild cereal returns.	food	Sweet	Cooked	Good	400	1.12	RegionalOldWorld
preindustrial_food_malt_gruel	Shared	Prepared	Porridge	bowl	a bowl of malted gruel	Malted meal colours this loose porridge a warm biscuit brown.	It tastes sweetly toasted with a lingering malty depth.	food	Standard	Cooked	Good	430	0.72	RegionalOldWorld
preindustrial_food_apple_gruel	Shared	Prepared	Porridge	bowl	a bowl of apple gruel	Soft apple pieces have nearly vanished into this golden-beige porridge.	Tart fruit brightens the grain with a mellow cooked sweetness.	food	Standard	Cooked	Good	440	0.88	European
preindustrial_food_pear_gruel	Shared	Prepared	Porridge	bowl	a bowl of pear gruel	Translucent pear morsels nestle within a smooth, pale gruel.	Juicy pear sweetness gives way to quiet cereal warmth.	food	Standard	Cooked	Good	440	0.90	European
preindustrial_food_plum_gruel	Shared	Prepared	Porridge	bowl	a bowl of plum gruel	Purple-red plum pulp streaks this humble grain dish.	Sweet-sour plum makes each soft mouthful lively and dark.	food	Standard	Cooked	Good	430	0.94	RegionalOldWorld
