Tag name	Tag parent name	Tag hierarchy
Consumables		Consumables
Armouring Rings	Consumables	Consumables / Armouring Rings
Armouring Scales	Consumables	Consumables / Armouring Scales
Armouring Studs	Consumables	Consumables / Armouring Studs
Axe Head	Consumables	Consumables / Axe Head
Branch	Consumables	Consumables / Branch
Construction Brick	Consumables	Consumables / Construction Brick
Curved Leather Piece	Consumables	Consumables / Curved Leather Piece
Deer Forequarter	Consumables	Consumables / Deer Forequarter
Deer Hindquarter	Consumables	Consumables / Deer Hindquarter
Deer Roast	Consumables	Consumables / Deer Roast
Dirt	Consumables	Consumables / Dirt
Drawplate	Consumables	Consumables / Drawplate
Entrails	Consumables	Consumables / Entrails
Fletching	Consumables	Consumables / Fletching
Grass	Consumables	Consumables / Grass
Grove Trees	Consumables	Consumables / Grove Trees
Knapped Stone	Consumables	Consumables / Knapped Stone
Knife Blade	Consumables	Consumables / Knife Blade
Log	Consumables	Consumables / Log
Long Shaft	Consumables	Consumables / Long Shaft
Mace Head	Consumables	Consumables / Mace Head
Mould Axe Head	Consumables	Consumables / Mould Axe Head
Mould Brick	Consumables	Consumables / Mould Brick
Mould Knife Blade	Consumables	Consumables / Mould Knife Blade
Mould Mace Head	Consumables	Consumables / Mould Mace Head
Mould Sheet Metal	Consumables	Consumables / Mould Sheet Metal
Mould Spearhead	Consumables	Consumables / Mould Spearhead
Mould Sword Blade	Consumables	Consumables / Mould Sword Blade
Nuts	Consumables	Consumables / Nuts
Open Grave	Consumables	Consumables / Open Grave
Padded Gloves	Consumables	Consumables / Padded Gloves
Padded Trousers	Consumables	Consumables / Padded Trousers
Padded Vest	Consumables	Consumables / Padded Vest
Pig Forequarter	Consumables	Consumables / Pig Forequarter
Pig Hindquarter	Consumables	Consumables / Pig Hindquarter
Pig Roast	Consumables	Consumables / Pig Roast
Plank	Consumables	Consumables / Plank
Pole	Consumables	Consumables / Pole
Rabbit Roast	Consumables	Consumables / Rabbit Roast
Reeds	Consumables	Consumables / Reeds
Rump	Consumables	Consumables / Rump
Sheet Metal	Consumables	Consumables / Sheet Metal
Short Shaft	Consumables	Consumables / Short Shaft
Spearhead	Consumables	Consumables / Spearhead
Suet	Consumables	Consumables / Suet
Sword Blade	Consumables	Consumables / Sword Blade
Sword Grip	Consumables	Consumables / Sword Grip
Tenderloin	Consumables	Consumables / Tenderloin
Thick Hide	Consumables	Consumables / Thick Hide
Thick Leather	Consumables	Consumables / Thick Leather
Tree	Consumables	Consumables / Tree
Trunk	Consumables	Consumables / Trunk
Tusk	Consumables	Consumables / Tusk
Wire	Consumables	Consumables / Wire
Era		Era
Antiquity Era	Era	Era / Antiquity Era
Bronze Age Era	Era	Era / Bronze Age Era
Colonial Era	Era	Era / Colonial Era
Dark Ages Era	Era	Era / Dark Ages Era
Far Future Era	Era	Era / Far Future Era
Industrial Era	Era	Era / Industrial Era
Information Age Era	Era	Era / Information Age Era
Iron Age Era	Era	Era / Iron Age Era
Medieval Era	Era	Era / Medieval Era
Modern Era	Era	Era / Modern Era
Near Future Era	Era	Era / Near Future Era
Nuclear Era	Era	Era / Nuclear Era
Renaissance Era	Era	Era / Renaissance Era
Stone Age Era	Era	Era / Stone Age Era
Functions		Functions
Container	Functions	Functions / Container
Airtight Container	Container	Functions / Container / Airtight Container
Open Container	Container	Functions / Container / Open Container
Porous Container	Container	Functions / Container / Porous Container
Watertight Container	Container	Functions / Container / Watertight Container
Joining	Functions	Functions / Joining
Adhesion	Joining	Functions / Joining / Adhesion
Cement	Adhesion	Functions / Joining / Adhesion / Cement
Glue	Adhesion	Functions / Joining / Adhesion / Glue
Joining Tape	Adhesion	Functions / Joining / Adhesion / Joining Tape
Clamping	Joining	Functions / Joining / Clamping
Clamp	Clamping	Functions / Joining / Clamping / Clamp
Clip	Clamping	Functions / Joining / Clamping / Clip
Peg	Clamping	Functions / Joining / Clamping / Peg
Crimping	Joining	Functions / Joining / Crimping
Cable Crimp	Crimping	Functions / Joining / Crimping / Cable Crimp
Jewellers Crimp	Crimping	Functions / Joining / Crimping / Jewellers Crimp
Metal Crimp	Crimping	Functions / Joining / Crimping / Metal Crimp
Wire Crimp	Crimping	Functions / Joining / Crimping / Wire Crimp
Fastening	Joining	Functions / Joining / Fastening
Bolt	Fastening	Functions / Joining / Fastening / Bolt
Nail	Fastening	Functions / Joining / Fastening / Nail
Nut	Fastening	Functions / Joining / Fastening / Nut
Rivet	Fastening	Functions / Joining / Fastening / Rivet
Screw	Fastening	Functions / Joining / Fastening / Screw
Washer	Fastening	Functions / Joining / Fastening / Washer
Pin	Joining	Functions / Joining / Pin
Sewing	Joining	Functions / Joining / Sewing
Surgical Suturing	Sewing	Functions / Joining / Sewing / Surgical Suturing
Absorbable Suture	Surgical Suturing	Functions / Joining / Sewing / Surgical Suturing / Absorbable Suture
Chromic Gut Suture	Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Absorbable Suture / Chromic Gut Suture
Fast Gut Suture	Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Absorbable Suture / Fast Gut Suture
Plain Gut Suture	Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Absorbable Suture / Plain Gut Suture
Synthetic Monofilament Suture	Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Absorbable Suture / Synthetic Monofilament Suture
Synthetic Polyfilament Suture	Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Absorbable Suture / Synthetic Polyfilament Suture
Non-Absorbable Suture	Surgical Suturing	Functions / Joining / Sewing / Surgical Suturing / Non-Absorbable Suture
Nylon Monofilament Suture	Non-Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Non-Absorbable Suture / Nylon Monofilament Suture
Nylon Polyfilament Suture	Non-Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Non-Absorbable Suture / Nylon Polyfilament Suture
Silk Suture	Non-Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Non-Absorbable Suture / Silk Suture
Surgical Steel Suture	Non-Absorbable Suture	Functions / Joining / Sewing / Surgical Suturing / Non-Absorbable Suture / Surgical Steel Suture
Tie	Joining	Functions / Joining / Tie
Tie Band	Tie	Functions / Joining / Tie / Tie Band
Tie Rope	Tie	Functions / Joining / Tie / Tie Rope
Tie Strap	Tie	Functions / Joining / Tie / Tie Strap
Tie Wire	Tie	Functions / Joining / Tie / Tie Wire
Welding	Joining	Functions / Joining / Welding
Aluminothermic Welding Crucible	Welding	Functions / Joining / Welding / Aluminothermic Welding Crucible
Aluminothermic Welding Portion	Welding	Functions / Joining / Welding / Aluminothermic Welding Portion
Arc Welder	Welding	Functions / Joining / Welding / Arc Welder
Arc Welding Wire	Welding	Functions / Joining / Welding / Arc Welding Wire
Braze Welder	Welding	Functions / Joining / Welding / Braze Welder
Braze Welding Rod	Welding	Functions / Joining / Welding / Braze Welding Rod
Flashbutt Welder	Welding	Functions / Joining / Welding / Flashbutt Welder
Flux	Welding	Functions / Joining / Welding / Flux
Solderer	Welding	Functions / Joining / Welding / Solderer
Soldering Wire	Welding	Functions / Joining / Welding / Soldering Wire
Material Functions	Functions	Functions / Material Functions
Commoditisable	Material Functions	Functions / Material Functions / Commoditisable
Debris	Material Functions	Functions / Material Functions / Debris
Fire	Material Functions	Functions / Material Functions / Fire
Firewood	Material Functions	Functions / Material Functions / Firewood
Hot Fire	Material Functions	Functions / Material Functions / Hot Fire
Ignition Source	Material Functions	Functions / Material Functions / Ignition Source
Kindling	Material Functions	Functions / Material Functions / Kindling
Meltable	Material Functions	Functions / Material Functions / Meltable
Musket Wadding	Material Functions	Functions / Material Functions / Musket Wadding
Ore Deposit	Material Functions	Functions / Material Functions / Ore Deposit
Padding	Material Functions	Functions / Material Functions / Padding
Salvagable Fabric	Material Functions	Functions / Material Functions / Salvagable Fabric
String	Material Functions	Functions / Material Functions / String
Tanning Agent	Material Functions	Functions / Material Functions / Tanning Agent
Reflective	Functions	Functions / Reflective
Repairing	Functions	Functions / Repairing
Separation	Functions	Functions / Separation
Cutting	Separation	Functions / Separation / Cutting
Filleting	Cutting	Functions / Separation / Cutting / Filleting
Knife	Cutting	Functions / Separation / Cutting / Knife
Metal Cutting	Cutting	Functions / Separation / Cutting / Metal Cutting
Precision Cutting	Cutting	Functions / Separation / Cutting / Precision Cutting
Stone Cutting	Cutting	Functions / Separation / Cutting / Stone Cutting
Wood Cutting	Cutting	Functions / Separation / Cutting / Wood Cutting
Shaving	Separation	Functions / Separation / Shaving
Crude	Shaving	Functions / Separation / Shaving / Crude
Razorblade	Shaving	Functions / Separation / Shaving / Razorblade
Safety Razor	Shaving	Functions / Separation / Shaving / Safety Razor
Shearing	Separation	Functions / Separation / Shearing
Guillotine	Shearing	Functions / Separation / Shearing / Guillotine
Scissors	Shearing	Functions / Separation / Shearing / Scissors
Shears	Shearing	Functions / Separation / Shearing / Shears
Sharpening	Functions	Functions / Sharpening
Shiny	Functions	Functions / Shiny
Tools	Functions	Functions / Tools
Access Equipment	Tools	Functions / Tools / Access Equipment
Ladder	Access Equipment	Functions / Tools / Access Equipment / Ladder
A-Frame Ladder	Ladder	Functions / Tools / Access Equipment / Ladder / A-Frame Ladder
Extension Ladder	Ladder	Functions / Tools / Access Equipment / Ladder / Extension Ladder
Stepladder	Ladder	Functions / Tools / Access Equipment / Ladder / Stepladder
Agricultural Tools	Tools	Functions / Tools / Agricultural Tools
Ard	Agricultural Tools	Functions / Tools / Agricultural Tools / Ard
Digging Fork	Agricultural Tools	Functions / Tools / Agricultural Tools / Digging Fork
Drover's Goad	Agricultural Tools	Functions / Tools / Agricultural Tools / Drover's Goad
Grain Flail	Agricultural Tools	Functions / Tools / Agricultural Tools / Grain Flail
Hay Rake	Agricultural Tools	Functions / Tools / Agricultural Tools / Hay Rake
Pitchfork	Agricultural Tools	Functions / Tools / Agricultural Tools / Pitchfork
