StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_printed_media_signage_0001_plain_wastepaper	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	wastepaper	a plain cotton wastepaper for domestic public display	This plain wastepaper is formed chiefly from cotton and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2511	200	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/wastepaper/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0002_plain_poster	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	poster	a plain oak poster for domestic public display	This plain poster is formed chiefly from oak and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2548	500	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/poster/domestic/oak; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0003_plain_notice	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	notice	a plain paper notice for domestic public display	This plain notice is formed chiefly from paper and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2585	1	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/notice/domestic/paper; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0004_plain_placard	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	placard	a plain cotton placard for domestic public display	This plain placard is formed chiefly from cotton and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2622	2	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/placard/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0005_plain_map	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	map	a plain oak map for domestic public display	This plain map is formed chiefly from oak and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2659	5	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_printed_media_signage_0001_plain_wastepaper	industrial_household	Authored Printed media and signage matrix: plain/map/domestic/oak; priced by industrial_household analogue.	true	salvage
industrialised_printed_media_signage_0006_plain_manual	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	manual	a plain paper manual for domestic public display	This plain manual is formed chiefly from paper and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2696	10	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/manual/domestic/paper; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0007_plain_pamphlet	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	pamphlet	a plain cotton pamphlet for domestic public display	This plain pamphlet is formed chiefly from cotton and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2733	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/pamphlet/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0008_plain_ticket	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	ticket	a plain oak ticket for domestic public display	This plain ticket is formed chiefly from oak and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2770	50	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/ticket/domestic/oak; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0009_plain_label	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	label	a plain paper label for domestic public display	This plain label is formed chiefly from paper and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2807	100	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Printed media and signage matrix: plain/label/domestic/paper; priced by industrial_household analogue.	true	
industrialised_printed_media_signage_0010_plain_chart	shared-industrialised	Printed media and signage	industrial;modern;nuclear;information	chart	a plain cotton chart for domestic public display	This plain chart is formed chiefly from cotton and proportioned for domestic public display. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	2844	200	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable	paper:office	portable		0		industrialised_printed_media_signage_0001_plain_wastepaper	industrial_household	Authored Printed media and signage matrix: plain/chart/domestic/cotton; priced by industrial_household analogue.	true	salvage
